Time,DriverNumber,LapTime,LapNumber,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Stint,LapStartTime,Team,Driver,TrackStatus,IsAccurate
0 days 00:08:44.363000,5,,1,0 days 00:00:04.103000,,,0 days 00:00:24.142000,0 days 00:00:36.352000,,0 days 00:08:08.653000,0 days 00:08:44.559000,275.0,290.0,286.0,241.0,False,,,,,0 days 00:07:07.988000,Ferrari,VET,1,False
0 days 00:10:14.925000,5,0 days 00:01:30.562000,2,,,0 days 00:00:30.174000,0 days 00:00:23.995000,0 days 00:00:36.393000,0 days 00:09:14.537000,0 days 00:09:38.532000,0 days 00:10:14.925000,268.0,288.0,285.0,288.0,False,ULTRASOFT,4.0,False,1.0,0 days 00:08:44.363000,Ferrari,VET,1,True
0 days 00:11:45.102000,5,0 days 00:01:30.177000,3,,,0 days 00:00:30.157000,0 days 00:00:23.966000,0 days 00:00:36.054000,0 days 00:10:45.082000,0 days 00:11:09.048000,0 days 00:11:45.102000,,289.0,286.0,278.0,False,ULTRASOFT,5.0,False,1.0,0 days 00:10:14.925000,Ferrari,VET,1,True
0 days 00:13:14.712000,5,0 days 00:01:29.610000,4,,,0 days 00:00:29.954000,0 days 00:00:23.871000,0 days 00:00:35.785000,0 days 00:12:15.056000,0 days 00:12:38.927000,0 days 00:13:14.712000,271.0,291.0,284.0,286.0,False,ULTRASOFT,6.0,False,1.0,0 days 00:11:45.102000,Ferrari,VET,1,True
0 days 00:14:44.252000,5,0 days 00:01:29.540000,5,,,0 days 00:00:29.827000,0 days 00:00:23.850000,0 days 00:00:35.863000,0 days 00:13:44.539000,0 days 00:14:08.389000,0 days 00:14:44.252000,270.0,290.0,283.0,277.0,False,ULTRASOFT,7.0,False,1.0,0 days 00:13:14.712000,Ferrari,VET,1,True
0 days 00:16:14.749000,5,0 days 00:01:30.497000,6,,,0 days 00:00:30.008000,0 days 00:00:23.981000,0 days 00:00:36.508000,0 days 00:15:14.260000,0 days 00:15:38.241000,0 days 00:16:14.749000,268.0,287.0,284.0,287.0,False,ULTRASOFT,8.0,False,1.0,0 days 00:14:44.252000,Ferrari,VET,2,True
0 days 00:17:44.926000,5,0 days 00:01:30.177000,7,,,0 days 00:00:29.821000,0 days 00:00:23.961000,0 days 00:00:36.395000,0 days 00:16:44.570000,0 days 00:17:08.531000,0 days 00:17:44.926000,269.0,288.0,284.0,283.0,False,ULTRASOFT,9.0,False,1.0,0 days 00:16:14.749000,Ferrari,VET,2,True
0 days 00:19:14.407000,5,0 days 00:01:29.481000,8,,,0 days 00:00:29.827000,0 days 00:00:23.867000,0 days 00:00:35.787000,0 days 00:18:14.753000,0 days 00:18:38.620000,0 days 00:19:14.407000,270.0,288.0,284.0,284.0,False,ULTRASOFT,10.0,False,1.0,0 days 00:17:44.926000,Ferrari,VET,1,True
0 days 00:20:43.782000,5,0 days 00:01:29.375000,9,,,0 days 00:00:29.781000,0 days 00:00:23.823000,0 days 00:00:35.771000,0 days 00:19:44.188000,0 days 00:20:08.011000,0 days 00:20:43.782000,269.0,287.0,287.0,285.0,False,ULTRASOFT,11.0,False,1.0,0 days 00:19:14.407000,Ferrari,VET,1,True
0 days 00:22:12.447000,5,0 days 00:01:28.665000,10,,,0 days 00:00:29.489000,0 days 00:00:23.706000,0 days 00:00:35.470000,0 days 00:21:13.271000,0 days 00:21:36.977000,0 days 00:22:12.447000,275.0,292.0,287.0,292.0,False,ULTRASOFT,12.0,False,1.0,0 days 00:20:43.782000,Ferrari,VET,2,True
0 days 00:23:41.472000,5,0 days 00:01:29.025000,11,,,0 days 00:00:29.697000,0 days 00:00:23.746000,0 days 00:00:35.582000,0 days 00:22:42.144000,0 days 00:23:05.890000,0 days 00:23:41.472000,274.0,289.0,285.0,294.0,False,ULTRASOFT,13.0,False,1.0,0 days 00:22:12.447000,Ferrari,VET,1,True
0 days 00:25:09.877000,5,0 days 00:01:28.405000,12,,,0 days 00:00:29.523000,0 days 00:00:23.598000,0 days 00:00:35.284000,0 days 00:24:10.995000,0 days 00:24:34.593000,0 days 00:25:09.877000,273.0,290.0,287.0,291.0,False,ULTRASOFT,14.0,False,1.0,0 days 00:23:41.472000,Ferrari,VET,1,True
0 days 00:26:38.986000,5,0 days 00:01:29.109000,13,,,0 days 00:00:29.579000,0 days 00:00:23.933000,0 days 00:00:35.597000,0 days 00:25:39.456000,0 days 00:26:03.389000,0 days 00:26:38.986000,,290.0,285.0,295.0,False,ULTRASOFT,15.0,False,1.0,0 days 00:25:09.877000,Ferrari,VET,1,True
0 days 00:28:07.787000,5,0 days 00:01:28.801000,14,,,0 days 00:00:29.590000,0 days 00:00:23.774000,0 days 00:00:35.437000,0 days 00:27:08.576000,0 days 00:27:32.350000,0 days 00:28:07.787000,275.0,290.0,285.0,294.0,False,ULTRASOFT,16.0,False,1.0,0 days 00:26:38.986000,Ferrari,VET,1,True
0 days 00:29:36.472000,5,0 days 00:01:28.685000,15,,,0 days 00:00:29.647000,0 days 00:00:23.739000,0 days 00:00:35.299000,0 days 00:28:37.434000,0 days 00:29:01.173000,0 days 00:29:36.472000,272.0,290.0,284.0,292.0,False,ULTRASOFT,17.0,False,1.0,0 days 00:28:07.787000,Ferrari,VET,1,True
0 days 00:31:05.176000,5,0 days 00:01:28.704000,16,,,0 days 00:00:29.530000,0 days 00:00:23.743000,0 days 00:00:35.431000,0 days 00:30:06.002000,0 days 00:30:29.745000,0 days 00:31:05.176000,274.0,290.0,284.0,289.0,False,ULTRASOFT,18.0,False,1.0,0 days 00:29:36.472000,Ferrari,VET,1,True
0 days 00:32:33.772000,5,0 days 00:01:28.596000,17,,,0 days 00:00:29.457000,0 days 00:00:23.659000,0 days 00:00:35.480000,0 days 00:31:34.633000,0 days 00:31:58.292000,0 days 00:32:33.772000,,289.0,284.0,290.0,False,ULTRASOFT,19.0,False,1.0,0 days 00:31:05.176000,Ferrari,VET,1,True
0 days 00:34:02.306000,5,0 days 00:01:28.534000,18,,,0 days 00:00:29.455000,0 days 00:00:23.670000,0 days 00:00:35.409000,0 days 00:33:03.227000,0 days 00:33:26.897000,0 days 00:34:02.306000,273.0,289.0,283.0,289.0,False,ULTRASOFT,20.0,False,1.0,0 days 00:32:33.772000,Ferrari,VET,1,True
0 days 00:35:30.794000,5,0 days 00:01:28.488000,19,,,0 days 00:00:29.649000,0 days 00:00:23.646000,0 days 00:00:35.193000,0 days 00:34:31.955000,0 days 00:34:55.601000,0 days 00:35:30.794000,274.0,287.0,283.0,,False,ULTRASOFT,21.0,False,1.0,0 days 00:34:02.306000,Ferrari,VET,1,True
0 days 00:36:59.039000,5,0 days 00:01:28.245000,20,,,0 days 00:00:29.427000,0 days 00:00:23.558000,0 days 00:00:35.260000,0 days 00:36:00.221000,0 days 00:36:23.779000,0 days 00:36:59.039000,273.0,290.0,282.0,290.0,False,ULTRASOFT,22.0,False,1.0,0 days 00:35:30.794000,Ferrari,VET,1,True
