Time,DriverNumber,LapTime,LapNumber,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Stint,LapStartTime,Team,Driver,TrackStatus,IsAccurate,LapStartDate
0 days 00:10:12.379000,44,,1.0,0 days 00:00:04.180000,,,0 days 00:01:04.609000,0 days 00:00:42.450000,,0 days 00:09:29.929000,0 days 00:10:12.448000,179.0,141.0,169.0,189.0,False,,,,,0 days 00:07:42.253000,Mercedes,HAM,24,False,2018-04-29 12:13:42.330
0 days 00:13:21.027000,44,,2.0,,,0 days 00:01:15.079000,0 days 00:01:02.616000,0 days 00:00:50.914000,0 days 00:11:27.597000,0 days 00:12:30.113000,0 days 00:13:21.071000,124.0,149.0,200.0,158.0,False,SUPERSOFT,6.0,False,1.0,0 days 00:10:12.379000,Mercedes,HAM,4,False,2018-04-29 12:16:12.456
0 days 00:15:54.456000,44,,3.0,,,0 days 00:00:55.886000,0 days 00:01:03.323000,0 days 00:00:34.157000,0 days 00:14:17.120000,0 days 00:15:20.299000,0 days 00:15:54.671000,109.0,133.0,259.0,258.0,False,SUPERSOFT,7.0,False,1.0,0 days 00:13:21.027000,Mercedes,HAM,4,False,2018-04-29 12:19:21.104
0 days 00:18:29.126000,44,,4.0,,,0 days 00:00:56.593000,0 days 00:01:01.167000,0 days 00:00:36.908000,0 days 00:16:51.055000,0 days 00:17:52.218000,0 days 00:18:29.192000,138.0,139.0,244.0,218.0,False,SUPERSOFT,8.0,False,1.0,0 days 00:15:54.456000,Mercedes,HAM,4,False,2018-04-29 12:21:54.533
0 days 00:21:30.975000,44,,5.0,,,0 days 00:00:53.581000,0 days 00:01:05.503000,0 days 00:01:02.857000,0 days 00:19:22.794000,0 days 00:20:28.256000,0 days 00:21:31.145000,123.0,101.0,288.0,86.0,False,SUPERSOFT,9.0,False,1.0,0 days 00:18:29.126000,Mercedes,HAM,4,False,2018-04-29 12:24:29.203
0 days 00:23:24.436000,44,0 days 00:01:53.461000,6.0,,,0 days 00:00:41.255000,0 days 00:00:45.554000,0 days 00:00:26.652000,0 days 00:22:12.230000,0 days 00:22:57.784000,0 days 00:23:24.436000,180.0,203.0,307.0,305.0,False,SUPERSOFT,10.0,False,1.0,0 days 00:21:30.975000,Mercedes,HAM,1,False,2018-04-29 12:27:31.052
0 days 00:25:14.298000,44,0 days 00:01:49.862000,7.0,,,0 days 00:00:39.190000,0 days 00:00:44.398000,0 days 00:00:26.274000,0 days 00:24:03.626000,0 days 00:24:48.024000,0 days 00:25:14.298000,193.0,205.0,305.0,307.0,False,SUPERSOFT,11.0,False,1.0,0 days 00:23:24.436000,Mercedes,HAM,1,True,2018-04-29 12:29:24.513
0 days 00:27:02.674000,44,0 days 00:01:48.376000,8.0,,,0 days 00:00:38.250000,0 days 00:00:43.920000,0 days 00:00:26.206000,0 days 00:25:52.548000,0 days 00:26:36.468000,0 days 00:27:02.674000,198.0,201.0,310.0,310.0,False,SUPERSOFT,12.0,False,1.0,0 days 00:25:14.298000,Mercedes,HAM,1,True,2018-04-29 12:31:14.375
0 days 00:28:50.488000,44,0 days 00:01:47.814000,9.0,,,0 days 00:00:37.999000,0 days 00:00:43.559000,0 days 00:00:26.256000,0 days 00:27:40.673000,0 days 00:28:24.232000,0 days 00:28:50.488000,211.0,203.0,309.0,309.0,False,SUPERSOFT,13.0,False,1.0,0 days 00:27:02.674000,Mercedes,HAM,1,True,2018-04-29 12:33:02.751
0 days 00:30:37.680000,44,0 days 00:01:47.192000,10.0,,,0 days 00:00:37.598000,0 days 00:00:43.366000,0 days 00:00:26.228000,0 days 00:29:28.086000,0 days 00:30:11.452000,0 days 00:30:37.680000,190.0,208.0,306.0,308.0,False,SUPERSOFT,14.0,False,1.0,0 days 00:28:50.488000,Mercedes,HAM,2,True,2018-04-29 12:34:50.565
0 days 00:32:24.733000,44,0 days 00:01:47.053000,11.0,,,0 days 00:00:37.794000,0 days 00:00:43.229000,0 days 00:00:26.030000,0 days 00:31:15.474000,0 days 00:31:58.703000,0 days 00:32:24.733000,199.0,213.0,310.0,309.0,False,SUPERSOFT,15.0,False,1.0,0 days 00:30:37.680000,Mercedes,HAM,2,True,2018-04-29 12:36:37.757
0 days 00:34:12.722000,44,0 days 00:01:47.989000,12.0,,,0 days 00:00:37.825000,0 days 00:00:44.147000,0 days 00:00:26.017000,0 days 00:33:02.558000,0 days 00:33:46.705000,0 days 00:34:12.722000,189.0,215.0,308.0,308.0,False,SUPERSOFT,16.0,False,1.0,0 days 00:32:24.733000,Mercedes,HAM,1,True,2018-04-29 12:38:24.810
0 days 00:35:59.736000,44,0 days 00:01:47.014000,13.0,,,0 days 00:00:37.812000,0 days 00:00:43.099000,0 days 00:00:26.103000,0 days 00:34:50.534000,0 days 00:35:33.633000,0 days 00:35:59.736000,192.0,213.0,311.0,308.0,False,SUPERSOFT,17.0,False,1.0,0 days 00:34:12.722000,Mercedes,HAM,1,True,2018-04-29 12:40:12.799
0 days 00:37:47.160000,44,0 days 00:01:47.424000,14.0,,,0 days 00:00:37.654000,0 days 00:00:43.733000,0 days 00:00:26.037000,0 days 00:36:37.390000,0 days 00:37:21.123000,0 days 00:37:47.160000,202.0,214.0,310.0,308.0,False,SUPERSOFT,18.0,False,1.0,0 days 00:35:59.736000,Mercedes,HAM,1,True,2018-04-29 12:41:59.813
0 days 00:39:34.970000,44,0 days 00:01:47.810000,15.0,,,0 days 00:00:37.682000,0 days 00:00:43.016000,0 days 00:00:27.112000,0 days 00:38:24.842000,0 days 00:39:07.858000,0 days 00:39:34.970000,195.0,219.0,311.0,309.0,False,SUPERSOFT,19.0,False,1.0,0 days 00:37:47.160000,Mercedes,HAM,2,True,2018-04-29 12:43:47.237
0 days 00:41:22.023000,44,0 days 00:01:47.053000,16.0,,,0 days 00:00:37.608000,0 days 00:00:42.965000,0 days 00:00:26.480000,0 days 00:40:12.578000,0 days 00:40:55.543000,0 days 00:41:22.023000,203.0,215.0,310.0,309.0,False,SUPERSOFT,20.0,False,1.0,0 days 00:39:34.970000,Mercedes,HAM,1,True,2018-04-29 12:45:35.047
0 days 00:43:09.040000,44,0 days 00:01:47.017000,17.0,,,0 days 00:00:37.660000,0 days 00:00:43.155000,0 days 00:00:26.202000,0 days 00:41:59.683000,0 days 00:42:42.838000,0 days 00:43:09.040000,,208.0,306.0,310.0,False,SUPERSOFT,21.0,False,1.0,0 days 00:41:22.023000,Mercedes,HAM,1,True,2018-04-29 12:47:22.100
0 days 00:44:55.637000,44,0 days 00:01:46.597000,18.0,,,0 days 00:00:37.677000,0 days 00:00:42.914000,0 days 00:00:26.006000,0 days 00:43:46.717000,0 days 00:44:29.631000,0 days 00:44:55.637000,201.0,213.0,311.0,310.0,False,SUPERSOFT,22.0,False,1.0,0 days 00:43:09.040000,Mercedes,HAM,2,True,2018-04-29 12:49:09.117
0 days 00:46:41.968000,44,0 days 00:01:46.331000,19.0,,,0 days 00:00:37.460000,0 days 00:00:42.831000,0 days 00:00:26.040000,0 days 00:45:33.097000,0 days 00:46:15.928000,0 days 00:46:41.968000,202.0,212.0,306.0,309.0,False,SUPERSOFT,23.0,False,1.0,0 days 00:44:55.637000,Mercedes,HAM,1,True,2018-04-29 12:50:55.714
0 days 00:48:28.088000,44,0 days 00:01:46.120000,20.0,,,0 days 00:00:37.383000,0 days 00:00:42.815000,0 days 00:00:25.922000,0 days 00:47:19.351000,0 days 00:48:02.166000,0 days 00:48:28.088000,,211.0,313.0,310.0,False,SUPERSOFT,24.0,False,1.0,0 days 00:46:41.968000,Mercedes,HAM,1,True,2018-04-29 12:52:42.045
