Time,DriverNumber,LapTime,LapNumber,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Stint,LapStartTime,Team,Driver,TrackStatus,IsAccurate
0 days 00:09:12.370000,5,,1,0 days 00:00:09.059000,,,0 days 00:00:40.676000,0 days 00:00:23.491000,,0 days 00:08:48.891000,0 days 00:09:12.467000,242.0,252.0,278.0,258.0,False,,,,,0 days 00:07:36.924000,Ferrari,VET,2,False
0 days 00:10:52.875000,5,0 days 00:01:40.505000,2,,,0 days 00:00:30.485000,0 days 00:00:41.467000,0 days 00:00:28.553000,0 days 00:09:42.855000,0 days 00:10:24.322000,0 days 00:10:52.875000,232.0,251.0,145.0,290.0,False,,,,,0 days 00:09:12.370000,Ferrari,VET,26,False
0 days 00:13:03.554000,5,0 days 00:02:10.679000,3,,,0 days 00:00:40.345000,0 days 00:00:55.927000,0 days 00:00:34.407000,0 days 00:11:33.220000,0 days 00:12:29.147000,0 days 00:13:03.554000,176.0,163.0,173.0,185.0,False,SUPERSOFT,4.0,False,1.0,0 days 00:10:52.875000,Ferrari,VET,6,False
0 days 00:15:00.104000,5,0 days 00:01:56.550000,4,,,0 days 00:00:40.961000,0 days 00:00:52.053000,0 days 00:00:23.536000,0 days 00:13:44.515000,0 days 00:14:36.568000,0 days 00:15:00.104000,195.0,255.0,280.0,167.0,False,SUPERSOFT,5.0,False,1.0,0 days 00:13:03.554000,Ferrari,VET,67,False
0 days 00:16:35.825000,5,0 days 00:01:35.721000,5,,,0 days 00:00:30.119000,0 days 00:00:41.261000,0 days 00:00:24.341000,0 days 00:15:30.223000,0 days 00:16:11.484000,0 days 00:16:35.825000,240.0,251.0,278.0,298.0,False,SUPERSOFT,6.0,False,1.0,0 days 00:15:00.104000,Ferrari,VET,2,True
0 days 00:18:11.194000,5,0 days 00:01:35.369000,6,,,0 days 00:00:30.443000,0 days 00:00:41.306000,0 days 00:00:23.620000,0 days 00:17:06.268000,0 days 00:17:47.574000,0 days 00:18:11.194000,233.0,252.0,278.0,290.0,False,SUPERSOFT,7.0,False,1.0,0 days 00:16:35.825000,Ferrari,VET,2,True
0 days 00:19:46.715000,5,0 days 00:01:35.521000,7,,,0 days 00:00:30.444000,0 days 00:00:41.369000,0 days 00:00:23.708000,0 days 00:18:41.638000,0 days 00:19:23.007000,0 days 00:19:46.715000,238.0,254.0,280.0,297.0,False,SUPERSOFT,8.0,False,1.0,0 days 00:18:11.194000,Ferrari,VET,1,True
0 days 00:21:22.410000,5,0 days 00:01:35.695000,8,,,0 days 00:00:30.538000,0 days 00:00:41.438000,0 days 00:00:23.719000,0 days 00:20:17.253000,0 days 00:20:58.691000,0 days 00:21:22.410000,235.0,253.0,278.0,294.0,False,SUPERSOFT,9.0,False,1.0,0 days 00:19:46.715000,Ferrari,VET,1,True
0 days 00:22:58.225000,5,0 days 00:01:35.815000,9,,,0 days 00:00:30.485000,0 days 00:00:41.504000,0 days 00:00:23.826000,0 days 00:21:52.895000,0 days 00:22:34.399000,0 days 00:22:58.225000,236.0,253.0,278.0,295.0,False,SUPERSOFT,10.0,False,1.0,0 days 00:21:22.410000,Ferrari,VET,1,True
0 days 00:24:33.946000,5,0 days 00:01:35.721000,10,,,0 days 00:00:30.504000,0 days 00:00:41.422000,0 days 00:00:23.795000,0 days 00:23:28.729000,0 days 00:24:10.151000,0 days 00:24:33.946000,235.0,253.0,279.0,294.0,False,SUPERSOFT,11.0,False,1.0,0 days 00:22:58.225000,Ferrari,VET,1,True
