Time,DriverNumber,LapTime,LapNumber,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Stint,LapStartTime,Team,Driver,TrackStatus,IsAccurate,LapStartDate
0 days 00:08:37.853000,5,,1.0,0 days 00:00:02.456000,,,0 days 00:00:28.184000,0 days 00:00:47.241000,,0 days 00:07:50.748000,0 days 00:08:37.921000,252.0,93.0,188.0,183.0,False,,,,,0 days 00:06:56.859000,Ferrari,VET,24,False,2018-06-10 18:12:56.924
0 days 00:10:49.471000,5,0 days 00:02:11.618000,2.0,,,0 days 00:00:34.873000,0 days 00:00:49.848000,0 days 00:00:46.897000,0 days 00:09:12.726000,0 days 00:10:02.574000,0 days 00:10:49.471000,83.0,180.0,184.0,190.0,False,,,,,0 days 00:08:37.853000,Ferrari,VET,4,False,2018-06-10 18:14:37.918
0 days 00:12:54.275000,5,0 days 00:02:04.804000,3.0,,,0 days 00:00:36.480000,0 days 00:00:42.161000,0 days 00:00:46.163000,0 days 00:11:25.951000,0 days 00:12:08.112000,0 days 00:12:54.275000,67.0,168.0,188.0,162.0,False,ULTRASOFT,4.0,False,1.0,0 days 00:10:49.471000,Ferrari,VET,4,False,2018-06-10 18:16:49.536
0 days 00:15:00.481000,5,0 days 00:02:06.206000,4.0,,,0 days 00:00:34.541000,0 days 00:00:39.136000,0 days 00:00:52.529000,0 days 00:13:28.816000,0 days 00:14:07.952000,0 days 00:15:00.481000,76.0,140.0,279.0,247.0,False,ULTRASOFT,5.0,False,1.0,0 days 00:12:54.275000,Ferrari,VET,4,False,2018-06-10 18:18:54.340
0 days 00:16:17.426000,5,0 days 00:01:16.945000,5.0,,,0 days 00:00:21.333000,0 days 00:00:24.651000,0 days 00:00:30.961000,0 days 00:15:21.814000,0 days 00:15:46.465000,0 days 00:16:17.426000,250.0,275.0,276.0,300.0,False,ULTRASOFT,6.0,False,1.0,0 days 00:15:00.481000,Ferrari,VET,1,False,2018-06-10 18:21:00.546
0 days 00:17:33.741000,5,0 days 00:01:16.315000,6.0,,,0 days 00:00:21.158000,0 days 00:00:24.602000,0 days 00:00:30.555000,0 days 00:16:38.584000,0 days 00:17:03.186000,0 days 00:17:33.741000,243.0,274.0,277.0,302.0,False,ULTRASOFT,7.0,False,1.0,0 days 00:16:17.426000,Ferrari,VET,1,True,2018-06-10 18:22:17.491
0 days 00:18:49.557000,5,0 days 00:01:15.816000,7.0,,,0 days 00:00:21.023000,0 days 00:00:24.488000,0 days 00:00:30.305000,0 days 00:17:54.764000,0 days 00:18:19.252000,0 days 00:18:49.557000,250.0,276.0,280.0,305.0,False,ULTRASOFT,8.0,False,1.0,0 days 00:17:33.741000,Ferrari,VET,1,True,2018-06-10 18:23:33.806
0 days 00:20:05.505000,5,0 days 00:01:15.948000,8.0,,,0 days 00:00:20.981000,0 days 00:00:24.505000,0 days 00:00:30.462000,0 days 00:19:10.538000,0 days 00:19:35.043000,0 days 00:20:05.505000,246.0,275.0,279.0,303.0,False,ULTRASOFT,9.0,False,1.0,0 days 00:18:49.557000,Ferrari,VET,1,True,2018-06-10 18:24:49.622
0 days 00:21:21.360000,5,0 days 00:01:15.855000,9.0,,,0 days 00:00:20.973000,0 days 00:00:24.403000,0 days 00:00:30.479000,0 days 00:20:26.478000,0 days 00:20:50.881000,0 days 00:21:21.360000,247.0,276.0,278.0,304.0,False,ULTRASOFT,10.0,False,1.0,0 days 00:20:05.505000,Ferrari,VET,1,True,2018-06-10 18:26:05.570
0 days 00:22:36.835000,5,0 days 00:01:15.475000,10.0,,,0 days 00:00:20.826000,0 days 00:00:24.298000,0 days 00:00:30.351000,0 days 00:21:42.186000,0 days 00:22:06.484000,0 days 00:22:36.835000,249.0,276.0,280.0,304.0,False,ULTRASOFT,11.0,False,1.0,0 days 00:21:21.360000,Ferrari,VET,1,True,2018-06-10 18:27:21.425
0 days 00:23:52.641000,5,0 days 00:01:15.806000,11.0,,,0 days 00:00:20.885000,0 days 00:00:24.451000,0 days 00:00:30.470000,0 days 00:22:57.720000,0 days 00:23:22.171000,0 days 00:23:52.641000,246.0,277.0,278.0,304.0,False,ULTRASOFT,12.0,False,1.0,0 days 00:22:36.835000,Ferrari,VET,1,True,2018-06-10 18:28:36.900
0 days 00:25:07.990000,5,0 days 00:01:15.349000,12.0,,,0 days 00:00:20.802000,0 days 00:00:24.346000,0 days 00:00:30.201000,0 days 00:24:13.443000,0 days 00:24:37.789000,0 days 00:25:07.990000,251.0,277.0,280.0,305.0,False,ULTRASOFT,13.0,False,1.0,0 days 00:23:52.641000,Ferrari,VET,1,True,2018-06-10 18:29:52.706
0 days 00:26:23.553000,5,0 days 00:01:15.563000,13.0,,,0 days 00:00:20.874000,0 days 00:00:24.333000,0 days 00:00:30.356000,0 days 00:25:28.864000,0 days 00:25:53.197000,0 days 00:26:23.553000,248.0,277.0,280.0,304.0,False,ULTRASOFT,14.0,False,1.0,0 days 00:25:07.990000,Ferrari,VET,1,True,2018-06-10 18:31:08.055
0 days 00:27:39.074000,5,0 days 00:01:15.521000,14.0,,,0 days 00:00:20.907000,0 days 00:00:24.249000,0 days 00:00:30.365000,0 days 00:26:44.460000,0 days 00:27:08.709000,0 days 00:27:39.074000,250.0,278.0,279.0,304.0,False,ULTRASOFT,15.0,False,1.0,0 days 00:26:23.553000,Ferrari,VET,1,True,2018-06-10 18:32:23.618
0 days 00:28:54.499000,5,0 days 00:01:15.425000,15.0,,,0 days 00:00:20.841000,0 days 00:00:24.245000,0 days 00:00:30.339000,0 days 00:27:59.915000,0 days 00:28:24.160000,0 days 00:28:54.499000,249.0,278.0,280.0,304.0,False,ULTRASOFT,16.0,False,1.0,0 days 00:27:39.074000,Ferrari,VET,1,True,2018-06-10 18:33:39.139
0 days 00:30:10.094000,5,0 days 00:01:15.595000,16.0,,,0 days 00:00:20.889000,0 days 00:00:24.350000,0 days 00:00:30.356000,0 days 00:29:15.388000,0 days 00:29:39.738000,0 days 00:30:10.094000,248.0,278.0,280.0,304.0,False,ULTRASOFT,17.0,False,1.0,0 days 00:28:54.499000,Ferrari,VET,1,True,2018-06-10 18:34:54.564
0 days 00:31:25.304000,5,0 days 00:01:15.210000,17.0,,,0 days 00:00:20.749000,0 days 00:00:24.192000,0 days 00:00:30.269000,0 days 00:30:30.843000,0 days 00:30:55.035000,0 days 00:31:25.304000,251.0,278.0,280.0,306.0,False,ULTRASOFT,18.0,False,1.0,0 days 00:30:10.094000,Ferrari,VET,1,True,2018-06-10 18:36:10.159
0 days 00:32:40.763000,5,0 days 00:01:15.459000,18.0,,,0 days 00:00:20.860000,0 days 00:00:24.182000,0 days 00:00:30.417000,0 days 00:31:46.164000,0 days 00:32:10.346000,0 days 00:32:40.763000,247.0,278.0,280.0,305.0,False,ULTRASOFT,19.0,False,1.0,0 days 00:31:25.304000,Ferrari,VET,1,True,2018-06-10 18:37:25.369
0 days 00:33:55.991000,5,0 days 00:01:15.228000,19.0,,,0 days 00:00:20.872000,0 days 00:00:24.199000,0 days 00:00:30.157000,0 days 00:33:01.635000,0 days 00:33:25.834000,0 days 00:33:55.991000,252.0,278.0,282.0,308.0,False,ULTRASOFT,20.0,False,1.0,0 days 00:32:40.763000,Ferrari,VET,1,True,2018-06-10 18:38:40.828
0 days 00:35:11.312000,5,0 days 00:01:15.321000,20.0,,,0 days 00:00:20.814000,0 days 00:00:24.294000,0 days 00:00:30.213000,0 days 00:34:16.805000,0 days 00:34:41.099000,0 days 00:35:11.312000,251.0,277.0,281.0,307.0,False,ULTRASOFT,21.0,False,1.0,0 days 00:33:55.991000,Ferrari,VET,1,True,2018-06-10 18:39:56.056
0 days 00:36:26.610000,5,0 days 00:01:15.298000,21.0,,,0 days 00:00:20.809000,0 days 00:00:24.195000,0 days 00:00:30.294000,0 days 00:35:32.121000,0 days 00:35:56.316000,0 days 00:36:26.610000,250.0,278.0,281.0,307.0,False,ULTRASOFT,22.0,False,1.0,0 days 00:35:11.312000,Ferrari,VET,1,True,2018-06-10 18:41:11.377
0 days 00:37:41.970000,5,0 days 00:01:15.360000,22.0,,,0 days 00:00:20.772000,0 days 00:00:24.256000,0 days 00:00:30.332000,0 days 00:36:47.382000,0 days 00:37:11.638000,0 days 00:37:41.970000,252.0,279.0,282.0,311.0,False,ULTRASOFT,23.0,False,1.0,0 days 00:36:26.610000,Ferrari,VET,1,True,2018-06-10 18:42:26.675
0 days 00:38:57.537000,5,0 days 00:01:15.567000,23.0,,,0 days 00:00:21.059000,0 days 00:00:24.241000,0 days 00:00:30.267000,0 days 00:38:03.029000,0 days 00:38:27.270000,0 days 00:38:57.537000,251.0,280.0,282.0,310.0,False,ULTRASOFT,24.0,False,1.0,0 days 00:37:41.970000,Ferrari,VET,1,True,2018-06-10 18:43:42.035
0 days 00:40:12.772000,5,0 days 00:01:15.235000,24.0,,,0 days 00:00:20.781000,0 days 00:00:24.189000,0 days 00:00:30.265000,0 days 00:39:18.318000,0 days 00:39:42.507000,0 days 00:40:12.772000,254.0,281.0,284.0,313.0,False,ULTRASOFT,25.0,False,1.0,0 days 00:38:57.537000,Ferrari,VET,1,True,2018-06-10 18:44:57.602
0 days 00:41:29.531000,5,0 days 00:01:16.759000,25.0,,,0 days 00:00:20.903000,0 days 00:00:25.168000,0 days 00:00:30.688000,0 days 00:40:33.675000,0 days 00:40:58.843000,0 days 00:41:29.531000,251.0,281.0,285.0,314.0,False,ULTRASOFT,26.0,False,1.0,0 days 00:40:12.772000,Ferrari,VET,1,True,2018-06-10 18:46:12.837
0 days 00:42:45.018000,5,0 days 00:01:15.487000,26.0,,,0 days 00:00:20.910000,0 days 00:00:24.412000,0 days 00:00:30.165000,0 days 00:41:50.441000,0 days 00:42:14.853000,0 days 00:42:45.018000,252.0,283.0,291.0,318.0,False,ULTRASOFT,27.0,False,1.0,0 days 00:41:29.531000,Ferrari,VET,1,True,2018-06-10 18:47:29.596
0 days 00:44:01.163000,5,0 days 00:01:16.145000,27.0,,,0 days 00:00:21.280000,0 days 00:00:24.412000,0 days 00:00:30.453000,0 days 00:43:06.298000,0 days 00:43:30.710000,0 days 00:44:01.163000,255.0,283.0,283.0,318.0,False,ULTRASOFT,28.0,False,1.0,0 days 00:42:45.018000,Ferrari,VET,1,True,2018-06-10 18:48:45.083
0 days 00:45:16.713000,5,0 days 00:01:15.550000,28.0,,,0 days 00:00:20.913000,0 days 00:00:24.300000,0 days 00:00:30.337000,0 days 00:44:22.076000,0 days 00:44:46.376000,0 days 00:45:16.713000,249.0,280.0,283.0,309.0,False,ULTRASOFT,29.0,False,1.0,0 days 00:44:01.163000,Ferrari,VET,1,True,2018-06-10 18:50:01.228
0 days 00:46:31.772000,5,0 days 00:01:15.059000,29.0,,,0 days 00:00:20.770000,0 days 00:00:24.224000,0 days 00:00:30.065000,0 days 00:45:37.483000,0 days 00:46:01.707000,0 days 00:46:31.772000,254.0,281.0,286.0,312.0,False,ULTRASOFT,30.0,False,1.0,0 days 00:45:16.713000,Ferrari,VET,1,True,2018-06-10 18:51:16.778
0 days 00:47:46.849000,5,0 days 00:01:15.077000,30.0,,,0 days 00:00:20.806000,0 days 00:00:24.204000,0 days 00:00:30.067000,0 days 00:46:52.578000,0 days 00:47:16.782000,0 days 00:47:46.849000,253.0,282.0,287.0,314.0,False,ULTRASOFT,31.0,False,1.0,0 days 00:46:31.772000,Ferrari,VET,1,True,2018-06-10 18:52:31.837
0 days 00:49:02.263000,5,0 days 00:01:15.414000,31.0,,,0 days 00:00:20.811000,0 days 00:00:24.401000,0 days 00:00:30.202000,0 days 00:48:07.660000,0 days 00:48:32.061000,0 days 00:49:02.263000,252.0,282.0,285.0,312.0,False,ULTRASOFT,32.0,False,1.0,0 days 00:47:46.849000,Ferrari,VET,1,True,2018-06-10 18:53:46.914
0 days 00:50:18.003000,5,0 days 00:01:15.740000,32.0,,,0 days 00:00:20.903000,0 days 00:00:24.450000,0 days 00:00:30.387000,0 days 00:49:23.166000,0 days 00:49:47.616000,0 days 00:50:18.003000,255.0,283.0,287.0,319.0,False,ULTRASOFT,33.0,False,1.0,0 days 00:49:02.263000,Ferrari,VET,1,True,2018-06-10 18:55:02.328
0 days 00:51:33.589000,5,0 days 00:01:15.586000,33.0,,,0 days 00:00:21.204000,0 days 00:00:24.169000,0 days 00:00:30.213000,0 days 00:50:39.207000,0 days 00:51:03.376000,0 days 00:51:33.589000,252.0,283.0,286.0,315.0,False,ULTRASOFT,34.0,False,1.0,0 days 00:50:18.003000,Ferrari,VET,1,True,2018-06-10 18:56:18.068
0 days 00:52:48.756000,5,0 days 00:01:15.167000,34.0,,,0 days 00:00:20.862000,0 days 00:00:24.313000,0 days 00:00:29.992000,0 days 00:51:54.451000,0 days 00:52:18.764000,0 days 00:52:48.756000,257.0,284.0,294.0,326.0,False,ULTRASOFT,35.0,False,1.0,0 days 00:51:33.589000,Ferrari,VET,1,True,2018-06-10 18:57:33.654
0 days 00:54:04.454000,5,0 days 00:01:15.698000,35.0,,,0 days 00:00:20.996000,0 days 00:00:24.209000,0 days 00:00:30.493000,0 days 00:53:09.752000,0 days 00:53:33.961000,0 days 00:54:04.454000,253.0,282.0,282.0,309.0,False,ULTRASOFT,36.0,False,1.0,0 days 00:52:48.756000,Ferrari,VET,1,True,2018-06-10 18:58:48.821
0 days 00:55:19.731000,5,0 days 00:01:15.277000,36.0,,,0 days 00:00:20.904000,0 days 00:00:24.217000,0 days 00:00:30.156000,0 days 00:54:25.358000,0 days 00:54:49.575000,0 days 00:55:19.731000,254.0,283.0,285.0,311.0,False,ULTRASOFT,37.0,False,1.0,0 days 00:54:04.454000,Ferrari,VET,1,True,2018-06-10 19:00:04.519
0 days 00:56:51.462000,5,0 days 00:01:31.731000,37.0,,0 days 00:56:29.492000,0 days 00:00:20.954000,0 days 00:00:24.546000,0 days 00:00:46.231000,0 days 00:55:40.685000,0 days 00:56:05.231000,0 days 00:56:51.462000,252.0,282.0,,313.0,False,ULTRASOFT,38.0,False,1.0,0 days 00:55:19.731000,Ferrari,VET,1,False,2018-06-10 19:01:19.796
0 days 00:58:09.170000,5,0 days 00:01:17.708000,38.0,0 days 00:56:52.932000,,0 days 00:00:23.067000,0 days 00:00:24.401000,0 days 00:00:30.240000,0 days 00:57:14.529000,0 days 00:57:38.930000,0 days 00:58:09.170000,246.0,277.0,282.0,305.0,False,SUPERSOFT,1.0,True,2.0,0 days 00:56:51.462000,Ferrari,VET,1,False,2018-06-10 19:02:51.527
0 days 00:59:23.738000,5,0 days 00:01:14.568000,39.0,,,0 days 00:00:20.582000,0 days 00:00:24.020000,0 days 00:00:29.966000,0 days 00:58:29.752000,0 days 00:58:53.772000,0 days 00:59:23.738000,255.0,281.0,287.0,309.0,False,SUPERSOFT,2.0,True,2.0,0 days 00:58:09.170000,Ferrari,VET,1,True,2018-06-10 19:04:09.235
0 days 01:00:37.901000,5,0 days 00:01:14.163000,40.0,,,0 days 00:00:20.569000,0 days 00:00:23.854000,0 days 00:00:29.740000,0 days 00:59:44.307000,0 days 01:00:08.161000,0 days 01:00:37.901000,257.0,286.0,287.0,320.0,False,SUPERSOFT,3.0,True,2.0,0 days 00:59:23.738000,Ferrari,VET,1,True,2018-06-10 19:05:23.803
0 days 01:01:52.862000,5,0 days 00:01:14.961000,41.0,,,0 days 00:00:20.952000,0 days 00:00:23.930000,0 days 00:00:30.079000,0 days 01:00:58.853000,0 days 01:01:22.783000,0 days 01:01:52.862000,247.0,280.0,287.0,310.0,False,SUPERSOFT,4.0,True,2.0,0 days 01:00:37.901000,Ferrari,VET,1,True,2018-06-10 19:06:37.966
0 days 01:03:07.328000,5,0 days 00:01:14.466000,42.0,,,0 days 00:00:20.442000,0 days 00:00:23.980000,0 days 00:00:30.044000,0 days 01:02:13.304000,0 days 01:02:37.284000,0 days 01:03:07.328000,257.0,284.0,286.0,313.0,False,SUPERSOFT,5.0,True,2.0,0 days 01:01:52.862000,Ferrari,VET,1,True,2018-06-10 19:07:52.927
0 days 01:04:22.274000,5,0 days 00:01:14.946000,43.0,,,0 days 00:00:20.821000,0 days 00:00:24.002000,0 days 00:00:30.123000,0 days 01:03:28.149000,0 days 01:03:52.151000,0 days 01:04:22.274000,252.0,284.0,285.0,313.0,False,SUPERSOFT,6.0,True,2.0,0 days 01:03:07.328000,Ferrari,VET,1,True,2018-06-10 19:09:07.393
0 days 01:05:37.620000,5,0 days 00:01:15.346000,44.0,,,0 days 00:00:20.876000,0 days 00:00:24.419000,0 days 00:00:30.051000,0 days 01:04:43.150000,0 days 01:05:07.569000,0 days 01:05:37.620000,257.0,288.0,292.0,325.0,False,SUPERSOFT,7.0,True,2.0,0 days 01:04:22.274000,Ferrari,VET,1,True,2018-06-10 19:10:22.339
0 days 01:06:52.888000,5,0 days 00:01:15.268000,45.0,,,0 days 00:00:20.799000,0 days 00:00:24.132000,0 days 00:00:30.337000,0 days 01:05:58.419000,0 days 01:06:22.551000,0 days 01:06:52.888000,252.0,286.0,284.0,317.0,False,SUPERSOFT,8.0,True,2.0,0 days 01:05:37.620000,Ferrari,VET,1,True,2018-06-10 19:11:37.685
0 days 01:08:07.326000,5,0 days 00:01:14.438000,46.0,,,0 days 00:00:20.683000,0 days 00:00:23.819000,0 days 00:00:29.936000,0 days 01:07:13.571000,0 days 01:07:37.390000,0 days 01:08:07.326000,258.0,285.0,287.0,314.0,False,SUPERSOFT,9.0,True,2.0,0 days 01:06:52.888000,Ferrari,VET,1,True,2018-06-10 19:12:52.953
0 days 01:09:22.118000,5,0 days 00:01:14.792000,47.0,,,0 days 00:00:20.907000,0 days 00:00:23.795000,0 days 00:00:30.090000,0 days 01:08:28.233000,0 days 01:08:52.028000,0 days 01:09:22.118000,255.0,282.0,284.0,307.0,False,SUPERSOFT,10.0,True,2.0,0 days 01:08:07.326000,Ferrari,VET,1,True,2018-06-10 19:14:07.391
0 days 01:10:36.680000,5,0 days 00:01:14.562000,48.0,,,0 days 00:00:20.651000,0 days 00:00:23.889000,0 days 00:00:30.022000,0 days 01:09:42.769000,0 days 01:10:06.658000,0 days 01:10:36.680000,253.0,282.0,286.0,309.0,False,SUPERSOFT,11.0,True,2.0,0 days 01:09:22.118000,Ferrari,VET,1,True,2018-06-10 19:15:22.183
0 days 01:11:50.994000,5,0 days 00:01:14.314000,49.0,,,0 days 00:00:20.527000,0 days 00:00:23.865000,0 days 00:00:29.922000,0 days 01:10:57.207000,0 days 01:11:21.072000,0 days 01:11:50.994000,257.0,283.0,287.0,312.0,False,SUPERSOFT,12.0,True,2.0,0 days 01:10:36.680000,Ferrari,VET,1,True,2018-06-10 19:16:36.745
0 days 01:13:05.820000,5,0 days 00:01:14.826000,50.0,,,0 days 00:00:20.649000,0 days 00:00:24.025000,0 days 00:00:30.152000,0 days 01:12:11.643000,0 days 01:12:35.668000,0 days 01:13:05.820000,253.0,284.0,286.0,308.0,False,SUPERSOFT,13.0,True,2.0,0 days 01:11:50.994000,Ferrari,VET,1,True,2018-06-10 19:17:51.059
0 days 01:14:20.259000,5,0 days 00:01:14.439000,51.0,,,0 days 00:00:20.652000,0 days 00:00:23.799000,0 days 00:00:29.988000,0 days 01:13:26.472000,0 days 01:13:50.271000,0 days 01:14:20.259000,258.0,286.0,287.0,315.0,False,SUPERSOFT,14.0,True,2.0,0 days 01:13:05.820000,Ferrari,VET,1,True,2018-06-10 19:19:05.885
0 days 01:15:35.048000,5,0 days 00:01:14.789000,52.0,,,0 days 00:00:20.736000,0 days 00:00:23.895000,0 days 00:00:30.158000,0 days 01:14:40.995000,0 days 01:15:04.890000,0 days 01:15:35.048000,253.0,283.0,285.0,309.0,False,SUPERSOFT,15.0,True,2.0,0 days 01:14:20.259000,Ferrari,VET,1,True,2018-06-10 19:20:20.324
0 days 01:16:49.273000,5,0 days 00:01:14.225000,53.0,,,0 days 00:00:20.500000,0 days 00:00:23.879000,0 days 00:00:29.846000,0 days 01:15:55.548000,0 days 01:16:19.427000,0 days 01:16:49.273000,258.0,285.0,290.0,316.0,False,SUPERSOFT,16.0,True,2.0,0 days 01:15:35.048000,Ferrari,VET,1,True,2018-06-10 19:21:35.113
0 days 01:18:04.311000,5,0 days 00:01:15.038000,54.0,,,0 days 00:00:20.995000,0 days 00:00:23.955000,0 days 00:00:30.088000,0 days 01:17:10.268000,0 days 01:17:34.223000,0 days 01:18:04.311000,254.0,284.0,286.0,312.0,False,SUPERSOFT,17.0,True,2.0,0 days 01:16:49.273000,Ferrari,VET,1,True,2018-06-10 19:22:49.338
0 days 01:19:19.207000,5,0 days 00:01:14.896000,55.0,,,0 days 00:00:20.881000,0 days 00:00:24.074000,0 days 00:00:29.941000,0 days 01:18:25.192000,0 days 01:18:49.266000,0 days 01:19:19.207000,258.0,281.0,284.0,310.0,False,SUPERSOFT,18.0,True,2.0,0 days 01:18:04.311000,Ferrari,VET,1,True,2018-06-10 19:24:04.376
0 days 01:20:33.678000,5,0 days 00:01:14.471000,56.0,,,0 days 00:00:20.637000,0 days 00:00:23.834000,0 days 00:00:30,0 days 01:19:39.844000,0 days 01:20:03.678000,0 days 01:20:33.678000,251.0,283.0,285.0,308.0,False,SUPERSOFT,19.0,True,2.0,0 days 01:19:19.207000,Ferrari,VET,1,True,2018-06-10 19:25:19.272
0 days 01:21:47.642000,5,0 days 00:01:13.964000,57.0,,,0 days 00:00:20.461000,0 days 00:00:23.706000,0 days 00:00:29.797000,0 days 01:20:54.139000,0 days 01:21:17.845000,0 days 01:21:47.642000,257.0,283.0,287.0,311.0,True,SUPERSOFT,20.0,True,2.0,0 days 01:20:33.678000,Ferrari,VET,1,True,2018-06-10 19:26:33.743
0 days 01:23:01.708000,5,0 days 00:01:14.066000,58.0,,,0 days 00:00:20.431000,0 days 00:00:23.741000,0 days 00:00:29.894000,0 days 01:22:08.073000,0 days 01:22:31.814000,0 days 01:23:01.708000,255.0,282.0,288.0,311.0,False,SUPERSOFT,21.0,True,2.0,0 days 01:21:47.642000,Ferrari,VET,1,True,2018-06-10 19:27:47.707
