Time,DriverNumber,LapTime,LapNumber,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Stint,LapStartTime,Team,Driver,TrackStatus,IsAccurate,LapStartDate
0 days 00:20:06.617000,44,,1,0 days 00:00:05.627000,,,0 days 00:00:42.032000,0 days 00:00:18.095000,,0 days 00:19:48.544000,0 days 00:20:06.714000,279.0,306.0,262.0,296.0,False,,,,,0 days 00:18:31.869000,Mercedes,HAM,1,False,2018-10-07 05:13:32.001
0 days 00:21:41.084000,44,0 days 00:01:34.467000,2,,,0 days 00:00:33.750000,0 days 00:00:42.325000,0 days 00:00:18.392000,0 days 00:20:40.367000,0 days 00:21:22.692000,0 days 00:21:41.084000,271.0,308.0,261.0,296.0,False,,,,,0 days 00:20:06.617000,Mercedes,HAM,1,True,2018-10-07 05:15:06.749
0 days 00:23:16.468000,44,0 days 00:01:35.384000,3,,,0 days 00:00:34.145000,0 days 00:00:42.804000,0 days 00:00:18.435000,0 days 00:22:15.229000,0 days 00:22:58.033000,0 days 00:23:16.468000,272.0,306.0,261.0,295.0,False,SOFT,4.0,False,1.0,0 days 00:21:41.084000,Mercedes,HAM,1,True,2018-10-07 05:16:41.216
0 days 00:25:25.851000,44,0 days 00:02:09.383000,4,,,0 days 00:00:41.442000,0 days 00:00:56.041000,0 days 00:00:31.900000,0 days 00:23:57.910000,0 days 00:24:53.951000,0 days 00:25:25.851000,220.0,216.0,202.0,131.0,False,SOFT,5.0,False,1.0,0 days 00:23:16.468000,Mercedes,HAM,4,False,2018-10-07 05:18:16.600
0 days 00:27:52.840000,44,0 days 00:02:26.989000,5,,,0 days 00:00:53.187000,0 days 00:01:03.760000,0 days 00:00:30.042000,0 days 00:26:19.038000,0 days 00:27:22.798000,0 days 00:27:52.840000,163.0,208.0,137.0,155.0,False,SOFT,6.0,False,1.0,0 days 00:25:25.851000,Mercedes,HAM,4,False,2018-10-07 05:20:25.983
0 days 00:30:21.065000,44,0 days 00:02:28.225000,6,,,0 days 00:00:57.934000,0 days 00:01:03.358000,0 days 00:00:26.933000,0 days 00:28:50.774000,0 days 00:29:54.132000,0 days 00:30:21.065000,132.0,273.0,227.0,185.0,False,SOFT,7.0,False,1.0,0 days 00:27:52.840000,Mercedes,HAM,4,False,2018-10-07 05:22:52.972
0 days 00:32:50.609000,44,0 days 00:02:29.544000,7,,,0 days 00:00:54.539000,0 days 00:01:13.783000,0 days 00:00:21.222000,0 days 00:31:15.604000,0 days 00:32:29.387000,0 days 00:32:50.609000,178.0,133.0,262.0,265.0,False,SOFT,8.0,False,1.0,0 days 00:30:21.065000,Mercedes,HAM,4,False,2018-10-07 05:25:21.197
0 days 00:34:25.046000,44,0 days 00:01:34.437000,8,,,0 days 00:00:33.940000,0 days 00:00:42.352000,0 days 00:00:18.145000,0 days 00:33:24.549000,0 days 00:34:06.901000,0 days 00:34:25.046000,280.0,306.0,264.0,296.0,False,SOFT,9.0,False,1.0,0 days 00:32:50.609000,Mercedes,HAM,2,False,2018-10-07 05:27:50.741
0 days 00:35:59.392000,44,0 days 00:01:34.346000,9,,,0 days 00:00:33.848000,0 days 00:00:42.318000,0 days 00:00:18.180000,0 days 00:34:58.894000,0 days 00:35:41.212000,0 days 00:35:59.392000,272.0,307.0,263.0,298.0,False,SOFT,10.0,False,1.0,0 days 00:34:25.046000,Mercedes,HAM,1,True,2018-10-07 05:29:25.178
0 days 00:37:33.910000,44,0 days 00:01:34.518000,10,,,0 days 00:00:33.943000,0 days 00:00:42.355000,0 days 00:00:18.220000,0 days 00:36:33.335000,0 days 00:37:15.690000,0 days 00:37:33.910000,271.0,307.0,264.0,293.0,False,SOFT,11.0,False,1.0,0 days 00:35:59.392000,Mercedes,HAM,1,True,2018-10-07 05:30:59.524
