Time,DriverNumber,LapTime,LapNumber,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Stint,LapStartTime,Team,Driver,TrackStatus,IsAccurate,LapStartDate
0 days 00:34:21.946000,33,,1,0 days 00:00:05.915000,,,0 days 00:00:31.201000,0 days 00:00:20.741000,,0 days 00:34:01.236000,0 days 00:34:22.046000,292.0,278.0,248.0,310.0,False,ULTRASOFT,4.0,False,1,0 days 00:32:58.703000,Red Bull Racing,VER,1,False,2018-10-28 19:12:58.805
0 days 00:35:42.905000,33,0 days 00:01:20.959000,2,,,0 days 00:00:29.192000,0 days 00:00:31.076000,0 days 00:00:20.691000,0 days 00:34:51.138000,0 days 00:35:22.214000,0 days 00:35:42.905000,291.0,278.0,247.0,320.0,False,ULTRASOFT,5.0,False,1,0 days 00:34:21.946000,Red Bull Racing,VER,1,True,2018-10-28 19:14:22.048
0 days 00:37:03.996000,33,0 days 00:01:21.091000,3,,,0 days 00:00:28.851000,0 days 00:00:31.336000,0 days 00:00:20.904000,0 days 00:36:11.756000,0 days 00:36:43.092000,0 days 00:37:03.996000,282.0,277.0,246.0,318.0,False,ULTRASOFT,6.0,False,1,0 days 00:35:42.905000,Red Bull Racing,VER,1,True,2018-10-28 19:15:43.007
0 days 00:38:25.158000,33,0 days 00:01:21.162000,4,,,0 days 00:00:28.895000,0 days 00:00:31.335000,0 days 00:00:20.932000,0 days 00:37:32.891000,0 days 00:38:04.226000,0 days 00:38:25.158000,280.0,279.0,246.0,317.0,False,ULTRASOFT,7.0,False,1,0 days 00:37:03.996000,Red Bull Racing,VER,1,True,2018-10-28 19:17:04.098
0 days 00:40:03.859000,33,0 days 00:01:38.701000,5,,,0 days 00:00:28.924000,0 days 00:00:43.290000,0 days 00:00:26.487000,0 days 00:38:54.082000,0 days 00:39:37.372000,0 days 00:40:03.859000,277.0,195.0,182.0,318.0,False,ULTRASOFT,8.0,False,1,0 days 00:38:25.158000,Red Bull Racing,VER,267,False,2018-10-28 19:18:25.260
0 days 00:41:27.324000,33,0 days 00:01:23.465000,6,,,0 days 00:00:31.327000,0 days 00:00:31.302000,0 days 00:00:20.836000,0 days 00:40:35.186000,0 days 00:41:06.488000,0 days 00:41:27.324000,279.0,278.0,247.0,310.0,False,ULTRASOFT,9.0,False,1,0 days 00:40:03.859000,Red Bull Racing,VER,7,False,2018-10-28 19:20:03.961
0 days 00:42:48.501000,33,0 days 00:01:21.177000,7,,,0 days 00:00:28.855000,0 days 00:00:31.303000,0 days 00:00:21.019000,0 days 00:41:56.179000,0 days 00:42:27.482000,0 days 00:42:48.501000,281.0,277.0,246.0,321.0,False,ULTRASOFT,10.0,False,1,0 days 00:41:27.324000,Red Bull Racing,VER,1,True,2018-10-28 19:21:27.426
0 days 00:44:09.424000,33,0 days 00:01:20.923000,8,,,0 days 00:00:28.820000,0 days 00:00:31.287000,0 days 00:00:20.816000,0 days 00:43:17.321000,0 days 00:43:48.608000,0 days 00:44:09.424000,282.0,277.0,246.0,,False,ULTRASOFT,11.0,False,1,0 days 00:42:48.501000,Red Bull Racing,VER,1,True,2018-10-28 19:22:48.603
0 days 00:45:30.673000,33,0 days 00:01:21.249000,9,,,0 days 00:00:28.901000,0 days 00:00:31.276000,0 days 00:00:21.072000,0 days 00:44:38.325000,0 days 00:45:09.601000,0 days 00:45:30.673000,,278.0,246.0,,False,ULTRASOFT,12.0,False,1,0 days 00:44:09.424000,Red Bull Racing,VER,1,True,2018-10-28 19:24:09.526
0 days 00:46:52.307000,33,0 days 00:01:21.634000,10,,,0 days 00:00:29.008000,0 days 00:00:31.551000,0 days 00:00:21.075000,0 days 00:45:59.681000,0 days 00:46:31.232000,0 days 00:46:52.307000,281.0,277.0,246.0,322.0,False,ULTRASOFT,13.0,False,1,0 days 00:45:30.673000,Red Bull Racing,VER,1,True,2018-10-28 19:25:30.775
