Time,DriverNumber,LapTime,LapNumber,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Stint,LapStartTime,Team,Driver,TrackStatus,IsAccurate,LapStartDate
0 days 00:08:09.703000,3,,1,0 days 00:00:04.191000,,,0 days 00:00:36.597000,0 days 00:00:20.954000,,0 days 00:07:48.816000,0 days 00:08:09.810000,192.0,191.0,251.0,271.0,False,,,,,0 days 00:06:47.319000,Red Bull Racing,RIC,2,False,2018-05-27 13:12:47.349
0 days 00:09:27.838000,3,0 days 00:01:18.135000,2,,,0 days 00:00:20.757000,0 days 00:00:36.560000,0 days 00:00:20.818000,0 days 00:08:30.460000,0 days 00:09:07.020000,0 days 00:09:27.838000,199.0,187.0,252.0,272.0,False,,,,,0 days 00:08:09.703000,Red Bull Racing,RIC,2,True,2018-05-27 13:14:09.733
0 days 00:10:45.648000,3,0 days 00:01:17.810000,3,,,0 days 00:00:20.671000,0 days 00:00:36.380000,0 days 00:00:20.759000,0 days 00:09:48.509000,0 days 00:10:24.889000,0 days 00:10:45.648000,,187.0,251.0,272.0,False,HYPERSOFT,4.0,False,1.0,0 days 00:09:27.838000,Red Bull Racing,RIC,1,True,2018-05-27 13:15:27.868
0 days 00:12:03.444000,3,0 days 00:01:17.796000,4,,,0 days 00:00:20.658000,0 days 00:00:36.225000,0 days 00:00:20.913000,0 days 00:11:06.306000,0 days 00:11:42.531000,0 days 00:12:03.444000,198.0,188.0,252.0,272.0,False,HYPERSOFT,5.0,False,1.0,0 days 00:10:45.648000,Red Bull Racing,RIC,1,True,2018-05-27 13:16:45.678
0 days 00:13:20.993000,3,0 days 00:01:17.549000,5,,,0 days 00:00:20.680000,0 days 00:00:36.228000,0 days 00:00:20.641000,0 days 00:12:24.124000,0 days 00:13:00.352000,0 days 00:13:20.993000,196.0,188.0,253.0,273.0,False,HYPERSOFT,6.0,False,1.0,0 days 00:12:03.444000,Red Bull Racing,RIC,1,True,2018-05-27 13:18:03.474
0 days 00:14:38.421000,3,0 days 00:01:17.428000,6,,,0 days 00:00:20.616000,0 days 00:00:36.148000,0 days 00:00:20.664000,0 days 00:13:41.609000,0 days 00:14:17.757000,0 days 00:14:38.421000,195.0,188.0,253.0,274.0,False,HYPERSOFT,7.0,False,1.0,0 days 00:13:20.993000,Red Bull Racing,RIC,1,True,2018-05-27 13:19:21.023
0 days 00:15:55.495000,3,0 days 00:01:17.074000,7,,,0 days 00:00:20.679000,0 days 00:00:35.776000,0 days 00:00:20.619000,0 days 00:14:59.100000,0 days 00:15:34.876000,0 days 00:15:55.495000,,187.0,253.0,275.0,False,HYPERSOFT,8.0,False,1.0,0 days 00:14:38.421000,Red Bull Racing,RIC,1,True,2018-05-27 13:20:38.451
0 days 00:17:12.605000,3,0 days 00:01:17.110000,8,,,0 days 00:00:20.620000,0 days 00:00:35.850000,0 days 00:00:20.640000,0 days 00:16:16.115000,0 days 00:16:51.965000,0 days 00:17:12.605000,198.0,188.0,253.0,274.0,False,HYPERSOFT,9.0,False,1.0,0 days 00:15:55.495000,Red Bull Racing,RIC,1,True,2018-05-27 13:21:55.525
0 days 00:18:29.477000,3,0 days 00:01:16.872000,9,,,0 days 00:00:20.618000,0 days 00:00:35.759000,0 days 00:00:20.495000,0 days 00:17:33.223000,0 days 00:18:08.982000,0 days 00:18:29.477000,199.0,190.0,253.0,274.0,False,HYPERSOFT,10.0,False,1.0,0 days 00:17:12.605000,Red Bull Racing,RIC,1,True,2018-05-27 13:23:12.635
0 days 00:19:46.524000,3,0 days 00:01:17.047000,10,,,0 days 00:00:20.525000,0 days 00:00:35.656000,0 days 00:00:20.866000,0 days 00:18:50.002000,0 days 00:19:25.658000,0 days 00:19:46.524000,,192.0,254.0,275.0,False,HYPERSOFT,11.0,False,1.0,0 days 00:18:29.477000,Red Bull Racing,RIC,1,True,2018-05-27 13:24:29.507
0 days 00:21:02.959000,3,0 days 00:01:16.435000,11,,,0 days 00:00:20.376000,0 days 00:00:35.505000,0 days 00:00:20.554000,0 days 00:20:06.900000,0 days 00:20:42.405000,0 days 00:21:02.959000,203.0,190.0,255.0,275.0,False,HYPERSOFT,12.0,False,1.0,0 days 00:19:46.524000,Red Bull Racing,RIC,1,True,2018-05-27 13:25:46.554
0 days 00:22:19.807000,3,0 days 00:01:16.848000,12,,,0 days 00:00:20.519000,0 days 00:00:35.803000,0 days 00:00:20.526000,0 days 00:21:23.478000,0 days 00:21:59.281000,0 days 00:22:19.807000,200.0,191.0,254.0,275.0,False,HYPERSOFT,13.0,False,1.0,0 days 00:21:02.959000,Red Bull Racing,RIC,1,True,2018-05-27 13:27:02.989
0 days 00:23:35.369000,3,0 days 00:01:15.562000,13,,,0 days 00:00:20.121000,0 days 00:00:35.292000,0 days 00:00:20.149000,0 days 00:22:39.928000,0 days 00:23:15.220000,0 days 00:23:35.369000,204.0,195.0,255.0,276.0,True,HYPERSOFT,14.0,False,1.0,0 days 00:22:19.807000,Red Bull Racing,RIC,1,True,2018-05-27 13:28:19.837
0 days 00:24:51.161000,3,0 days 00:01:15.792000,14,,,0 days 00:00:20.102000,0 days 00:00:35.305000,0 days 00:00:20.385000,0 days 00:23:55.471000,0 days 00:24:30.776000,0 days 00:24:51.161000,203.0,194.0,256.0,277.0,False,HYPERSOFT,15.0,False,1.0,0 days 00:23:35.369000,Red Bull Racing,RIC,2,True,2018-05-27 13:29:35.399
0 days 00:26:06.895000,3,0 days 00:01:15.734000,15,,,0 days 00:00:20.101000,0 days 00:00:35.414000,0 days 00:00:20.219000,0 days 00:25:11.262000,0 days 00:25:46.676000,0 days 00:26:06.895000,207.0,193.0,257.0,278.0,False,HYPERSOFT,16.0,False,1.0,0 days 00:24:51.161000,Red Bull Racing,RIC,1,True,2018-05-27 13:30:51.191
0 days 00:27:23.876000,3,0 days 00:01:16.981000,16,,,0 days 00:00:20.277000,0 days 00:00:35.943000,0 days 00:00:20.761000,0 days 00:26:27.172000,0 days 00:27:03.115000,0 days 00:27:23.876000,201.0,190.0,256.0,282.0,False,HYPERSOFT,17.0,False,1.0,0 days 00:26:06.895000,Red Bull Racing,RIC,1,True,2018-05-27 13:32:06.925
0 days 00:28:56.456000,3,0 days 00:01:32.580000,17,,0 days 00:28:32.716000,0 days 00:00:19.989000,0 days 00:00:35.178000,0 days 00:00:37.413000,0 days 00:27:43.865000,0 days 00:28:19.043000,0 days 00:28:56.456000,210.0,198.0,,279.0,False,HYPERSOFT,18.0,False,1.0,0 days 00:27:23.876000,Red Bull Racing,RIC,1,False,2018-05-27 13:33:23.906
0 days 00:30:17.117000,3,0 days 00:01:20.661000,18,0 days 00:28:57.248000,,0 days 00:00:23.279000,0 days 00:00:36.538000,0 days 00:00:20.844000,0 days 00:29:19.735000,0 days 00:29:56.273000,0 days 00:30:17.117000,189.0,186.0,256.0,278.0,False,ULTRASOFT,1.0,True,2.0,0 days 00:28:56.456000,Red Bull Racing,RIC,1,False,2018-05-27 13:34:56.486
0 days 00:31:35.160000,3,0 days 00:01:18.043000,19,,,0 days 00:00:20.862000,0 days 00:00:36.440000,0 days 00:00:20.741000,0 days 00:30:37.979000,0 days 00:31:14.419000,0 days 00:31:35.160000,191.0,186.0,256.0,279.0,False,ULTRASOFT,2.0,True,2.0,0 days 00:30:17.117000,Red Bull Racing,RIC,1,True,2018-05-27 13:36:17.147
0 days 00:32:53.991000,3,0 days 00:01:18.831000,20,,,0 days 00:00:20.979000,0 days 00:00:36.588000,0 days 00:00:21.264000,0 days 00:31:56.139000,0 days 00:32:32.727000,0 days 00:32:53.991000,,184.0,257.0,280.0,False,ULTRASOFT,3.0,True,2.0,0 days 00:31:35.160000,Red Bull Racing,RIC,1,True,2018-05-27 13:37:35.190
0 days 00:34:12.386000,3,0 days 00:01:18.395000,21,,,0 days 00:00:20.857000,0 days 00:00:36.389000,0 days 00:00:21.149000,0 days 00:33:14.848000,0 days 00:33:51.237000,0 days 00:34:12.386000,193.0,184.0,256.0,279.0,False,ULTRASOFT,4.0,True,2.0,0 days 00:32:53.991000,Red Bull Racing,RIC,1,True,2018-05-27 13:38:54.021
0 days 00:35:31.098000,3,0 days 00:01:18.712000,22,,,0 days 00:00:21.157000,0 days 00:00:36.639000,0 days 00:00:20.916000,0 days 00:34:33.543000,0 days 00:35:10.182000,0 days 00:35:31.098000,190.0,185.0,257.0,280.0,False,ULTRASOFT,5.0,True,2.0,0 days 00:34:12.386000,Red Bull Racing,RIC,1,True,2018-05-27 13:40:12.416
