Time,DriverNumber,LapTime,LapNumber,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Stint,LapStartTime,Team,Driver,TrackStatus,IsAccurate,LapStartDate
0 days 00:35:06.798000,77,,1,0 days 00:00:07.056000,,,0 days 00:00:23.615000,0 days 00:00:35.507000,,0 days 00:34:31.449000,0 days 00:35:06.857000,271.0,279.0,281.0,242.0,False,SOFT,4.0,False,1,0 days 00:33:32.727000,Mercedes,BOT,2,False,2019-03-17 05:13:33.030
0 days 00:36:36.460000,77,0 days 00:01:29.662000,2,,,0 days 00:00:30.155000,0 days 00:00:23.778000,0 days 00:00:35.729000,0 days 00:35:36.953000,0 days 00:36:00.731000,0 days 00:36:36.460000,262.0,274.0,281.0,289.0,False,SOFT,5.0,False,1,0 days 00:35:06.798000,Mercedes,BOT,1,True,2019-03-17 05:15:07.101
0 days 00:38:05.706000,77,0 days 00:01:29.246000,3,,,0 days 00:00:29.808000,0 days 00:00:23.702000,0 days 00:00:35.736000,0 days 00:37:06.268000,0 days 00:37:29.970000,0 days 00:38:05.706000,261.0,271.0,282.0,283.0,False,SOFT,6.0,False,1,0 days 00:36:36.460000,Mercedes,BOT,1,True,2019-03-17 05:16:36.763
0 days 00:39:34.347000,77,0 days 00:01:28.641000,4,,,0 days 00:00:29.564000,0 days 00:00:23.568000,0 days 00:00:35.509000,0 days 00:38:35.270000,0 days 00:38:58.838000,0 days 00:39:34.347000,266.0,275.0,282.0,291.0,False,SOFT,7.0,False,1,0 days 00:38:05.706000,Mercedes,BOT,1,True,2019-03-17 05:18:06.009
0 days 00:41:03.106000,77,0 days 00:01:28.759000,5,,,0 days 00:00:29.504000,0 days 00:00:23.798000,0 days 00:00:35.457000,0 days 00:40:03.851000,0 days 00:40:27.649000,0 days 00:41:03.106000,,,282.0,285.0,False,SOFT,8.0,False,1,0 days 00:39:34.347000,Mercedes,BOT,1,True,2019-03-17 05:19:34.650
0 days 00:42:32.140000,77,0 days 00:01:29.034000,6,,,0 days 00:00:29.782000,0 days 00:00:23.747000,0 days 00:00:35.505000,0 days 00:41:32.888000,0 days 00:41:56.635000,0 days 00:42:32.140000,265.0,275.0,281.0,291.0,False,SOFT,9.0,False,1,0 days 00:41:03.106000,Mercedes,BOT,1,True,2019-03-17 05:21:03.409
0 days 00:44:00.923000,77,0 days 00:01:28.783000,7,,,0 days 00:00:29.606000,0 days 00:00:23.601000,0 days 00:00:35.576000,0 days 00:43:01.746000,0 days 00:43:25.347000,0 days 00:44:00.923000,266.0,277.0,282.0,290.0,False,SOFT,10.0,False,1,0 days 00:42:32.140000,Mercedes,BOT,1,True,2019-03-17 05:22:32.443
0 days 00:45:29.574000,77,0 days 00:01:28.651000,8,,,0 days 00:00:29.703000,0 days 00:00:23.574000,0 days 00:00:35.374000,0 days 00:44:30.626000,0 days 00:44:54.200000,0 days 00:45:29.574000,,279.0,283.0,293.0,False,SOFT,11.0,False,1,0 days 00:44:00.923000,Mercedes,BOT,1,True,2019-03-17 05:24:01.226
0 days 00:46:58.238000,77,0 days 00:01:28.664000,9,,,0 days 00:00:29.655000,0 days 00:00:23.646000,0 days 00:00:35.363000,0 days 00:45:59.229000,0 days 00:46:22.875000,0 days 00:46:58.238000,,279.0,284.0,289.0,False,SOFT,12.0,False,1,0 days 00:45:29.574000,Mercedes,BOT,1,True,2019-03-17 05:25:29.877
0 days 00:48:27.266000,77,0 days 00:01:29.028000,10,,,0 days 00:00:29.769000,0 days 00:00:23.756000,0 days 00:00:35.503000,0 days 00:47:28.007000,0 days 00:47:51.763000,0 days 00:48:27.266000,265.0,275.0,282.0,296.0,False,SOFT,13.0,False,1,0 days 00:46:58.238000,Mercedes,BOT,1,True,2019-03-17 05:26:58.541
0 days 00:49:56.251000,77,0 days 00:01:28.985000,11,,,0 days 00:00:29.669000,0 days 00:00:23.605000,0 days 00:00:35.711000,0 days 00:48:56.935000,0 days 00:49:20.540000,0 days 00:49:56.251000,,275.0,282.0,291.0,False,SOFT,14.0,False,1,0 days 00:48:27.266000,Mercedes,BOT,1,True,2019-03-17 05:28:27.569
0 days 00:51:24.884000,77,0 days 00:01:28.633000,12,,,0 days 00:00:29.696000,0 days 00:00:23.583000,0 days 00:00:35.354000,0 days 00:50:25.947000,0 days 00:50:49.530000,0 days 00:51:24.884000,266.0,275.0,281.0,287.0,False,SOFT,15.0,False,1,0 days 00:49:56.251000,Mercedes,BOT,1,True,2019-03-17 05:29:56.554
0 days 00:52:53.510000,77,0 days 00:01:28.626000,13,,,0 days 00:00:29.579000,0 days 00:00:23.537000,0 days 00:00:35.510000,0 days 00:51:54.463000,0 days 00:52:18,0 days 00:52:53.510000,,275.0,282.0,292.0,False,SOFT,16.0,False,1,0 days 00:51:24.884000,Mercedes,BOT,1,True,2019-03-17 05:31:25.187
0 days 00:54:21.810000,77,0 days 00:01:28.300000,14,,,0 days 00:00:29.549000,0 days 00:00:23.489000,0 days 00:00:35.262000,0 days 00:53:23.059000,0 days 00:53:46.548000,0 days 00:54:21.810000,268.0,281.0,283.0,,False,SOFT,17.0,False,1,0 days 00:52:53.510000,Mercedes,BOT,1,True,2019-03-17 05:32:53.813
0 days 00:55:50.027000,77,0 days 00:01:28.217000,15,,,0 days 00:00:29.598000,0 days 00:00:23.418000,0 days 00:00:35.201000,0 days 00:54:51.408000,0 days 00:55:14.826000,0 days 00:55:50.027000,269.0,277.0,283.0,293.0,False,SOFT,18.0,False,1,0 days 00:54:21.810000,Mercedes,BOT,1,True,2019-03-17 05:34:22.113
0 days 00:57:18.265000,77,0 days 00:01:28.238000,16,,,0 days 00:00:29.616000,0 days 00:00:23.429000,0 days 00:00:35.193000,0 days 00:56:19.643000,0 days 00:56:43.072000,0 days 00:57:18.265000,268.0,282.0,284.0,290.0,False,SOFT,19.0,False,1,0 days 00:55:50.027000,Mercedes,BOT,1,True,2019-03-17 05:35:50.330
0 days 00:58:46.642000,77,0 days 00:01:28.377000,17,,,0 days 00:00:29.453000,0 days 00:00:23.578000,0 days 00:00:35.346000,0 days 00:57:47.718000,0 days 00:58:11.296000,0 days 00:58:46.642000,269.0,283.0,285.0,294.0,False,SOFT,20.0,False,1,0 days 00:57:18.265000,Mercedes,BOT,1,True,2019-03-17 05:37:18.568
0 days 01:00:14.845000,77,0 days 00:01:28.203000,18,,,0 days 00:00:29.662000,0 days 00:00:23.490000,0 days 00:00:35.051000,0 days 00:59:16.304000,0 days 00:59:39.794000,0 days 01:00:14.845000,271.0,279.0,282.0,293.0,False,SOFT,21.0,False,1,0 days 00:58:46.642000,Mercedes,BOT,1,True,2019-03-17 05:38:46.945
0 days 01:01:42.681000,77,0 days 00:01:27.836000,19,,,0 days 00:00:29.355000,0 days 00:00:23.410000,0 days 00:00:35.071000,0 days 01:00:44.200000,0 days 01:01:07.610000,0 days 01:01:42.681000,270.0,276.0,283.0,294.0,False,SOFT,22.0,False,1,0 days 01:00:14.845000,Mercedes,BOT,1,True,2019-03-17 05:40:15.148
0 days 01:03:10.513000,77,0 days 00:01:27.832000,20,,,0 days 00:00:29.472000,0 days 00:00:23.380000,0 days 00:00:34.980000,0 days 01:02:12.153000,0 days 01:02:35.533000,0 days 01:03:10.513000,,278.0,284.0,,False,SOFT,23.0,False,1,0 days 01:01:42.681000,Mercedes,BOT,1,True,2019-03-17 05:41:42.984
0 days 01:04:38.328000,77,0 days 00:01:27.815000,21,,,0 days 00:00:29.424000,0 days 00:00:23.359000,0 days 00:00:35.032000,0 days 01:03:39.937000,0 days 01:04:03.296000,0 days 01:04:38.328000,272.0,281.0,285.0,295.0,False,SOFT,24.0,False,1,0 days 01:03:10.513000,Mercedes,BOT,1,True,2019-03-17 05:43:10.816
