Time,DriverNumber,LapTime,LapNumber,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Stint,LapStartTime,Team,Driver,TrackStatus,IsAccurate,LapStartDate
0 days 00:34:43.743000,44,,1,0 days 00:00:04.751000,,,0 days 00:00:37.656000,0 days 00:00:25.458000,,0 days 00:34:18.345000,0 days 00:34:43.898000,303.0,261.0,248.0,307.0,False,MEDIUM,5.0,False,1,0 days 00:33:08.644000,Mercedes,HAM,1,False,2019-07-14 13:13:08.911
0 days 00:36:15.666000,44,0 days 00:01:31.923000,2,,,0 days 00:00:29.161000,0 days 00:00:37.504000,0 days 00:00:25.258000,0 days 00:35:12.904000,0 days 00:35:50.408000,0 days 00:36:15.666000,298.0,257.0,246.0,301.0,False,MEDIUM,6.0,False,1,0 days 00:34:43.743000,Mercedes,HAM,1,True,2019-07-14 13:14:44.010
0 days 00:37:47.301000,44,0 days 00:01:31.635000,3,,,0 days 00:00:29.079000,0 days 00:00:37.230000,0 days 00:00:25.326000,0 days 00:36:44.745000,0 days 00:37:21.975000,0 days 00:37:47.301000,303.0,264.0,249.0,331.0,False,MEDIUM,7.0,False,1,0 days 00:36:15.666000,Mercedes,HAM,1,True,2019-07-14 13:16:15.933
0 days 00:39:19.359000,44,0 days 00:01:32.058000,4,,,0 days 00:00:28.860000,0 days 00:00:37.917000,0 days 00:00:25.281000,0 days 00:38:16.161000,0 days 00:38:54.078000,0 days 00:39:19.359000,307.0,262.0,246.0,316.0,False,MEDIUM,8.0,False,1,0 days 00:37:47.301000,Mercedes,HAM,1,True,2019-07-14 13:17:47.568
0 days 00:40:50.899000,44,0 days 00:01:31.540000,5,,,0 days 00:00:29.107000,0 days 00:00:37.308000,0 days 00:00:25.125000,0 days 00:39:48.466000,0 days 00:40:25.774000,0 days 00:40:50.899000,303.0,259.0,247.0,300.0,False,MEDIUM,9.0,False,1,0 days 00:39:19.359000,Mercedes,HAM,1,True,2019-07-14 13:19:19.626
0 days 00:42:21.866000,44,0 days 00:01:30.967000,6,,,0 days 00:00:29.037000,0 days 00:00:36.859000,0 days 00:00:25.071000,0 days 00:41:19.936000,0 days 00:41:56.795000,0 days 00:42:21.866000,291.0,261.0,246.0,316.0,False,MEDIUM,10.0,False,1,0 days 00:40:50.899000,Mercedes,HAM,1,True,2019-07-14 13:20:51.166
0 days 00:43:52.806000,44,0 days 00:01:30.940000,7,,,0 days 00:00:28.915000,0 days 00:00:36.950000,0 days 00:00:25.075000,0 days 00:42:50.781000,0 days 00:43:27.731000,0 days 00:43:52.806000,305.0,261.0,245.0,317.0,False,MEDIUM,11.0,False,1,0 days 00:42:21.866000,Mercedes,HAM,1,True,2019-07-14 13:22:22.133
0 days 00:45:23.656000,44,0 days 00:01:30.850000,8,,,0 days 00:00:28.913000,0 days 00:00:36.946000,0 days 00:00:24.991000,0 days 00:44:21.719000,0 days 00:44:58.665000,0 days 00:45:23.656000,307.0,262.0,246.0,319.0,False,MEDIUM,12.0,False,1,0 days 00:43:52.806000,Mercedes,HAM,1,True,2019-07-14 13:23:53.073
0 days 00:46:54.796000,44,0 days 00:01:31.140000,9,,,0 days 00:00:28.908000,0 days 00:00:37.122000,0 days 00:00:25.110000,0 days 00:45:52.564000,0 days 00:46:29.686000,0 days 00:46:54.796000,306.0,261.0,248.0,320.0,False,MEDIUM,13.0,False,1,0 days 00:45:23.656000,Mercedes,HAM,1,True,2019-07-14 13:25:23.923
0 days 00:48:25.768000,44,0 days 00:01:30.972000,10,,,0 days 00:00:28.942000,0 days 00:00:37.060000,0 days 00:00:24.970000,0 days 00:47:23.738000,0 days 00:48:00.798000,0 days 00:48:25.768000,305.0,263.0,247.0,319.0,False,MEDIUM,14.0,False,1,0 days 00:46:54.796000,Mercedes,HAM,1,True,2019-07-14 13:26:55.063
