Time,DriverNumber,LapTime,LapNumber,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Stint,LapStartTime,Team,Driver,TrackStatus,IsAccurate,LapStartDate
0 days 00:41:44.018000,33,,1,0 days 00:00:04.892000,,,0 days 00:00:44.672000,0 days 00:00:31.691000,,0 days 00:41:12.328000,0 days 00:41:44.178000,166.0,217.0,246.0,298.0,False,WET,1.0,True,1,0 days 00:39:58.698000,Red Bull Racing,VER,1,False,2019-07-28 13:19:58.860
0 days 00:43:19.901000,33,0 days 00:01:35.883000,2,,,0 days 00:00:22.038000,0 days 00:00:43.113000,0 days 00:00:30.732000,0 days 00:42:06.056000,0 days 00:42:49.169000,0 days 00:43:19.901000,168.0,229.0,248.0,298.0,False,WET,2.0,True,1,0 days 00:41:44.018000,Red Bull Racing,VER,1,True,2019-07-28 13:21:44.180
0 days 00:45:23.244000,33,0 days 00:02:03.343000,3,,0 days 00:45:20.807000,0 days 00:00:28.355000,0 days 00:00:53.905000,0 days 00:00:41.083000,0 days 00:43:48.256000,0 days 00:44:42.161000,0 days 00:45:23.244000,147.0,183.0,,219.0,False,WET,3.0,True,1,0 days 00:43:19.901000,Red Bull Racing,VER,4,False,2019-07-28 13:23:20.063
0 days 00:47:45.339000,33,0 days 00:02:22.095000,4,0 days 00:45:43.166000,,0 days 00:00:39.654000,0 days 00:00:59.907000,0 days 00:00:42.534000,0 days 00:46:02.898000,0 days 00:47:02.805000,0 days 00:47:45.339000,149.0,115.0,248.0,176.0,False,INTERMEDIATE,1.0,True,2,0 days 00:45:23.244000,Red Bull Racing,VER,4,False,2019-07-28 13:25:23.406
0 days 00:49:19.227000,33,0 days 00:01:33.888000,5,,,0 days 00:00:21.625000,0 days 00:00:42.465000,0 days 00:00:29.798000,0 days 00:48:06.964000,0 days 00:48:49.429000,0 days 00:49:19.227000,168.0,234.0,252.0,304.0,False,INTERMEDIATE,2.0,True,2,0 days 00:47:45.339000,Red Bull Racing,VER,1,False,2019-07-28 13:27:45.501
0 days 00:50:50.408000,33,0 days 00:01:31.181000,6,,,0 days 00:00:20.580000,0 days 00:00:41.717000,0 days 00:00:28.884000,0 days 00:49:39.807000,0 days 00:50:21.524000,0 days 00:50:50.408000,181.0,236.0,252.0,304.0,False,INTERMEDIATE,3.0,True,2,0 days 00:49:19.227000,Red Bull Racing,VER,1,True,2019-07-28 13:29:19.389
0 days 00:52:20.821000,33,0 days 00:01:30.413000,7,,,0 days 00:00:20.215000,0 days 00:00:41.303000,0 days 00:00:28.895000,0 days 00:51:10.623000,0 days 00:51:51.926000,0 days 00:52:20.821000,187.0,235.0,252.0,307.0,False,INTERMEDIATE,4.0,True,2,0 days 00:50:50.408000,Red Bull Racing,VER,1,True,2019-07-28 13:30:50.570
0 days 00:53:50.969000,33,0 days 00:01:30.148000,8,,,0 days 00:00:20.194000,0 days 00:00:41.547000,0 days 00:00:28.407000,0 days 00:52:41.015000,0 days 00:53:22.562000,0 days 00:53:50.969000,190.0,237.0,253.0,302.0,False,INTERMEDIATE,5.0,True,2,0 days 00:52:20.821000,Red Bull Racing,VER,1,True,2019-07-28 13:32:20.983
0 days 00:55:20.763000,33,0 days 00:01:29.794000,9,,,0 days 00:00:20.403000,0 days 00:00:41.291000,0 days 00:00:28.100000,0 days 00:54:11.372000,0 days 00:54:52.663000,0 days 00:55:20.763000,192.0,237.0,253.0,304.0,False,INTERMEDIATE,6.0,True,2,0 days 00:53:50.969000,Red Bull Racing,VER,1,True,2019-07-28 13:33:51.131
0 days 00:56:50.337000,33,0 days 00:01:29.574000,10,,,0 days 00:00:20.185000,0 days 00:00:41.320000,0 days 00:00:28.069000,0 days 00:55:40.948000,0 days 00:56:22.268000,0 days 00:56:50.337000,,240.0,251.0,305.0,False,INTERMEDIATE,7.0,True,2,0 days 00:55:20.763000,Red Bull Racing,VER,1,True,2019-07-28 13:35:20.925
0 days 00:58:20.271000,33,0 days 00:01:29.934000,11,,,0 days 00:00:20.063000,0 days 00:00:41.332000,0 days 00:00:28.539000,0 days 00:57:10.400000,0 days 00:57:51.732000,0 days 00:58:20.271000,194.0,239.0,250.0,306.0,False,INTERMEDIATE,8.0,True,2,0 days 00:56:50.337000,Red Bull Racing,VER,1,True,2019-07-28 13:36:50.499
0 days 00:59:50.811000,33,0 days 00:01:30.540000,12,,,0 days 00:00:20.093000,0 days 00:00:41.711000,0 days 00:00:28.736000,0 days 00:58:40.364000,0 days 00:59:22.075000,0 days 00:59:50.811000,187.0,231.0,251.0,305.0,False,INTERMEDIATE,9.0,True,2,0 days 00:58:20.271000,Red Bull Racing,VER,1,True,2019-07-28 13:38:20.433
0 days 01:01:21.589000,33,0 days 00:01:30.778000,13,,,0 days 00:00:20.184000,0 days 00:00:41.696000,0 days 00:00:28.898000,0 days 01:00:10.995000,0 days 01:00:52.691000,0 days 01:01:21.589000,,239.0,251.0,305.0,False,INTERMEDIATE,10.0,True,2,0 days 00:59:50.811000,Red Bull Racing,VER,1,True,2019-07-28 13:39:50.973
0 days 01:02:52.664000,33,0 days 00:01:31.075000,14,,,0 days 00:00:19.882000,0 days 00:00:41.872000,0 days 00:00:29.321000,0 days 01:01:41.471000,0 days 01:02:23.343000,0 days 01:02:52.664000,,238.0,252.0,304.0,False,INTERMEDIATE,11.0,True,2,0 days 01:01:21.589000,Red Bull Racing,VER,1,True,2019-07-28 13:41:21.751
0 days 01:04:37.108000,33,0 days 00:01:44.444000,15,,,0 days 00:00:19.954000,0 days 00:00:46.927000,0 days 00:00:37.563000,0 days 01:03:12.618000,0 days 01:03:59.545000,0 days 01:04:37.108000,191.0,118.0,204.0,306.0,False,INTERMEDIATE,12.0,True,2,0 days 01:02:52.664000,Red Bull Racing,VER,26,False,2019-07-28 13:42:52.826
0 days 01:06:18.125000,33,0 days 00:01:41.017000,16,,,0 days 00:00:26.589000,0 days 00:00:45.158000,0 days 00:00:29.270000,0 days 01:05:03.697000,0 days 01:05:48.855000,0 days 01:06:18.125000,161.0,240.0,250.0,270.0,False,INTERMEDIATE,13.0,True,2,0 days 01:04:37.108000,Red Bull Racing,VER,67,False,2019-07-28 13:44:37.270
0 days 01:07:50.513000,33,0 days 00:01:32.388000,17,,,0 days 00:00:19.867000,0 days 00:00:43.422000,0 days 00:00:29.099000,0 days 01:06:37.992000,0 days 01:07:21.414000,0 days 01:07:50.513000,189.0,234.0,247.0,324.0,False,INTERMEDIATE,14.0,True,2,0 days 01:06:18.125000,Red Bull Racing,VER,1,True,2019-07-28 13:46:18.287
0 days 01:09:22.025000,33,0 days 00:01:31.512000,18,,,0 days 00:00:20.452000,0 days 00:00:41.715000,0 days 00:00:29.345000,0 days 01:08:10.965000,0 days 01:08:52.680000,0 days 01:09:22.025000,187.0,240.0,249.0,305.0,False,INTERMEDIATE,15.0,True,2,0 days 01:07:50.513000,Red Bull Racing,VER,1,True,2019-07-28 13:47:50.675
0 days 01:10:52.918000,33,0 days 00:01:30.893000,19,,,0 days 00:00:19.871000,0 days 00:00:41.661000,0 days 00:00:29.361000,0 days 01:09:41.896000,0 days 01:10:23.557000,0 days 01:10:52.918000,183.0,241.0,247.0,304.0,False,INTERMEDIATE,16.0,True,2,0 days 01:09:22.025000,Red Bull Racing,VER,2,True,2019-07-28 13:49:22.187
0 days 01:12:24.224000,33,0 days 00:01:31.306000,20,,,0 days 00:00:19.918000,0 days 00:00:41.578000,0 days 00:00:29.810000,0 days 01:11:12.836000,0 days 01:11:54.414000,0 days 01:12:24.224000,178.0,241.0,246.0,301.0,False,INTERMEDIATE,17.0,True,2,0 days 01:10:52.918000,Red Bull Racing,VER,1,True,2019-07-28 13:50:53.080
