Time,DriverNumber,LapTime,LapNumber,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Stint,LapStartTime,Team,Driver,TrackStatus,IsAccurate,LapStartDate
0 days 00:35:36.921000,44,,1.0,0 days 00:00:04.672000,,,0 days 00:00:51.079000,0 days 00:00:39.919000,,0 days 00:34:57.002000,0 days 00:35:37.114000,220.0,180.0,151.0,281.0,False,MEDIUM,4.0,False,1,0 days 00:33:27.500000,Mercedes,HAM,24,False,2019-09-29 11:13:27.792
0 days 00:38:16.822000,44,,2.0,,,0 days 00:01:05.578000,0 days 00:00:50.762000,0 days 00:00:43.561000,0 days 00:36:42.693000,0 days 00:37:33.261000,0 days 00:38:17.442000,98.0,192.0,129.0,236.0,False,MEDIUM,5.0,False,1,0 days 00:35:36.921000,Mercedes,HAM,4,False,2019-09-29 11:15:37.213
0 days 00:40:58.898000,44,,3.0,,,0 days 00:00:58.765000,0 days 00:00:55.847000,0 days 00:00:47.480000,0 days 00:39:15.651000,0 days 00:40:11.497000,0 days 00:40:59.750000,173.0,113.0,160.0,109.0,False,MEDIUM,6.0,False,1,0 days 00:38:16.822000,Mercedes,HAM,4,False,2019-09-29 11:18:17.114
0 days 00:42:39.949000,44,0 days 00:01:41.051000,4.0,,,0 days 00:00:36.238000,0 days 00:00:35.112000,0 days 00:00:29.701000,0 days 00:41:35.136000,0 days 00:42:10.248000,0 days 00:42:39.949000,235.0,295.0,164.0,300.0,False,MEDIUM,7.0,False,1,0 days 00:40:58.898000,Mercedes,HAM,1,False,2019-09-29 11:20:59.190
0 days 00:44:20.074000,44,0 days 00:01:40.125000,5.0,,,0 days 00:00:35.940000,0 days 00:00:34.842000,0 days 00:00:29.343000,0 days 00:43:15.889000,0 days 00:43:50.731000,0 days 00:44:20.074000,245.0,293.0,165.0,289.0,False,MEDIUM,8.0,False,1,0 days 00:42:39.949000,Mercedes,HAM,1,True,2019-09-29 11:22:40.241
0 days 00:46:00.042000,44,0 days 00:01:39.968000,6.0,,,0 days 00:00:36.039000,0 days 00:00:34.705000,0 days 00:00:29.224000,0 days 00:44:56.113000,0 days 00:45:30.818000,0 days 00:46:00.042000,253.0,290.0,161.0,294.0,False,MEDIUM,9.0,False,1,0 days 00:44:20.074000,Mercedes,HAM,1,True,2019-09-29 11:24:20.366
0 days 00:47:39.623000,44,0 days 00:01:39.581000,7.0,,,0 days 00:00:35.836000,0 days 00:00:34.404000,0 days 00:00:29.341000,0 days 00:46:35.878000,0 days 00:47:10.282000,0 days 00:47:39.623000,259.0,296.0,165.0,288.0,False,MEDIUM,10.0,False,1,0 days 00:46:00.042000,Mercedes,HAM,1,True,2019-09-29 11:26:00.334
0 days 00:49:19.005000,44,0 days 00:01:39.382000,8.0,,,0 days 00:00:35.670000,0 days 00:00:34.345000,0 days 00:00:29.367000,0 days 00:48:15.293000,0 days 00:48:49.638000,0 days 00:49:19.005000,,294.0,158.0,295.0,False,MEDIUM,11.0,False,1,0 days 00:47:39.623000,Mercedes,HAM,1,True,2019-09-29 11:27:39.915
0 days 00:50:58.196000,44,0 days 00:01:39.191000,9.0,,,0 days 00:00:35.686000,0 days 00:00:34.414000,0 days 00:00:29.091000,0 days 00:49:54.691000,0 days 00:50:29.105000,0 days 00:50:58.196000,258.0,294.0,164.0,293.0,False,MEDIUM,12.0,False,1,0 days 00:49:19.005000,Mercedes,HAM,1,True,2019-09-29 11:29:19.297
0 days 00:52:38.521000,44,0 days 00:01:40.325000,10.0,,,0 days 00:00:35.603000,0 days 00:00:35.443000,0 days 00:00:29.279000,0 days 00:51:33.799000,0 days 00:52:09.242000,0 days 00:52:38.521000,259.0,296.0,165.0,295.0,False,MEDIUM,13.0,False,1,0 days 00:50:58.196000,Mercedes,HAM,1,True,2019-09-29 11:30:58.488
