Time,DriverNumber,LapTime,LapNumber,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Stint,LapStartTime,Team,Driver,TrackStatus,IsAccurate,LapStartDate
0 days 00:35:32.345000,5,,1,0 days 00:00:06.115000,,,0 days 00:00:42.348000,0 days 00:00:37.427000,,0 days 00:34:55.074000,0 days 00:35:32.966000,307.0,269.0,250.0,204.0,False,SOFT,4.0,False,1,0 days 00:33:40.429000,Ferrari,VET,1,False,2019-09-22 12:13:41.397
0 days 00:37:21.370000,5,0 days 00:01:49.025000,2,,,0 days 00:00:29.168000,0 days 00:00:42.580000,0 days 00:00:37.277000,0 days 00:36:01.513000,0 days 00:36:44.093000,0 days 00:37:21.370000,290.0,263.0,250.0,286.0,False,SOFT,5.0,False,1,0 days 00:35:32.345000,Ferrari,VET,1,True,2019-09-22 12:15:33.313
0 days 00:39:10.215000,5,0 days 00:01:48.845000,3,,,0 days 00:00:29.195000,0 days 00:00:42.299000,0 days 00:00:37.351000,0 days 00:37:50.565000,0 days 00:38:32.864000,0 days 00:39:10.215000,295.0,266.0,248.0,284.0,False,SOFT,6.0,False,1,0 days 00:37:21.370000,Ferrari,VET,1,True,2019-09-22 12:17:22.338
0 days 00:40:59.419000,5,0 days 00:01:49.204000,4,,,0 days 00:00:29.173000,0 days 00:00:42.494000,0 days 00:00:37.537000,0 days 00:39:39.388000,0 days 00:40:21.882000,0 days 00:40:59.419000,296.0,267.0,248.0,287.0,False,SOFT,7.0,False,1,0 days 00:39:10.215000,Ferrari,VET,1,True,2019-09-22 12:19:11.183
0 days 00:42:48.582000,5,0 days 00:01:49.163000,5,,,0 days 00:00:29.074000,0 days 00:00:42.356000,0 days 00:00:37.733000,0 days 00:41:28.493000,0 days 00:42:10.849000,0 days 00:42:48.582000,299.0,268.0,248.0,289.0,False,SOFT,8.0,False,1,0 days 00:40:59.419000,Ferrari,VET,1,True,2019-09-22 12:21:00.387
0 days 00:44:38.534000,5,0 days 00:01:49.952000,6,,,0 days 00:00:29.180000,0 days 00:00:42.800000,0 days 00:00:37.972000,0 days 00:43:17.762000,0 days 00:44:00.562000,0 days 00:44:38.534000,296.0,269.0,248.0,295.0,False,SOFT,9.0,False,1,0 days 00:42:48.582000,Ferrari,VET,1,True,2019-09-22 12:22:49.550
0 days 00:46:27.868000,5,0 days 00:01:49.334000,7,,,0 days 00:00:29.249000,0 days 00:00:42.364000,0 days 00:00:37.721000,0 days 00:45:07.783000,0 days 00:45:50.147000,0 days 00:46:27.868000,300.0,270.0,249.0,286.0,False,SOFT,10.0,False,1,0 days 00:44:38.534000,Ferrari,VET,1,True,2019-09-22 12:24:39.502
0 days 00:48:17.117000,5,0 days 00:01:49.249000,8,,,0 days 00:00:29.094000,0 days 00:00:42.561000,0 days 00:00:37.594000,0 days 00:46:56.962000,0 days 00:47:39.523000,0 days 00:48:17.117000,301.0,269.0,249.0,291.0,False,SOFT,11.0,False,1,0 days 00:46:27.868000,Ferrari,VET,1,True,2019-09-22 12:26:28.836
0 days 00:50:07.095000,5,0 days 00:01:49.978000,9,,,0 days 00:00:29.269000,0 days 00:00:42.806000,0 days 00:00:37.903000,0 days 00:48:46.386000,0 days 00:49:29.192000,0 days 00:50:07.095000,300.0,269.0,248.0,297.0,False,SOFT,12.0,False,1,0 days 00:48:17.117000,Ferrari,VET,1,True,2019-09-22 12:28:18.085
0 days 00:51:56.856000,5,0 days 00:01:49.761000,10,,,0 days 00:00:29.412000,0 days 00:00:42.785000,0 days 00:00:37.564000,0 days 00:50:36.507000,0 days 00:51:19.292000,0 days 00:51:56.856000,298.0,270.0,249.0,296.0,False,SOFT,13.0,False,1,0 days 00:50:07.095000,Ferrari,VET,1,True,2019-09-22 12:30:08.063
