Time,DriverNumber,LapTime,LapNumber,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Stint,LapStartTime,Team,Driver,TrackStatus,IsAccurate,LapStartDate
0 days 00:34:52.543000,33,,1,0 days 00:00:07.934000,,,0 days 00:00:37.475000,0 days 00:00:25.546000,,0 days 00:34:27.046000,0 days 00:34:52.658000,297.0,257.0,245.0,305.0,False,HARD,4.0,False,1,0 days 00:33:17.072000,Red Bull Racing,VER,2,False,2020-08-09 13:13:17.118
0 days 00:36:24.511000,33,0 days 00:01:31.968000,2,,,0 days 00:00:29.202000,0 days 00:00:37.476000,0 days 00:00:25.290000,0 days 00:35:21.745000,0 days 00:35:59.221000,0 days 00:36:24.511000,287.0,258.0,248.0,305.0,False,HARD,5.0,False,1,0 days 00:34:52.543000,Red Bull Racing,VER,1,True,2020-08-09 13:14:52.589
0 days 00:37:56.483000,33,0 days 00:01:31.972000,3,,,0 days 00:00:29.072000,0 days 00:00:37.527000,0 days 00:00:25.373000,0 days 00:36:53.583000,0 days 00:37:31.110000,0 days 00:37:56.483000,289.0,259.0,247.0,304.0,False,HARD,6.0,False,1,0 days 00:36:24.511000,Red Bull Racing,VER,1,True,2020-08-09 13:16:24.557
0 days 00:39:28.608000,33,0 days 00:01:32.125000,4,,,0 days 00:00:29.030000,0 days 00:00:37.655000,0 days 00:00:25.440000,0 days 00:38:25.513000,0 days 00:39:03.168000,0 days 00:39:28.608000,,259.0,246.0,301.0,False,HARD,7.0,False,1,0 days 00:37:56.483000,Red Bull Racing,VER,1,True,2020-08-09 13:17:56.529
0 days 00:41:00.859000,33,0 days 00:01:32.251000,5,,,0 days 00:00:29.169000,0 days 00:00:37.646000,0 days 00:00:25.436000,0 days 00:39:57.777000,0 days 00:40:35.423000,0 days 00:41:00.859000,287.0,258.0,247.0,300.0,False,HARD,8.0,False,1,0 days 00:39:28.608000,Red Bull Racing,VER,1,True,2020-08-09 13:19:28.654
0 days 00:42:32.904000,33,0 days 00:01:32.045000,6,,,0 days 00:00:29.020000,0 days 00:00:37.444000,0 days 00:00:25.581000,0 days 00:41:29.879000,0 days 00:42:07.323000,0 days 00:42:32.904000,288.0,258.0,245.0,299.0,False,HARD,9.0,False,1,0 days 00:41:00.859000,Red Bull Racing,VER,1,True,2020-08-09 13:21:00.905
0 days 00:44:05.063000,33,0 days 00:01:32.159000,7,,,0 days 00:00:29.235000,0 days 00:00:37.506000,0 days 00:00:25.418000,0 days 00:43:02.139000,0 days 00:43:39.645000,0 days 00:44:05.063000,286.0,257.0,248.0,300.0,False,HARD,10.0,False,1,0 days 00:42:32.904000,Red Bull Racing,VER,1,True,2020-08-09 13:22:32.950
0 days 00:45:37.233000,33,0 days 00:01:32.170000,8,,,0 days 00:00:29.176000,0 days 00:00:37.592000,0 days 00:00:25.402000,0 days 00:44:34.239000,0 days 00:45:11.831000,0 days 00:45:37.233000,288.0,259.0,248.0,304.0,False,HARD,11.0,False,1,0 days 00:44:05.063000,Red Bull Racing,VER,1,True,2020-08-09 13:24:05.109
0 days 00:47:09.682000,33,0 days 00:01:32.449000,9,,,0 days 00:00:29.262000,0 days 00:00:37.667000,0 days 00:00:25.520000,0 days 00:46:06.495000,0 days 00:46:44.162000,0 days 00:47:09.682000,287.0,259.0,249.0,301.0,False,HARD,12.0,False,1,0 days 00:45:37.233000,Red Bull Racing,VER,1,True,2020-08-09 13:25:37.279
0 days 00:48:42.042000,33,0 days 00:01:32.360000,10,,,0 days 00:00:29.196000,0 days 00:00:37.624000,0 days 00:00:25.540000,0 days 00:47:38.878000,0 days 00:48:16.502000,0 days 00:48:42.042000,292.0,260.0,248.0,304.0,False,HARD,13.0,False,1,0 days 00:47:09.682000,Red Bull Racing,VER,1,True,2020-08-09 13:27:09.728
