Time,DriverNumber,LapTime,LapNumber,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Stint,LapStartTime,Team,Driver,TrackStatus,IsAccurate,LapStartDate
0 days 00:35:34.242000,44,,1.0,0 days 00:00:06.179000,,,0 days 00:00:48.509000,0 days 00:00:29.480000,,0 days 00:35:04.803000,0 days 00:35:34.422000,316.0,204.0,217.0,299.0,False,MEDIUM,4.0,False,1,0 days 00:33:41.719000,Mercedes,HAM,1,False,2020-08-30 13:13:41.783
0 days 00:37:24.484000,44,0 days 00:01:50.242000,2.0,,,0 days 00:00:31.804000,0 days 00:00:48.800000,0 days 00:00:29.638000,0 days 00:36:06.046000,0 days 00:36:54.846000,0 days 00:37:24.484000,304.0,201.0,217.0,302.0,False,MEDIUM,5.0,False,1,0 days 00:35:34.242000,Mercedes,HAM,1,True,2020-08-30 13:15:34.306
0 days 00:39:14.557000,44,0 days 00:01:50.073000,3.0,,,0 days 00:00:31.865000,0 days 00:00:48.475000,0 days 00:00:29.733000,0 days 00:37:56.349000,0 days 00:38:44.824000,0 days 00:39:14.557000,301.0,200.0,216.0,304.0,False,MEDIUM,6.0,False,1,0 days 00:37:24.484000,Mercedes,HAM,1,True,2020-08-30 13:17:24.548
0 days 00:41:04.826000,44,0 days 00:01:50.269000,4.0,,,0 days 00:00:31.980000,0 days 00:00:48.611000,0 days 00:00:29.678000,0 days 00:39:46.537000,0 days 00:40:35.148000,0 days 00:41:04.826000,,198.0,216.0,,False,MEDIUM,7.0,False,1,0 days 00:39:14.557000,Mercedes,HAM,1,True,2020-08-30 13:19:14.621
0 days 00:42:54.296000,44,0 days 00:01:49.470000,5.0,,,0 days 00:00:31.729000,0 days 00:00:48.134000,0 days 00:00:29.607000,0 days 00:41:36.555000,0 days 00:42:24.689000,0 days 00:42:54.296000,305.0,201.0,217.0,305.0,False,MEDIUM,8.0,False,1,0 days 00:41:04.826000,Mercedes,HAM,1,True,2020-08-30 13:21:04.890
0 days 00:44:44.413000,44,0 days 00:01:50.117000,6.0,,,0 days 00:00:31.800000,0 days 00:00:48.614000,0 days 00:00:29.703000,0 days 00:43:26.096000,0 days 00:44:14.710000,0 days 00:44:44.413000,302.0,202.0,217.0,,False,MEDIUM,9.0,False,1,0 days 00:42:54.296000,Mercedes,HAM,1,True,2020-08-30 13:22:54.360
0 days 00:46:34.334000,44,0 days 00:01:49.921000,7.0,,,0 days 00:00:31.846000,0 days 00:00:48.376000,0 days 00:00:29.699000,0 days 00:45:16.259000,0 days 00:46:04.635000,0 days 00:46:34.334000,304.0,199.0,217.0,,False,MEDIUM,10.0,False,1,0 days 00:44:44.413000,Mercedes,HAM,1,True,2020-08-30 13:24:44.477
0 days 00:48:24.327000,44,0 days 00:01:49.993000,8.0,,,0 days 00:00:31.883000,0 days 00:00:48.354000,0 days 00:00:29.756000,0 days 00:47:06.217000,0 days 00:47:54.571000,0 days 00:48:24.327000,,200.0,216.0,303.0,False,MEDIUM,11.0,False,1,0 days 00:46:34.334000,Mercedes,HAM,1,True,2020-08-30 13:26:34.398
0 days 00:50:13.969000,44,0 days 00:01:49.642000,9.0,,,0 days 00:00:31.899000,0 days 00:00:48.206000,0 days 00:00:29.537000,0 days 00:48:56.226000,0 days 00:49:44.432000,0 days 00:50:13.969000,,200.0,218.0,,False,MEDIUM,12.0,False,1,0 days 00:48:24.327000,Mercedes,HAM,1,True,2020-08-30 13:28:24.391
0 days 00:52:03.840000,44,0 days 00:01:49.871000,10.0,,,0 days 00:00:32.150000,0 days 00:00:48.007000,0 days 00:00:29.714000,0 days 00:50:46.119000,0 days 00:51:34.126000,0 days 00:52:03.840000,,203.0,217.0,,False,MEDIUM,13.0,False,1,0 days 00:50:13.969000,Mercedes,HAM,1,True,2020-08-30 13:30:14.033
0 days 00:54:38.013000,44,,11.0,,0 days 00:54:34.226000,0 days 00:00:40.525000,0 days 00:01:17.297000,0 days 00:00:36.321000,0 days 00:52:44.720000,0 days 00:54:01.692000,0 days 00:54:38.114000,273.0,156.0,,128.0,False,MEDIUM,14.0,False,1,0 days 00:52:03.840000,Mercedes,HAM,24,False,2020-08-30 13:32:03.904
