Time,DriverNumber,LapTime,LapNumber,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Stint,LapStartTime,Team,Driver,TrackStatus,IsAccurate,LapStartDate
0 days 00:01:35.337000,44,,1,0 days 00:00:04.888000,,,0 days 00:00:38.810000,0 days 00:00:23.875000,,0 days 00:01:11.547000,0 days 00:01:35.494000,265.0,224.0,247.0,296.0,False,SOFT,4.0,False,1,0 days 00:00:07.171000,Mercedes,HAM,1,False,2020-10-11 12:13:21.762
0 days 00:03:07.747000,44,0 days 00:01:32.410000,2,,,0 days 00:00:30.149000,0 days 00:00:38.634000,0 days 00:00:23.627000,0 days 00:02:05.486000,0 days 00:02:44.120000,0 days 00:03:07.747000,268.0,224.0,247.0,296.0,False,SOFT,5.0,False,1,0 days 00:01:35.337000,Mercedes,HAM,1,True,2020-10-11 12:14:49.928
0 days 00:04:39.912000,44,0 days 00:01:32.165000,3,,,0 days 00:00:30.114000,0 days 00:00:38.343000,0 days 00:00:23.708000,0 days 00:03:37.861000,0 days 00:04:16.204000,0 days 00:04:39.912000,,224.0,246.0,298.0,False,SOFT,6.0,False,1,0 days 00:03:07.747000,Mercedes,HAM,1,True,2020-10-11 12:16:22.338
0 days 00:06:12.455000,44,0 days 00:01:32.543000,4,,,0 days 00:00:30.351000,0 days 00:00:38.504000,0 days 00:00:23.688000,0 days 00:05:10.263000,0 days 00:05:48.767000,0 days 00:06:12.455000,264.0,224.0,245.0,295.0,False,SOFT,7.0,False,1,0 days 00:04:39.912000,Mercedes,HAM,1,True,2020-10-11 12:17:54.503
0 days 00:07:44.608000,44,0 days 00:01:32.153000,5,,,0 days 00:00:30.138000,0 days 00:00:38.414000,0 days 00:00:23.601000,0 days 00:06:42.593000,0 days 00:07:21.007000,0 days 00:07:44.608000,266.0,224.0,247.0,294.0,False,SOFT,8.0,False,1,0 days 00:06:12.455000,Mercedes,HAM,1,True,2020-10-11 12:19:27.046
0 days 00:09:16.559000,44,0 days 00:01:31.951000,6,,,0 days 00:00:29.999000,0 days 00:00:38.337000,0 days 00:00:23.615000,0 days 00:08:14.607000,0 days 00:08:52.944000,0 days 00:09:16.559000,264.0,225.0,246.0,294.0,False,SOFT,9.0,False,1,0 days 00:07:44.608000,Mercedes,HAM,1,True,2020-10-11 12:20:59.199
0 days 00:10:48.660000,44,0 days 00:01:32.101000,7,,,0 days 00:00:30.069000,0 days 00:00:38.244000,0 days 00:00:23.788000,0 days 00:09:46.628000,0 days 00:10:24.872000,0 days 00:10:48.660000,,225.0,247.0,295.0,False,SOFT,10.0,False,1,0 days 00:09:16.559000,Mercedes,HAM,1,True,2020-10-11 12:22:31.150
0 days 00:12:20.282000,44,0 days 00:01:31.622000,8,,,0 days 00:00:29.897000,0 days 00:00:38.266000,0 days 00:00:23.459000,0 days 00:11:18.557000,0 days 00:11:56.823000,0 days 00:12:20.282000,263.0,225.0,248.0,296.0,False,SOFT,11.0,False,1,0 days 00:10:48.660000,Mercedes,HAM,1,True,2020-10-11 12:24:03.251
0 days 00:13:52.117000,44,0 days 00:01:31.835000,9,,,0 days 00:00:29.991000,0 days 00:00:38.322000,0 days 00:00:23.522000,0 days 00:12:50.273000,0 days 00:13:28.595000,0 days 00:13:52.117000,,225.0,247.0,297.0,False,SOFT,12.0,False,1,0 days 00:12:20.282000,Mercedes,HAM,1,True,2020-10-11 12:25:34.873
0 days 00:15:24.113000,44,0 days 00:01:31.996000,10,,,0 days 00:00:30.067000,0 days 00:00:38.370000,0 days 00:00:23.559000,0 days 00:14:22.184000,0 days 00:15:00.554000,0 days 00:15:24.113000,264.0,225.0,248.0,296.0,False,SOFT,13.0,False,1,0 days 00:13:52.117000,Mercedes,HAM,1,True,2020-10-11 12:27:06.708
