Time,DriverNumber,LapTime,LapNumber,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Stint,LapStartTime,Team,Driver,TrackStatus,IsAccurate,LapStartDate
0 days 00:34:34.783000,44,,1,0 days 00:00:01.554000,,,0 days 00:00:28.025000,0 days 00:00:26.903000,,0 days 00:34:07.960000,0 days 00:34:34.943000,221.0,259.0,280.0,287.0,False,MEDIUM,4.0,False,1,0 days 00:33:10.426000,Mercedes,HAM,2,False,2020-11-01 12:13:12.701
0 days 00:35:55.009000,44,0 days 00:01:20.226000,2,,,0 days 00:00:25.678000,0 days 00:00:27.831000,0 days 00:00:26.717000,0 days 00:35:00.461000,0 days 00:35:28.292000,0 days 00:35:55.009000,,256.0,281.0,287.0,False,MEDIUM,5.0,False,1,0 days 00:34:34.783000,Mercedes,HAM,1,True,2020-11-01 12:14:37.058
0 days 00:37:14.673000,44,0 days 00:01:19.664000,3,,,0 days 00:00:25.443000,0 days 00:00:27.689000,0 days 00:00:26.532000,0 days 00:36:20.452000,0 days 00:36:48.141000,0 days 00:37:14.673000,,256.0,281.0,290.0,False,MEDIUM,6.0,False,1,0 days 00:35:55.009000,Mercedes,HAM,1,True,2020-11-01 12:15:57.284
0 days 00:38:34.564000,44,0 days 00:01:19.891000,4,,,0 days 00:00:25.413000,0 days 00:00:27.792000,0 days 00:00:26.686000,0 days 00:37:40.086000,0 days 00:38:07.878000,0 days 00:38:34.564000,222.0,258.0,282.0,291.0,False,MEDIUM,7.0,False,1,0 days 00:37:14.673000,Mercedes,HAM,1,True,2020-11-01 12:17:16.948
0 days 00:39:54.747000,44,0 days 00:01:20.183000,5,,,0 days 00:00:25.360000,0 days 00:00:28.122000,0 days 00:00:26.701000,0 days 00:38:59.924000,0 days 00:39:28.046000,0 days 00:39:54.747000,,258.0,280.0,291.0,False,MEDIUM,8.0,False,1,0 days 00:38:34.564000,Mercedes,HAM,1,True,2020-11-01 12:18:36.839
0 days 00:41:14.589000,44,0 days 00:01:19.842000,6,,,0 days 00:00:25.363000,0 days 00:00:27.838000,0 days 00:00:26.641000,0 days 00:40:20.110000,0 days 00:40:47.948000,0 days 00:41:14.589000,,254.0,279.0,289.0,False,MEDIUM,9.0,False,1,0 days 00:39:54.747000,Mercedes,HAM,1,True,2020-11-01 12:19:57.022
0 days 00:42:34.240000,44,0 days 00:01:19.651000,7,,,0 days 00:00:25.366000,0 days 00:00:27.695000,0 days 00:00:26.590000,0 days 00:41:39.955000,0 days 00:42:07.650000,0 days 00:42:34.240000,223.0,259.0,279.0,289.0,False,MEDIUM,10.0,False,1,0 days 00:41:14.589000,Mercedes,HAM,1,True,2020-11-01 12:21:16.864
0 days 00:43:53.683000,44,0 days 00:01:19.443000,8,,,0 days 00:00:25.326000,0 days 00:00:27.610000,0 days 00:00:26.507000,0 days 00:42:59.566000,0 days 00:43:27.176000,0 days 00:43:53.683000,224.0,258.0,279.0,291.0,False,MEDIUM,11.0,False,1,0 days 00:42:34.240000,Mercedes,HAM,1,True,2020-11-01 12:22:36.515
0 days 00:45:13.394000,44,0 days 00:01:19.711000,9,,,0 days 00:00:25.267000,0 days 00:00:27.756000,0 days 00:00:26.688000,0 days 00:44:18.950000,0 days 00:44:46.706000,0 days 00:45:13.394000,222.0,258.0,280.0,290.0,False,MEDIUM,12.0,False,1,0 days 00:43:53.683000,Mercedes,HAM,1,True,2020-11-01 12:23:55.958
0 days 00:46:33.028000,44,0 days 00:01:19.634000,10,,,0 days 00:00:25.310000,0 days 00:00:27.749000,0 days 00:00:26.575000,0 days 00:45:38.704000,0 days 00:46:06.453000,0 days 00:46:33.028000,223.0,256.0,278.0,289.0,False,MEDIUM,13.0,False,1,0 days 00:45:13.394000,Mercedes,HAM,1,True,2020-11-01 12:25:15.669
0 days 00:47:52.164000,44,0 days 00:01:19.136000,11,,,0 days 00:00:25.189000,0 days 00:00:27.553000,0 days 00:00:26.394000,0 days 00:46:58.217000,0 days 00:47:25.770000,0 days 00:47:52.164000,,259.0,279.0,293.0,False,MEDIUM,14.0,False,1,0 days 00:46:33.028000,Mercedes,HAM,1,True,2020-11-01 12:26:35.303
