Time,DriverNumber,LapTime,LapNumber,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Stint,LapStartTime,Team,Driver,TrackStatus,IsAccurate,LapStartDate
0 days 00:35:44.937000,44,,1.0,0 days 00:00:03.554000,0 days 00:35:43.140000,,0 days 00:01:00.916000,0 days 00:00:35.474000,,0 days 00:35:09.463000,0 days 00:35:45.017000,237.0,238.0,,252.0,False,MEDIUM,4.0,False,1,0 days 00:33:36.921000,Mercedes,HAM,5,False,2020-11-29 14:13:36.973
0 days 01:58:15.257000,44,,2.0,0 days 01:55:07.168000,,,0 days 00:01:22.965000,0 days 00:00:49.281000,,0 days 01:57:25.976000,0 days 01:58:15.674000,93.0,84.0,65.0,119.0,False,MEDIUM,5.0,False,2,0 days 01:55:00.402000,Mercedes,HAM,1,False,2020-11-29 15:35:00.454
0 days 02:01:17.892000,44,,3.0,,,0 days 00:01:39.076000,0 days 00:00:52.841000,0 days 00:00:30.773000,0 days 01:59:54.328000,0 days 02:00:47.188000,0 days 02:01:18.096000,238.0,239.0,256.0,248.0,False,MEDIUM,6.0,False,2,0 days 01:58:15.257000,Mercedes,HAM,24,False,2020-11-29 15:38:15.309
0 days 02:03:42.196000,44,0 days 00:02:24.304000,4.0,,,0 days 00:00:43.140000,0 days 00:01:08.098000,0 days 00:00:33.066000,0 days 02:02:01.032000,0 days 02:03:09.130000,0 days 02:03:42.196000,95.0,217.0,195.0,121.0,False,MEDIUM,7.0,False,2,0 days 02:01:17.892000,Mercedes,HAM,4,False,2020-11-29 15:41:17.944
0 days 02:06:09.869000,44,0 days 00:02:27.673000,5.0,,,0 days 00:00:42.716000,0 days 00:01:08.541000,0 days 00:00:36.416000,0 days 02:04:24.912000,0 days 02:05:33.453000,0 days 02:06:09.869000,126.0,138.0,264.0,235.0,False,MEDIUM,8.0,False,2,0 days 02:03:42.196000,Mercedes,HAM,4,False,2020-11-29 15:43:42.248
0 days 02:08:29.931000,44,0 days 00:02:20.062000,6.0,,,0 days 00:00:42.857000,0 days 00:01:02.633000,0 days 00:00:34.572000,0 days 02:06:52.726000,0 days 02:07:55.359000,0 days 02:08:29.931000,142.0,108.0,237.0,176.0,False,MEDIUM,9.0,False,2,0 days 02:06:09.869000,Mercedes,HAM,4,False,2020-11-29 15:46:09.921
0 days 02:10:48.798000,44,0 days 00:02:18.867000,7.0,,,0 days 00:00:43.464000,0 days 00:01:01.644000,0 days 00:00:33.759000,0 days 02:09:13.395000,0 days 02:10:15.039000,0 days 02:10:48.798000,149.0,116.0,216.0,209.0,False,MEDIUM,10.0,False,2,0 days 02:08:29.931000,Mercedes,HAM,4,False,2020-11-29 15:48:29.983
0 days 02:13:24.926000,44,,8.0,,,0 days 00:00:47.068000,0 days 00:01:03.483000,0 days 00:00:45.556000,0 days 02:11:35.887000,0 days 02:12:39.486000,0 days 02:13:25.115000,94.0,113.0,277.0,222.0,False,MEDIUM,11.0,False,2,0 days 02:10:48.798000,Mercedes,HAM,4,False,2020-11-29 15:50:48.850
0 days 02:14:58.659000,44,0 days 00:01:33.733000,9.0,,,0 days 00:00:29.940000,0 days 00:00:40.645000,0 days 00:00:23.148000,0 days 02:13:54.866000,0 days 02:14:35.511000,0 days 02:14:58.659000,239.0,259.0,277.0,294.0,False,MEDIUM,12.0,False,2,0 days 02:13:24.926000,Mercedes,HAM,1,False,2020-11-29 15:53:24.978
0 days 02:16:33.016000,44,0 days 00:01:34.357000,10.0,,,0 days 00:00:30.196000,0 days 00:00:40.861000,0 days 00:00:23.300000,0 days 02:15:28.855000,0 days 02:16:09.716000,0 days 02:16:33.016000,237.0,254.0,277.0,289.0,False,MEDIUM,13.0,False,2,0 days 02:14:58.659000,Mercedes,HAM,1,True,2020-11-29 15:54:58.711
