Time,DriverNumber,LapTime,LapNumber,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Stint,LapStartTime,Team,Driver,TrackStatus,IsAccurate,LapStartDate
0 days 00:34:12.779000,55,,1,0 days 00:03:34.310000,,,0 days 00:00:31.612000,0 days 00:00:31.478000,,0 days 00:33:41.345000,0 days 00:34:12.941000,302.0,226.0,196.0,300.0,False,SOFT,1.0,True,1,0 days 00:32:48.804000,McLaren,SAI,4,False,2020-07-12 13:12:50.826
0 days 00:36:15.047000,55,0 days 00:02:02.268000,2,,,0 days 00:00:24.673000,0 days 00:01:02.499000,0 days 00:00:35.096000,0 days 00:34:37.452000,0 days 00:35:39.951000,0 days 00:36:15.047000,207.0,170.0,187.0,140.0,False,SOFT,2.0,True,1,0 days 00:34:12.779000,McLaren,SAI,4,False,2020-07-12 13:14:14.801
0 days 00:38:01.625000,55,0 days 00:01:46.578000,3,,,0 days 00:00:27.044000,0 days 00:00:46.514000,0 days 00:00:33.020000,0 days 00:36:42.091000,0 days 00:37:28.605000,0 days 00:38:01.625000,142.0,171.0,273.0,261.0,False,SOFT,3.0,True,1,0 days 00:36:15.047000,McLaren,SAI,4,False,2020-07-12 13:16:17.069
0 days 00:39:12.282000,55,0 days 00:01:10.657000,4,,,0 days 00:00:17.628000,0 days 00:00:31.407000,0 days 00:00:21.622000,0 days 00:38:19.253000,0 days 00:38:50.660000,0 days 00:39:12.282000,295.0,226.0,271.0,286.0,False,SOFT,4.0,True,1,0 days 00:38:01.625000,McLaren,SAI,2,False,2020-07-12 13:18:03.647
0 days 00:40:22.664000,55,0 days 00:01:10.382000,5,,,0 days 00:00:17.738000,0 days 00:00:31.162000,0 days 00:00:21.482000,0 days 00:39:30.020000,0 days 00:40:01.182000,0 days 00:40:22.664000,286.0,228.0,271.0,284.0,False,SOFT,5.0,True,1,0 days 00:39:12.282000,McLaren,SAI,1,True,2020-07-12 13:19:14.304
0 days 00:41:34.057000,55,0 days 00:01:11.393000,6,,,0 days 00:00:17.720000,0 days 00:00:31.735000,0 days 00:00:21.938000,0 days 00:40:40.384000,0 days 00:41:12.119000,0 days 00:41:34.057000,285.0,224.0,271.0,290.0,False,SOFT,6.0,True,1,0 days 00:40:22.664000,McLaren,SAI,1,True,2020-07-12 13:20:24.686
0 days 00:42:44.735000,55,0 days 00:01:10.678000,7,,,0 days 00:00:17.726000,0 days 00:00:31.315000,0 days 00:00:21.637000,0 days 00:41:51.783000,0 days 00:42:23.098000,0 days 00:42:44.735000,288.0,225.0,270.0,282.0,False,SOFT,7.0,True,1,0 days 00:41:34.057000,McLaren,SAI,1,True,2020-07-12 13:21:36.079
0 days 00:43:56.039000,55,0 days 00:01:11.304000,8,,,0 days 00:00:17.677000,0 days 00:00:32.031000,0 days 00:00:21.596000,0 days 00:43:02.412000,0 days 00:43:34.443000,0 days 00:43:56.039000,295.0,224.0,279.0,282.0,False,SOFT,8.0,True,1,0 days 00:42:44.735000,McLaren,SAI,1,True,2020-07-12 13:22:46.757
0 days 00:45:06.246000,55,0 days 00:01:10.207000,9,,,0 days 00:00:17.341000,0 days 00:00:31.287000,0 days 00:00:21.579000,0 days 00:44:13.380000,0 days 00:44:44.667000,0 days 00:45:06.246000,304.0,226.0,271.0,297.0,False,SOFT,9.0,True,1,0 days 00:43:56.039000,McLaren,SAI,1,True,2020-07-12 13:23:58.061
0 days 00:46:16.506000,55,0 days 00:01:10.260000,10,,,0 days 00:00:17.823000,0 days 00:00:31.191000,0 days 00:00:21.246000,0 days 00:45:24.069000,0 days 00:45:55.260000,0 days 00:46:16.506000,285.0,226.0,272.0,285.0,False,SOFT,10.0,True,1,0 days 00:45:06.246000,McLaren,SAI,1,True,2020-07-12 13:25:08.268
