Time,DriverNumber,LapTime,LapNumber,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Stint,LapStartTime,Team,Driver,TrackStatus,IsAccurate,LapStartDate
0 days 00:35:15.874000,44,,1.0,0 days 00:00:03.736000,,,0 days 00:00:37.170000,0 days 00:00:36.855000,,0 days 00:34:39.025000,0 days 00:35:15.990000,267.0,229.0,259.0,241.0,False,SOFT,4.0,False,1,0 days 00:33:25.335000,Mercedes,HAM,24,False,2020-09-13 13:13:25.607
0 days 00:37:42.527000,44,0 days 00:02:26.653000,2.0,,,0 days 00:00:58.223000,0 days 00:00:42.920000,0 days 00:00:45.510000,0 days 00:36:14.097000,0 days 00:36:57.017000,0 days 00:37:42.527000,102.0,98.0,242.0,266.0,False,SOFT,5.0,False,1,0 days 00:35:15.874000,Mercedes,HAM,4,False,2020-09-13 13:15:16.146
0 days 00:39:59.078000,44,0 days 00:02:16.551000,3.0,,,0 days 00:00:52.588000,0 days 00:00:38.262000,0 days 00:00:45.701000,0 days 00:38:35.115000,0 days 00:39:13.377000,0 days 00:39:59.078000,117.0,114.0,219.0,246.0,False,SOFT,6.0,False,1,0 days 00:37:42.527000,Mercedes,HAM,4,False,2020-09-13 13:17:42.799
0 days 00:42:13.699000,44,0 days 00:02:14.621000,4.0,,,0 days 00:00:50.886000,0 days 00:00:38.197000,0 days 00:00:45.538000,0 days 00:40:49.964000,0 days 00:41:28.161000,0 days 00:42:13.699000,109.0,113.0,251.0,237.0,False,SOFT,7.0,False,1,0 days 00:39:59.078000,Mercedes,HAM,4,False,2020-09-13 13:19:59.350
0 days 00:44:27.392000,44,0 days 00:02:13.693000,5.0,,,0 days 00:00:50.555000,0 days 00:00:37.549000,0 days 00:00:45.589000,0 days 00:43:04.254000,0 days 00:43:41.803000,0 days 00:44:27.392000,140.0,164.0,244.0,154.0,False,SOFT,8.0,False,1,0 days 00:42:13.699000,Mercedes,HAM,4,False,2020-09-13 13:22:13.971
0 days 00:46:48.903000,44,0 days 00:02:21.511000,6.0,,,0 days 00:00:49.580000,0 days 00:00:41.277000,0 days 00:00:50.654000,0 days 00:45:16.972000,0 days 00:45:58.249000,0 days 00:46:48.903000,123.0,111.0,224.0,267.0,False,SOFT,9.0,False,1,0 days 00:44:27.392000,Mercedes,HAM,4,False,2020-09-13 13:24:27.664
0 days 00:48:52.239000,44,0 days 00:02:03.336000,7.0,,0 days 00:48:37.301000,0 days 00:00:41.590000,0 days 00:00:30.786000,0 days 00:00:50.960000,0 days 00:47:30.493000,0 days 00:48:01.279000,0 days 00:48:52.239000,121.0,187.0,,274.0,False,SOFT,10.0,False,1,0 days 00:46:48.903000,Mercedes,HAM,24,False,2020-09-13 13:26:49.175
0 days 01:15:07.373000,44,,8.0,0 days 00:48:54.840000,0 days 00:51:13.788000,0 days 00:00:52.500000,0 days 00:00:42.433000,,0 days 00:49:44.739000,0 days 00:50:27.174000,,125.0,229.0,,,False,SOFT,11.0,False,2,0 days 00:48:52.239000,Mercedes,HAM,45,False,2020-09-13 13:28:52.511
0 days 01:18:35.960000,44,,9.0,0 days 01:15:10.471000,,0 days 00:01:00.396000,0 days 00:00:46.634000,,0 days 01:16:07.620000,0 days 01:16:54.205000,,62.0,133.0,105.0,,False,MEDIUM,1.0,True,3,0 days 01:15:00.042000,Mercedes,HAM,1,False,2020-09-13 13:55:00.314
0 days 01:19:59.330000,44,0 days 00:01:23.370000,10.0,,,0 days 00:00:31.567000,0 days 00:00:22.796000,0 days 00:00:29.007000,0 days 01:19:07.527000,0 days 01:19:30.323000,0 days 01:19:59.330000,265.0,247.0,288.0,246.0,False,MEDIUM,2.0,True,3,0 days 01:18:35.960000,Mercedes,HAM,1,True,2020-09-13 13:58:36.232
