Time,DriverNumber,LapTime,LapNumber,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Stint,LapStartTime,Team,Driver,TrackStatus,IsAccurate,LapStartDate
0 days 00:39:09.688000,44,,1.0,0 days 00:00:04.260000,,,0 days 00:00:54.367000,0 days 00:00:32.463000,,0 days 00:38:37.358000,0 days 00:39:09.824000,233.0,124.0,223.0,258.0,False,MEDIUM,4.0,False,1,0 days 00:37:09.970000,Mercedes,HAM,24,False,2021-03-28 15:07:09.980
0 days 00:41:32.400000,44,0 days 00:02:22.712000,2.0,,,0 days 00:00:46.763000,0 days 00:01:01.387000,0 days 00:00:34.562000,0 days 00:39:56.451000,0 days 00:40:57.838000,0 days 00:41:32.400000,142.0,172.0,229.0,246.0,False,MEDIUM,5.0,False,1,0 days 00:39:09.688000,Mercedes,HAM,4,False,2021-03-28 15:09:09.698
0 days 00:44:09.058000,44,,3.0,,,0 days 00:00:43.739000,0 days 00:01:02.116000,0 days 00:00:50.801000,0 days 00:42:16.144000,0 days 00:43:18.265000,0 days 00:44:09.185000,138.0,117.0,167.0,153.0,False,MEDIUM,6.0,False,1,0 days 00:41:32.400000,Mercedes,HAM,4,False,2021-03-28 15:11:32.410
0 days 00:45:53.990000,44,0 days 00:01:44.932000,4.0,,,0 days 00:00:32.339000,0 days 00:00:41.826000,0 days 00:00:30.767000,0 days 00:44:41.397000,0 days 00:45:23.223000,0 days 00:45:53.990000,237.0,253.0,202.0,290.0,False,MEDIUM,7.0,False,1,0 days 00:44:09.058000,Mercedes,HAM,26,False,2021-03-28 15:14:09.068
0 days 00:47:39.129000,44,0 days 00:01:45.139000,5.0,,,0 days 00:00:39.813000,0 days 00:00:41.410000,0 days 00:00:23.916000,0 days 00:46:33.803000,0 days 00:47:15.213000,0 days 00:47:39.129000,216.0,261.0,277.0,211.0,False,MEDIUM,8.0,False,1,0 days 00:45:53.990000,Mercedes,HAM,67,False,2021-03-28 15:15:54.000
0 days 00:49:15.298000,44,0 days 00:01:36.169000,6.0,,,0 days 00:00:30.755000,0 days 00:00:41.600000,0 days 00:00:23.814000,0 days 00:48:09.884000,0 days 00:48:51.484000,0 days 00:49:15.298000,228.0,251.0,278.0,297.0,False,MEDIUM,9.0,False,1,0 days 00:47:39.129000,Mercedes,HAM,1,True,2021-03-28 15:17:39.139
0 days 00:50:51.421000,44,0 days 00:01:36.123000,7.0,,,0 days 00:00:30.775000,0 days 00:00:41.680000,0 days 00:00:23.668000,0 days 00:49:46.073000,0 days 00:50:27.753000,0 days 00:50:51.421000,229.0,252.0,279.0,289.0,False,MEDIUM,10.0,False,1,0 days 00:49:15.298000,Mercedes,HAM,1,True,2021-03-28 15:19:15.308
0 days 00:52:27.496000,44,0 days 00:01:36.075000,8.0,,,0 days 00:00:30.708000,0 days 00:00:41.702000,0 days 00:00:23.665000,0 days 00:51:22.129000,0 days 00:52:03.831000,0 days 00:52:27.496000,230.0,248.0,277.0,287.0,False,MEDIUM,11.0,False,1,0 days 00:50:51.421000,Mercedes,HAM,1,True,2021-03-28 15:20:51.431
0 days 00:54:03.644000,44,0 days 00:01:36.148000,9.0,,,0 days 00:00:30.802000,0 days 00:00:41.648000,0 days 00:00:23.698000,0 days 00:52:58.298000,0 days 00:53:39.946000,0 days 00:54:03.644000,,252.0,278.0,288.0,False,MEDIUM,12.0,False,1,0 days 00:52:27.496000,Mercedes,HAM,1,True,2021-03-28 15:22:27.506
0 days 00:55:39.726000,44,0 days 00:01:36.082000,10.0,,,0 days 00:00:30.699000,0 days 00:00:41.663000,0 days 00:00:23.720000,0 days 00:54:34.343000,0 days 00:55:16.006000,0 days 00:55:39.726000,,252.0,278.0,291.0,False,MEDIUM,13.0,False,1,0 days 00:54:03.644000,Mercedes,HAM,1,True,2021-03-28 15:24:03.654
0 days 00:57:15.869000,44,0 days 00:01:36.143000,11.0,,,0 days 00:00:30.677000,0 days 00:00:41.585000,0 days 00:00:23.881000,0 days 00:56:10.403000,0 days 00:56:51.988000,0 days 00:57:15.869000,232.0,254.0,278.0,297.0,False,MEDIUM,14.0,False,1,0 days 00:55:39.726000,Mercedes,HAM,1,True,2021-03-28 15:25:39.736
0 days 00:58:52.376000,44,0 days 00:01:36.507000,12.0,,,0 days 00:00:30.763000,0 days 00:00:41.935000,0 days 00:00:23.809000,0 days 00:57:46.632000,0 days 00:58:28.567000,0 days 00:58:52.376000,230.0,252.0,278.0,292.0,False,MEDIUM,15.0,False,1,0 days 00:57:15.869000,Mercedes,HAM,1,True,2021-03-28 15:27:15.879
0 days 01:00:31.300000,44,0 days 00:01:38.924000,13.0,,0 days 01:00:29.611000,0 days 00:00:30.770000,0 days 00:00:41.776000,0 days 00:00:26.378000,0 days 00:59:23.146000,0 days 01:00:04.922000,0 days 01:00:31.300000,,253.0,,290.0,False,MEDIUM,16.0,False,1,0 days 00:58:52.376000,Mercedes,HAM,1,False,2021-03-28 15:28:52.386
0 days 01:02:26.306000,44,0 days 00:01:55.006000,14.0,0 days 01:00:54.547000,,0 days 00:00:51.319000,0 days 00:00:40.418000,0 days 00:00:23.269000,0 days 01:01:22.619000,0 days 01:02:03.037000,0 days 01:02:26.306000,233.0,257.0,280.0,221.0,False,HARD,1.0,True,2,0 days 01:00:31.300000,Mercedes,HAM,1,False,2021-03-28 15:30:31.310
