Time,DriverNumber,LapTime,LapNumber,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Stint,LapStartTime,Team,Driver,TrackStatus,IsAccurate,LapStartDate
0 days 01:03:26.322000,33,,1,0 days 00:22:45.505000,,,0 days 00:00:25.796000,0 days 00:00:22.803000,,0 days 01:03:03.544000,0 days 01:03:26.441000,262.0,268.0,286.0,210.0,False,SOFT,4.0,False,1,0 days 01:02:08.438000,Red Bull Racing,VER,1,False,2021-09-05 13:03:08.447
0 days 01:04:41.300000,33,0 days 00:01:14.978000,2,,,0 days 00:00:26.015000,0 days 00:00:26.037000,0 days 00:00:22.926000,0 days 01:03:52.337000,0 days 01:04:18.374000,0 days 01:04:41.300000,274.0,266.0,285.0,281.0,False,SOFT,5.0,False,1,0 days 01:03:26.322000,Red Bull Racing,VER,1,True,2021-09-05 13:04:26.331
0 days 01:05:56.113000,33,0 days 00:01:14.813000,3,,,0 days 00:00:26.031000,0 days 00:00:26.015000,0 days 00:00:22.767000,0 days 01:05:07.331000,0 days 01:05:33.346000,0 days 01:05:56.113000,275.0,267.0,286.0,,False,SOFT,6.0,False,1,0 days 01:04:41.300000,Red Bull Racing,VER,1,True,2021-09-05 13:05:41.309
0 days 01:07:11.030000,33,0 days 00:01:14.917000,4,,,0 days 00:00:25.926000,0 days 00:00:26.033000,0 days 00:00:22.958000,0 days 01:06:22.039000,0 days 01:06:48.072000,0 days 01:07:11.030000,276.0,268.0,287.0,283.0,False,SOFT,7.0,False,1,0 days 01:05:56.113000,Red Bull Racing,VER,1,True,2021-09-05 13:06:56.122
0 days 01:08:25.912000,33,0 days 00:01:14.882000,5,,,0 days 00:00:25.846000,0 days 00:00:26.055000,0 days 00:00:22.981000,0 days 01:07:36.876000,0 days 01:08:02.931000,0 days 01:08:25.912000,,269.0,288.0,284.0,False,SOFT,8.0,False,1,0 days 01:07:11.030000,Red Bull Racing,VER,1,True,2021-09-05 13:08:11.039
0 days 01:09:40.812000,33,0 days 00:01:14.900000,6,,,0 days 00:00:25.887000,0 days 00:00:26.082000,0 days 00:00:22.931000,0 days 01:08:51.799000,0 days 01:09:17.881000,0 days 01:09:40.812000,277.0,268.0,289.0,286.0,False,SOFT,9.0,False,1,0 days 01:08:25.912000,Red Bull Racing,VER,1,True,2021-09-05 13:09:25.921
0 days 01:10:55.920000,33,0 days 00:01:15.108000,7,,,0 days 00:00:25.962000,0 days 00:00:26.223000,0 days 00:00:22.923000,0 days 01:10:06.774000,0 days 01:10:32.997000,0 days 01:10:55.920000,278.0,269.0,291.0,288.0,False,SOFT,10.0,False,1,0 days 01:09:40.812000,Red Bull Racing,VER,1,True,2021-09-05 13:10:40.821
0 days 01:12:11.058000,33,0 days 00:01:15.138000,8,,,0 days 00:00:26.044000,0 days 00:00:26.150000,0 days 00:00:22.944000,0 days 01:11:21.964000,0 days 01:11:48.114000,0 days 01:12:11.058000,,268.0,286.0,,False,SOFT,11.0,False,1,0 days 01:10:55.920000,Red Bull Racing,VER,1,True,2021-09-05 13:11:55.929
0 days 01:13:26.191000,33,0 days 00:01:15.133000,9,,,0 days 00:00:26.087000,0 days 00:00:26.130000,0 days 00:00:22.916000,0 days 01:12:37.145000,0 days 01:13:03.275000,0 days 01:13:26.191000,275.0,268.0,286.0,283.0,False,SOFT,12.0,False,1,0 days 01:12:11.058000,Red Bull Racing,VER,1,True,2021-09-05 13:13:11.067
0 days 01:14:41.252000,33,0 days 00:01:15.061000,10,,,0 days 00:00:25.977000,0 days 00:00:26.075000,0 days 00:00:23.009000,0 days 01:13:52.168000,0 days 01:14:18.243000,0 days 01:14:41.252000,277.0,268.0,287.0,285.0,False,SOFT,13.0,False,1,0 days 01:13:26.191000,Red Bull Racing,VER,1,True,2021-09-05 13:14:26.200
0 days 01:15:56.480000,33,0 days 00:01:15.228000,11,,,0 days 00:00:25.934000,0 days 00:00:26.184000,0 days 00:00:23.110000,0 days 01:15:07.186000,0 days 01:15:33.370000,0 days 01:15:56.480000,,268.0,286.0,,False,SOFT,14.0,False,1,0 days 01:14:41.252000,Red Bull Racing,VER,1,True,2021-09-05 13:15:41.261
0 days 01:17:11.397000,33,0 days 00:01:14.917000,12,,,0 days 00:00:25.919000,0 days 00:00:26.100000,0 days 00:00:22.898000,0 days 01:16:22.399000,0 days 01:16:48.499000,0 days 01:17:11.397000,278.0,268.0,288.0,,False,SOFT,15.0,False,1,0 days 01:15:56.480000,Red Bull Racing,VER,1,True,2021-09-05 13:16:56.489
0 days 01:18:26.459000,33,0 days 00:01:15.062000,13,,,0 days 00:00:25.918000,0 days 00:00:26.166000,0 days 00:00:22.978000,0 days 01:17:37.315000,0 days 01:18:03.481000,0 days 01:18:26.459000,279.0,268.0,286.0,290.0,False,SOFT,16.0,False,1,0 days 01:17:11.397000,Red Bull Racing,VER,1,True,2021-09-05 13:18:11.406
0 days 01:19:41.518000,33,0 days 00:01:15.059000,14,,,0 days 00:00:25.979000,0 days 00:00:26.174000,0 days 00:00:22.906000,0 days 01:18:52.438000,0 days 01:19:18.612000,0 days 01:19:41.518000,281.0,269.0,288.0,289.0,False,SOFT,17.0,False,1,0 days 01:18:26.459000,Red Bull Racing,VER,1,True,2021-09-05 13:19:26.468
