Time,DriverNumber,LapTime,LapNumber,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Stint,LapStartTime,Team,Driver,TrackStatus,IsAccurate,LapStartDate
0 days 00:35:12.811000,33,,1,0 days 00:00:06.489000,,,0 days 00:00:29.563000,0 days 00:00:44.929000,,0 days 00:34:28.003000,0 days 00:35:12.978000,111.0,275.0,293.0,304.0,False,MEDIUM,4.0,False,1,0 days 00:33:26.312000,Red Bull Racing,VER,1,False,2021-06-20 13:03:26.320
0 days 00:36:52.424000,33,0 days 00:01:39.613000,2,,,0 days 00:00:25.323000,0 days 00:00:29.545000,0 days 00:00:44.745000,0 days 00:35:38.134000,0 days 00:36:07.679000,0 days 00:36:52.424000,108.0,274.0,293.0,300.0,False,MEDIUM,5.0,False,1,0 days 00:35:12.811000,Red Bull Racing,VER,1,True,2021-06-20 13:05:12.819
0 days 00:38:31.995000,33,0 days 00:01:39.571000,3,,,0 days 00:00:25.417000,0 days 00:00:29.755000,0 days 00:00:44.399000,0 days 00:37:17.841000,0 days 00:37:47.596000,0 days 00:38:31.995000,106.0,273.0,294.0,299.0,False,MEDIUM,6.0,False,1,0 days 00:36:52.424000,Red Bull Racing,VER,1,True,2021-06-20 13:06:52.432
0 days 00:40:12.019000,33,0 days 00:01:40.024000,4,,,0 days 00:00:25.489000,0 days 00:00:29.675000,0 days 00:00:44.860000,0 days 00:38:57.484000,0 days 00:39:27.159000,0 days 00:40:12.019000,,274.0,294.0,296.0,False,MEDIUM,7.0,False,1,0 days 00:38:31.995000,Red Bull Racing,VER,1,True,2021-06-20 13:08:32.003
0 days 00:41:51.427000,33,0 days 00:01:39.408000,5,,,0 days 00:00:25.362000,0 days 00:00:29.678000,0 days 00:00:44.368000,0 days 00:40:37.381000,0 days 00:41:07.059000,0 days 00:41:51.427000,107.0,277.0,294.0,297.0,False,MEDIUM,8.0,False,1,0 days 00:40:12.019000,Red Bull Racing,VER,1,True,2021-06-20 13:10:12.027
0 days 00:43:30.154000,33,0 days 00:01:38.727000,6,,,0 days 00:00:25.092000,0 days 00:00:29.444000,0 days 00:00:44.191000,0 days 00:42:16.519000,0 days 00:42:45.963000,0 days 00:43:30.154000,101.0,277.0,294.0,303.0,False,MEDIUM,9.0,False,1,0 days 00:41:51.427000,Red Bull Racing,VER,1,True,2021-06-20 13:11:51.435
0 days 00:45:09.584000,33,0 days 00:01:39.430000,7,,,0 days 00:00:25.114000,0 days 00:00:29.546000,0 days 00:00:44.770000,0 days 00:43:55.268000,0 days 00:44:24.814000,0 days 00:45:09.584000,108.0,273.0,293.0,300.0,False,MEDIUM,10.0,False,1,0 days 00:43:30.154000,Red Bull Racing,VER,1,True,2021-06-20 13:13:30.162
0 days 00:46:48.643000,33,0 days 00:01:39.059000,8,,,0 days 00:00:25.185000,0 days 00:00:29.680000,0 days 00:00:44.194000,0 days 00:45:34.769000,0 days 00:46:04.449000,0 days 00:46:48.643000,106.0,275.0,293.0,297.0,False,MEDIUM,11.0,False,1,0 days 00:45:09.584000,Red Bull Racing,VER,1,True,2021-06-20 13:15:09.592
0 days 00:48:27.765000,33,0 days 00:01:39.122000,9,,,0 days 00:00:25.138000,0 days 00:00:29.609000,0 days 00:00:44.375000,0 days 00:47:13.781000,0 days 00:47:43.390000,0 days 00:48:27.765000,,277.0,293.0,300.0,False,MEDIUM,12.0,False,1,0 days 00:46:48.643000,Red Bull Racing,VER,1,True,2021-06-20 13:16:48.651
0 days 00:50:06.715000,33,0 days 00:01:38.950000,10,,,0 days 00:00:25.213000,0 days 00:00:29.475000,0 days 00:00:44.262000,0 days 00:48:52.978000,0 days 00:49:22.453000,0 days 00:50:06.715000,107.0,277.0,295.0,303.0,False,MEDIUM,13.0,False,1,0 days 00:48:27.765000,Red Bull Racing,VER,1,True,2021-06-20 13:18:27.773
0 days 00:51:45.929000,33,0 days 00:01:39.214000,11,,,0 days 00:00:25.393000,0 days 00:00:29.588000,0 days 00:00:44.233000,0 days 00:50:32.108000,0 days 00:51:01.696000,0 days 00:51:45.929000,104.0,277.0,292.0,301.0,False,MEDIUM,14.0,False,1,0 days 00:50:06.715000,Red Bull Racing,VER,1,True,2021-06-20 13:20:06.723
0 days 00:53:25.236000,33,0 days 00:01:39.307000,12,,,0 days 00:00:25.513000,0 days 00:00:29.606000,0 days 00:00:44.188000,0 days 00:52:11.442000,0 days 00:52:41.048000,0 days 00:53:25.236000,99.0,278.0,292.0,301.0,False,MEDIUM,15.0,False,1,0 days 00:51:45.929000,Red Bull Racing,VER,1,True,2021-06-20 13:21:45.937
0 days 00:55:04.450000,33,0 days 00:01:39.214000,13,,,0 days 00:00:25.408000,0 days 00:00:29.617000,0 days 00:00:44.189000,0 days 00:53:50.644000,0 days 00:54:20.261000,0 days 00:55:04.450000,101.0,276.0,295.0,302.0,False,MEDIUM,16.0,False,1,0 days 00:53:25.236000,Red Bull Racing,VER,1,True,2021-06-20 13:23:25.244
0 days 00:56:43.465000,33,0 days 00:01:39.015000,14,,,0 days 00:00:25.203000,0 days 00:00:29.548000,0 days 00:00:44.264000,0 days 00:55:29.653000,0 days 00:55:59.201000,0 days 00:56:43.465000,103.0,276.0,294.0,300.0,False,MEDIUM,17.0,False,1,0 days 00:55:04.450000,Red Bull Racing,VER,1,True,2021-06-20 13:25:04.458
0 days 00:58:23.762000,33,0 days 00:01:40.297000,15,,,0 days 00:00:25.841000,0 days 00:00:29.729000,0 days 00:00:44.727000,0 days 00:57:09.306000,0 days 00:57:39.035000,0 days 00:58:23.762000,104.0,277.0,294.0,303.0,False,MEDIUM,18.0,False,1,0 days 00:56:43.465000,Red Bull Racing,VER,1,True,2021-06-20 13:26:43.473
0 days 01:00:02.961000,33,0 days 00:01:39.199000,16,,,0 days 00:00:25.117000,0 days 00:00:29.553000,0 days 00:00:44.529000,0 days 00:58:48.879000,0 days 00:59:18.432000,0 days 01:00:02.961000,106.0,275.0,293.0,299.0,False,MEDIUM,19.0,False,1,0 days 00:58:23.762000,Red Bull Racing,VER,1,True,2021-06-20 13:28:23.770
0 days 01:01:42.207000,33,0 days 00:01:39.246000,17,,,0 days 00:00:25.417000,0 days 00:00:29.650000,0 days 00:00:44.179000,0 days 01:00:28.378000,0 days 01:00:58.028000,0 days 01:01:42.207000,101.0,277.0,295.0,301.0,False,MEDIUM,20.0,False,1,0 days 01:00:02.961000,Red Bull Racing,VER,1,True,2021-06-20 13:30:02.969
0 days 01:03:40.306000,33,0 days 00:01:58.099000,18,,0 days 01:03:11.373000,0 days 00:00:25.158000,0 days 00:00:29.720000,0 days 00:01:03.221000,0 days 01:02:07.365000,0 days 01:02:37.085000,0 days 01:03:40.306000,99.0,278.0,,304.0,False,MEDIUM,21.0,False,1,0 days 01:01:42.207000,Red Bull Racing,VER,1,False,2021-06-20 13:31:42.215
0 days 01:05:20.272000,33,0 days 00:01:39.966000,19,0 days 01:03:41.059000,,0 days 00:00:28.054000,0 days 00:00:29.066000,0 days 00:00:42.846000,0 days 01:04:08.360000,0 days 01:04:37.426000,0 days 01:05:20.272000,112.0,277.0,296.0,298.0,False,HARD,1.0,True,2,0 days 01:03:40.306000,Red Bull Racing,VER,1,False,2021-06-20 13:33:40.314
0 days 01:06:58.048000,33,0 days 00:01:37.776000,20,,,0 days 00:00:24.861000,0 days 00:00:29.052000,0 days 00:00:43.863000,0 days 01:05:45.133000,0 days 01:06:14.185000,0 days 01:06:58.048000,110.0,278.0,293.0,300.0,False,HARD,2.0,True,2,0 days 01:05:20.272000,Red Bull Racing,VER,1,True,2021-06-20 13:35:20.280
0 days 01:08:35.564000,33,0 days 00:01:37.516000,21,,,0 days 00:00:24.755000,0 days 00:00:29.186000,0 days 00:00:43.575000,0 days 01:07:22.803000,0 days 01:07:51.989000,0 days 01:08:35.564000,105.0,278.0,294.0,301.0,False,HARD,3.0,True,2,0 days 01:06:58.048000,Red Bull Racing,VER,1,True,2021-06-20 13:36:58.056
0 days 01:10:12.616000,33,0 days 00:01:37.052000,22,,,0 days 00:00:24.727000,0 days 00:00:29.093000,0 days 00:00:43.232000,0 days 01:09:00.291000,0 days 01:09:29.384000,0 days 01:10:12.616000,108.0,278.0,296.0,306.0,False,HARD,4.0,True,2,0 days 01:08:35.564000,Red Bull Racing,VER,1,True,2021-06-20 13:38:35.572
0 days 01:11:50.702000,33,0 days 00:01:38.086000,23,,,0 days 00:00:24.832000,0 days 00:00:29.220000,0 days 00:00:44.034000,0 days 01:10:37.448000,0 days 01:11:06.668000,0 days 01:11:50.702000,109.0,278.0,295.0,300.0,False,HARD,5.0,True,2,0 days 01:10:12.616000,Red Bull Racing,VER,1,True,2021-06-20 13:40:12.624
0 days 01:13:28.617000,33,0 days 00:01:37.915000,24,,,0 days 00:00:24.946000,0 days 00:00:29.323000,0 days 00:00:43.646000,0 days 01:12:15.648000,0 days 01:12:44.971000,0 days 01:13:28.617000,110.0,279.0,295.0,300.0,False,HARD,6.0,True,2,0 days 01:11:50.702000,Red Bull Racing,VER,1,True,2021-06-20 13:41:50.710
0 days 01:15:06.323000,33,0 days 00:01:37.706000,25,,,0 days 00:00:24.854000,0 days 00:00:29.422000,0 days 00:00:43.430000,0 days 01:13:53.471000,0 days 01:14:22.893000,0 days 01:15:06.323000,108.0,277.0,294.0,299.0,False,HARD,7.0,True,2,0 days 01:13:28.617000,Red Bull Racing,VER,1,True,2021-06-20 13:43:28.625
0 days 01:16:44.601000,33,0 days 00:01:38.278000,26,,,0 days 00:00:25.123000,0 days 00:00:29.329000,0 days 00:00:43.826000,0 days 01:15:31.446000,0 days 01:16:00.775000,0 days 01:16:44.601000,106.0,277.0,292.0,299.0,False,HARD,8.0,True,2,0 days 01:15:06.323000,Red Bull Racing,VER,1,True,2021-06-20 13:45:06.331
0 days 01:18:22.328000,33,0 days 00:01:37.727000,27,,,0 days 00:00:24.991000,0 days 00:00:29.085000,0 days 00:00:43.651000,0 days 01:17:09.592000,0 days 01:17:38.677000,0 days 01:18:22.328000,110.0,278.0,292.0,301.0,False,HARD,9.0,True,2,0 days 01:16:44.601000,Red Bull Racing,VER,1,True,2021-06-20 13:46:44.609
