Time,DriverNumber,LapTime,LapNumber,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Stint,LapStartTime,Team,Driver,TrackStatus,IsAccurate,LapStartDate
0 days 01:03:48.427000,33,,1.0,0 days 00:22:40.193000,,,,,,,,291.0,,185.0,305.0,False,MEDIUM,4.0,False,1,0 days 01:02:03.441000,Red Bull Racing,VER,24,False,2021-11-07 19:03:04.837
0 days 01:05:59.999000,33,0 days 00:02:11.572000,2.0,,,0 days 00:00:55.946000,0 days 00:00:45.902000,0 days 00:00:29.724000,0 days 01:04:44.373000,0 days 01:05:30.275000,0 days 01:05:59.999000,108.0,152.0,200.0,104.0,False,MEDIUM,5.0,False,1,0 days 01:03:48.427000,Red Bull Racing,VER,4,False,2021-11-07 19:04:49.823
0 days 01:08:06.283000,33,0 days 00:02:06.284000,3.0,,,0 days 00:00:50.545000,0 days 00:00:46.932000,0 days 00:00:28.807000,0 days 01:06:50.544000,0 days 01:07:37.476000,0 days 01:08:06.283000,116.0,149.0,187.0,198.0,False,MEDIUM,6.0,False,1,0 days 01:05:59.999000,Red Bull Racing,VER,4,False,2021-11-07 19:07:01.395
0 days 01:10:13.787000,33,0 days 00:02:07.504000,4.0,,,0 days 00:00:47.525000,0 days 00:00:46.440000,0 days 00:00:33.539000,0 days 01:08:53.808000,0 days 01:09:40.248000,0 days 01:10:13.787000,222.0,154.0,246.0,216.0,False,MEDIUM,7.0,False,1,0 days 01:08:06.283000,Red Bull Racing,VER,4,False,2021-11-07 19:09:07.679
0 days 01:11:35.402000,33,0 days 00:01:21.615000,5.0,,,0 days 00:00:29.344000,0 days 00:00:31.373000,0 days 00:00:20.898000,0 days 01:10:43.131000,0 days 01:11:14.504000,0 days 01:11:35.402000,284.0,278.0,247.0,311.0,False,MEDIUM,8.0,False,1,0 days 01:10:13.787000,Red Bull Racing,VER,1,False,2021-11-07 19:11:15.183
0 days 01:12:57.037000,33,0 days 00:01:21.635000,6.0,,,0 days 00:00:29.228000,0 days 00:00:31.510000,0 days 00:00:20.897000,0 days 01:12:04.630000,0 days 01:12:36.140000,0 days 01:12:57.037000,275.0,279.0,247.0,,False,MEDIUM,9.0,False,1,0 days 01:11:35.402000,Red Bull Racing,VER,1,True,2021-11-07 19:12:36.798
0 days 01:14:18.659000,33,0 days 00:01:21.622000,7.0,,,0 days 00:00:29.241000,0 days 00:00:31.540000,0 days 00:00:20.841000,0 days 01:13:26.278000,0 days 01:13:57.818000,0 days 01:14:18.659000,276.0,280.0,247.0,315.0,False,MEDIUM,10.0,False,1,0 days 01:12:57.037000,Red Bull Racing,VER,1,True,2021-11-07 19:13:58.433
0 days 01:15:40.179000,33,0 days 00:01:21.520000,8.0,,,0 days 00:00:29.149000,0 days 00:00:31.486000,0 days 00:00:20.885000,0 days 01:14:47.808000,0 days 01:15:19.294000,0 days 01:15:40.179000,277.0,279.0,246.0,,False,MEDIUM,11.0,False,1,0 days 01:14:18.659000,Red Bull Racing,VER,1,True,2021-11-07 19:15:20.055
0 days 01:17:01.230000,33,0 days 00:01:21.051000,9.0,,,0 days 00:00:29.030000,0 days 00:00:31.215000,0 days 00:00:20.806000,0 days 01:16:09.209000,0 days 01:16:40.424000,0 days 01:17:01.230000,,279.0,247.0,312.0,False,MEDIUM,12.0,False,1,0 days 01:15:40.179000,Red Bull Racing,VER,1,True,2021-11-07 19:16:41.575
0 days 01:18:22.374000,33,0 days 00:01:21.144000,10.0,,,0 days 00:00:28.989000,0 days 00:00:31.331000,0 days 00:00:20.824000,0 days 01:17:30.219000,0 days 01:18:01.550000,0 days 01:18:22.374000,282.0,280.0,247.0,314.0,False,MEDIUM,13.0,False,1,0 days 01:17:01.230000,Red Bull Racing,VER,1,True,2021-11-07 19:18:02.626
0 days 01:19:43.332000,33,0 days 00:01:20.958000,11.0,,,0 days 00:00:28.965000,0 days 00:00:31.183000,0 days 00:00:20.810000,0 days 01:18:51.339000,0 days 01:19:22.522000,0 days 01:19:43.332000,278.0,280.0,247.0,312.0,False,MEDIUM,14.0,False,1,0 days 01:18:22.374000,Red Bull Racing,VER,1,True,2021-11-07 19:19:23.770
0 days 01:21:04.346000,33,0 days 00:01:21.014000,12.0,,,0 days 00:00:29.002000,0 days 00:00:31.227000,0 days 00:00:20.785000,0 days 01:20:12.334000,0 days 01:20:43.561000,0 days 01:21:04.346000,279.0,280.0,247.0,313.0,False,MEDIUM,15.0,False,1,0 days 01:19:43.332000,Red Bull Racing,VER,1,True,2021-11-07 19:20:44.728
0 days 01:22:25.555000,33,0 days 00:01:21.209000,13.0,,,0 days 00:00:29.081000,0 days 00:00:31.241000,0 days 00:00:20.887000,0 days 01:21:33.427000,0 days 01:22:04.668000,0 days 01:22:25.555000,280.0,278.0,247.0,318.0,False,MEDIUM,16.0,False,1,0 days 01:21:04.346000,Red Bull Racing,VER,1,True,2021-11-07 19:22:05.742
0 days 01:23:46.713000,33,0 days 00:01:21.158000,14.0,,,0 days 00:00:29.113000,0 days 00:00:31.315000,0 days 00:00:20.730000,0 days 01:22:54.668000,0 days 01:23:25.983000,0 days 01:23:46.713000,279.0,280.0,248.0,316.0,False,MEDIUM,17.0,False,1,0 days 01:22:25.555000,Red Bull Racing,VER,1,True,2021-11-07 19:23:26.951
0 days 01:25:07.813000,33,0 days 00:01:21.100000,15.0,,,0 days 00:00:28.919000,0 days 00:00:31.322000,0 days 00:00:20.859000,0 days 01:24:15.632000,0 days 01:24:46.954000,0 days 01:25:07.813000,286.0,280.0,248.0,317.0,False,MEDIUM,18.0,False,1,0 days 01:23:46.713000,Red Bull Racing,VER,1,True,2021-11-07 19:24:48.109
0 days 01:26:28.839000,33,0 days 00:01:21.026000,16.0,,,0 days 00:00:29.016000,0 days 00:00:31.222000,0 days 00:00:20.788000,0 days 01:25:36.829000,0 days 01:26:08.051000,0 days 01:26:28.839000,284.0,282.0,248.0,319.0,False,MEDIUM,19.0,False,1,0 days 01:25:07.813000,Red Bull Racing,VER,1,True,2021-11-07 19:26:09.209
0 days 01:27:50.286000,33,0 days 00:01:21.447000,17.0,,,0 days 00:00:29.226000,0 days 00:00:31.376000,0 days 00:00:20.845000,0 days 01:26:58.065000,0 days 01:27:29.441000,0 days 01:27:50.286000,283.0,283.0,247.0,,False,MEDIUM,20.0,False,1,0 days 01:26:28.839000,Red Bull Racing,VER,1,True,2021-11-07 19:27:30.235
0 days 01:29:11.886000,33,0 days 00:01:21.600000,18.0,,,0 days 00:00:28.964000,0 days 00:00:31.446000,0 days 00:00:21.190000,0 days 01:28:19.250000,0 days 01:28:50.696000,0 days 01:29:11.886000,286.0,285.0,249.0,323.0,False,MEDIUM,21.0,False,1,0 days 01:27:50.286000,Red Bull Racing,VER,1,True,2021-11-07 19:28:51.682
0 days 01:30:32.571000,33,0 days 00:01:20.685000,19.0,,,0 days 00:00:28.275000,0 days 00:00:31.355000,0 days 00:00:21.055000,0 days 01:29:40.161000,0 days 01:30:11.516000,0 days 01:30:32.571000,297.0,283.0,249.0,341.0,False,MEDIUM,22.0,False,1,0 days 01:29:11.886000,Red Bull Racing,VER,1,True,2021-11-07 19:30:13.282
0 days 01:31:53.697000,33,0 days 00:01:21.126000,20.0,,,0 days 00:00:28.987000,0 days 00:00:31.281000,0 days 00:00:20.858000,0 days 01:31:01.558000,0 days 01:31:32.839000,0 days 01:31:53.697000,288.0,284.0,247.0,322.0,False,MEDIUM,23.0,False,1,0 days 01:30:32.571000,Red Bull Racing,VER,1,True,2021-11-07 19:31:33.967
