Time,DriverNumber,LapTime,LapNumber,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Stint,LapStartTime,Team,Driver,TrackStatus,IsAccurate,LapStartDate
0 days 01:03:12.940000,44,,1,0 days 00:24:06.512000,,,0 days 00:00:29.642000,0 days 00:00:29.221000,,0 days 01:02:43.773000,0 days 01:03:13.092000,286.0,302.0,288.0,300.0,False,MEDIUM,10.0,False,1,0 days 01:01:37.514000,Mercedes,HAM,1,False,2021-12-05 17:33:44.732
0 days 01:04:46.960000,44,0 days 00:01:34.020000,2,,,0 days 00:00:34.811000,0 days 00:00:29.851000,0 days 00:00:29.358000,0 days 01:03:47.751000,0 days 01:04:17.602000,0 days 01:04:46.960000,278.0,295.0,293.0,295.0,False,MEDIUM,11.0,False,1,0 days 01:03:12.940000,Mercedes,HAM,1,True,2021-12-05 17:35:20.158
0 days 01:06:20.742000,44,0 days 00:01:33.782000,3,,,0 days 00:00:34.647000,0 days 00:00:29.755000,0 days 00:00:29.380000,0 days 01:05:21.607000,0 days 01:05:51.362000,0 days 01:06:20.742000,279.0,294.0,289.0,295.0,False,MEDIUM,12.0,False,1,0 days 01:04:46.960000,Mercedes,HAM,1,True,2021-12-05 17:36:54.178
0 days 01:07:54.534000,44,0 days 00:01:33.792000,4,,,0 days 00:00:34.661000,0 days 00:00:29.805000,0 days 00:00:29.326000,0 days 01:06:55.403000,0 days 01:07:25.208000,0 days 01:07:54.534000,,290.0,294.0,295.0,False,MEDIUM,13.0,False,1,0 days 01:06:20.742000,Mercedes,HAM,1,True,2021-12-05 17:38:27.960
0 days 01:09:27.931000,44,0 days 00:01:33.397000,5,,,0 days 00:00:34.495000,0 days 00:00:29.674000,0 days 00:00:29.228000,0 days 01:08:29.029000,0 days 01:08:58.703000,0 days 01:09:27.931000,282.0,297.0,294.0,299.0,False,MEDIUM,14.0,False,1,0 days 01:07:54.534000,Mercedes,HAM,1,True,2021-12-05 17:40:01.752
0 days 01:11:01.191000,44,0 days 00:01:33.260000,6,,,0 days 00:00:34.455000,0 days 00:00:29.639000,0 days 00:00:29.166000,0 days 01:10:02.386000,0 days 01:10:32.025000,0 days 01:11:01.191000,,299.0,292.0,299.0,False,MEDIUM,15.0,False,1,0 days 01:09:27.931000,Mercedes,HAM,1,True,2021-12-05 17:41:35.149
0 days 01:12:34.911000,44,0 days 00:01:33.720000,7,,,0 days 00:00:34.718000,0 days 00:00:29.782000,0 days 00:00:29.220000,0 days 01:11:35.909000,0 days 01:12:05.691000,0 days 01:12:34.911000,278.0,295.0,293.0,298.0,False,MEDIUM,16.0,False,1,0 days 01:11:01.191000,Mercedes,HAM,1,True,2021-12-05 17:43:08.409
0 days 01:14:08.125000,44,0 days 00:01:33.214000,8,,,0 days 00:00:34.516000,0 days 00:00:29.635000,0 days 00:00:29.063000,0 days 01:13:09.427000,0 days 01:13:39.062000,0 days 01:14:08.125000,280.0,295.0,295.0,298.0,False,MEDIUM,17.0,False,1,0 days 01:12:34.911000,Mercedes,HAM,1,True,2021-12-05 17:44:42.129
0 days 01:15:41.275000,44,0 days 00:01:33.150000,9,,,0 days 00:00:34.304000,0 days 00:00:29.712000,0 days 00:00:29.134000,0 days 01:14:42.429000,0 days 01:15:12.141000,0 days 01:15:41.275000,282.0,293.0,294.0,300.0,False,MEDIUM,18.0,False,1,0 days 01:14:08.125000,Mercedes,HAM,1,True,2021-12-05 17:46:15.343
0 days 01:17:43.318000,44,0 days 00:02:02.043000,10,,0 days 01:17:42.299000,0 days 00:00:40.924000,0 days 00:00:37.885000,0 days 00:00:43.234000,0 days 01:16:22.199000,0 days 01:17:00.084000,0 days 01:17:43.318000,114.0,161.0,,204.0,False,MEDIUM,19.0,False,1,0 days 01:15:41.275000,Mercedes,HAM,24,False,2021-12-05 17:47:48.493
