Time,DriverNumber,LapTime,LapNumber,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Stint,LapStartTime,Team,Driver,TrackStatus,IsAccurate,LapStartDate
0 days 00:34:45.956000,44,,1,0 days 00:00:05.147000,,,0 days 00:00:31.698000,0 days 00:00:28.234000,,0 days 00:34:17.765000,0 days 00:34:46.139000,266.0,270.0,273.0,273.0,False,SOFT,5.0,False,1,0 days 00:33:18.087000,Mercedes,HAM,1,False,2021-05-09 13:03:18.095
0 days 00:36:09.754000,44,0 days 00:01:23.798000,2,,,0 days 00:00:23.839000,0 days 00:00:31.586000,0 days 00:00:28.373000,0 days 00:35:09.795000,0 days 00:35:41.381000,0 days 00:36:09.754000,274.0,271.0,273.0,281.0,False,SOFT,6.0,False,1,0 days 00:34:45.956000,Mercedes,HAM,1,True,2021-05-09 13:04:45.964
0 days 00:37:33.179000,44,0 days 00:01:23.425000,3,,,0 days 00:00:23.645000,0 days 00:00:31.473000,0 days 00:00:28.307000,0 days 00:36:33.399000,0 days 00:37:04.872000,0 days 00:37:33.179000,272.0,276.0,273.0,300.0,False,SOFT,7.0,False,1,0 days 00:36:09.754000,Mercedes,HAM,1,True,2021-05-09 13:06:09.762
0 days 00:38:56.117000,44,0 days 00:01:22.938000,4,,,0 days 00:00:23.387000,0 days 00:00:31.352000,0 days 00:00:28.199000,0 days 00:37:56.566000,0 days 00:38:27.918000,0 days 00:38:56.117000,268.0,272.0,274.0,301.0,False,SOFT,8.0,False,1,0 days 00:37:33.179000,Mercedes,HAM,1,True,2021-05-09 13:07:33.187
0 days 00:40:19.235000,44,0 days 00:01:23.118000,5,,,0 days 00:00:23.483000,0 days 00:00:31.437000,0 days 00:00:28.198000,0 days 00:39:19.600000,0 days 00:39:51.037000,0 days 00:40:19.235000,273.0,268.0,274.0,303.0,False,SOFT,9.0,False,1,0 days 00:38:56.117000,Mercedes,HAM,1,True,2021-05-09 13:08:56.125
0 days 00:41:42.297000,44,0 days 00:01:23.062000,6,,,0 days 00:00:23.386000,0 days 00:00:31.342000,0 days 00:00:28.334000,0 days 00:40:42.621000,0 days 00:41:13.963000,0 days 00:41:42.297000,272.0,276.0,275.0,300.0,False,SOFT,10.0,False,1,0 days 00:40:19.235000,Mercedes,HAM,1,True,2021-05-09 13:10:19.243
0 days 00:43:05.558000,44,0 days 00:01:23.261000,7,,,0 days 00:00:23.374000,0 days 00:00:31.594000,0 days 00:00:28.293000,0 days 00:42:05.671000,0 days 00:42:37.265000,0 days 00:43:05.558000,274.0,274.0,276.0,306.0,False,SOFT,11.0,False,1,0 days 00:41:42.297000,Mercedes,HAM,1,True,2021-05-09 13:11:42.305
0 days 00:44:34.811000,44,0 days 00:01:29.253000,8,,,0 days 00:00:23.404000,0 days 00:00:31.569000,0 days 00:00:34.280000,0 days 00:43:28.962000,0 days 00:44:00.531000,0 days 00:44:34.811000,,251.0,110.0,303.0,False,SOFT,12.0,False,1,0 days 00:43:05.558000,Mercedes,HAM,24,False,2021-05-09 13:13:05.566
0 days 00:46:46.422000,44,0 days 00:02:11.611000,9,,,0 days 00:00:36.554000,0 days 00:00:50.402000,0 days 00:00:44.655000,0 days 00:45:11.365000,0 days 00:46:01.767000,0 days 00:46:46.422000,131.0,166.0,208.0,217.0,False,SOFT,13.0,False,1,0 days 00:44:34.811000,Mercedes,HAM,4,False,2021-05-09 13:14:34.819
0 days 00:49:04.838000,44,0 days 00:02:18.416000,10,,,0 days 00:00:36.812000,0 days 00:00:52.968000,0 days 00:00:48.636000,0 days 00:47:23.234000,0 days 00:48:16.202000,0 days 00:49:04.838000,94.0,142.0,277.0,172.0,False,SOFT,14.0,False,1,0 days 00:46:46.422000,Mercedes,HAM,4,False,2021-05-09 13:16:46.430
0 days 00:50:28.446000,44,0 days 00:01:23.608000,11,,,0 days 00:00:23.750000,0 days 00:00:31.660000,0 days 00:00:28.198000,0 days 00:49:28.588000,0 days 00:50:00.248000,0 days 00:50:28.446000,275.0,274.0,277.0,309.0,False,SOFT,15.0,False,1,0 days 00:49:04.838000,Mercedes,HAM,1,False,2021-05-09 13:19:04.846
0 days 00:51:51.861000,44,0 days 00:01:23.415000,12,,,0 days 00:00:23.490000,0 days 00:00:31.608000,0 days 00:00:28.317000,0 days 00:50:51.936000,0 days 00:51:23.544000,0 days 00:51:51.861000,268.0,268.0,277.0,297.0,False,SOFT,16.0,False,1,0 days 00:50:28.446000,Mercedes,HAM,1,True,2021-05-09 13:20:28.454
