Time,DriverNumber,LapTime,LapNumber,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Stint,LapStartTime,Team,Driver,TrackStatus,IsAccurate,LapStartDate
0 days 01:03:42.621000,1,,1,0 days 00:22:37.624000,,,0 days 00:00:38.449000,0 days 00:00:33.249000,,0 days 01:03:09.454000,0 days 01:03:42.693000,283.0,286.0,210.0,301.0,False,MEDIUM,1.0,True,1,0 days 01:02:10.161000,Red Bull Racing,VER,1,False,2022-11-20 13:03:11.207
0 days 01:05:13.162000,1,0 days 00:01:30.541000,2,,,0 days 00:00:18.571000,0 days 00:00:38.647000,0 days 00:00:33.323000,0 days 01:04:01.192000,0 days 01:04:39.839000,0 days 01:05:13.162000,279.0,288.0,211.0,295.0,False,MEDIUM,2.0,True,1,0 days 01:03:42.621000,Red Bull Racing,VER,1,True,2022-11-20 13:04:43.667
0 days 01:06:43.130000,1,0 days 00:01:29.968000,3,,,0 days 00:00:18.562000,0 days 00:00:38.526000,0 days 00:00:32.880000,0 days 01:05:31.724000,0 days 01:06:10.250000,0 days 01:06:43.130000,,293.0,211.0,297.0,False,MEDIUM,3.0,True,1,0 days 01:05:13.162000,Red Bull Racing,VER,1,True,2022-11-20 13:06:14.208
0 days 01:08:13.498000,1,0 days 00:01:30.368000,4,,,0 days 00:00:18.512000,0 days 00:00:38.573000,0 days 00:00:33.283000,0 days 01:07:01.642000,0 days 01:07:40.215000,0 days 01:08:13.498000,280.0,289.0,211.0,295.0,False,MEDIUM,4.0,True,1,0 days 01:06:43.130000,Red Bull Racing,VER,1,True,2022-11-20 13:07:44.176
0 days 01:09:44,1,0 days 00:01:30.502000,5,,,0 days 00:00:18.492000,0 days 00:00:38.754000,0 days 00:00:33.256000,0 days 01:08:31.990000,0 days 01:09:10.744000,0 days 01:09:44,,289.0,210.0,295.0,False,MEDIUM,5.0,True,1,0 days 01:08:13.498000,Red Bull Racing,VER,1,True,2022-11-20 13:09:14.544
0 days 01:11:14.567000,1,0 days 00:01:30.567000,6,,,0 days 00:00:18.474000,0 days 00:00:38.776000,0 days 00:00:33.317000,0 days 01:10:02.474000,0 days 01:10:41.250000,0 days 01:11:14.567000,,293.0,210.0,292.0,False,MEDIUM,6.0,True,1,0 days 01:09:44,Red Bull Racing,VER,1,True,2022-11-20 13:10:45.046
0 days 01:12:45.228000,1,0 days 00:01:30.661000,7,,,0 days 00:00:18.589000,0 days 00:00:38.776000,0 days 00:00:33.296000,0 days 01:11:33.156000,0 days 01:12:11.932000,0 days 01:12:45.228000,,295.0,209.0,299.0,False,MEDIUM,7.0,True,1,0 days 01:11:14.567000,Red Bull Racing,VER,1,True,2022-11-20 13:12:15.613
0 days 01:14:15.919000,1,0 days 00:01:30.691000,8,,,0 days 00:00:18.512000,0 days 00:00:38.813000,0 days 00:00:33.366000,0 days 01:13:03.740000,0 days 01:13:42.553000,0 days 01:14:15.919000,281.0,291.0,206.0,296.0,False,MEDIUM,8.0,True,1,0 days 01:12:45.228000,Red Bull Racing,VER,1,True,2022-11-20 13:13:46.274
0 days 01:15:46.520000,1,0 days 00:01:30.601000,9,,,0 days 00:00:18.482000,0 days 00:00:38.807000,0 days 00:00:33.312000,0 days 01:14:34.401000,0 days 01:15:13.208000,0 days 01:15:46.520000,,294.0,209.0,299.0,False,MEDIUM,9.0,True,1,0 days 01:14:15.919000,Red Bull Racing,VER,1,True,2022-11-20 13:15:16.965
0 days 01:17:17.141000,1,0 days 00:01:30.621000,10,,,0 days 00:00:18.434000,0 days 00:00:38.798000,0 days 00:00:33.389000,0 days 01:16:04.954000,0 days 01:16:43.752000,0 days 01:17:17.141000,282.0,293.0,208.0,301.0,False,MEDIUM,10.0,True,1,0 days 01:15:46.520000,Red Bull Racing,VER,1,True,2022-11-20 13:16:47.566
0 days 01:18:47.939000,1,0 days 00:01:30.798000,11,,,0 days 00:00:18.480000,0 days 00:00:38.889000,0 days 00:00:33.429000,0 days 01:17:35.621000,0 days 01:18:14.510000,0 days 01:18:47.939000,,292.0,209.0,302.0,False,MEDIUM,11.0,True,1,0 days 01:17:17.141000,Red Bull Racing,VER,1,True,2022-11-20 13:18:18.187
0 days 01:20:18.860000,1,0 days 00:01:30.921000,12,,,0 days 00:00:18.515000,0 days 00:00:39.016000,0 days 00:00:33.390000,0 days 01:19:06.454000,0 days 01:19:45.470000,0 days 01:20:18.860000,283.0,294.0,209.0,299.0,False,MEDIUM,12.0,True,1,0 days 01:18:47.939000,Red Bull Racing,VER,1,True,2022-11-20 13:19:48.985
