Time,DriverNumber,LapTime,LapNumber,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Stint,LapStartTime,Team,Driver,TrackStatus,IsAccurate,LapStartDate
0 days 01:03:15.105000,63,,1.0,0 days 00:24:38.387000,,,0 days 00:00:38.679000,0 days 00:00:27.120000,,0 days 01:02:48.129000,0 days 01:03:15.179000,296.0,168.0,238.0,207.0,False,SOFT,1.0,True,1,0 days 01:01:46.277000,Mercedes,RUS,24,False,2022-11-13 18:02:47.303
0 days 01:05:11.451000,63,0 days 00:01:56.346000,2.0,,,0 days 00:00:25.002000,0 days 00:01:03.831000,0 days 00:00:27.513000,0 days 01:03:40.107000,0 days 01:04:43.938000,0 days 01:05:11.451000,190.0,165.0,197.0,242.0,False,SOFT,2.0,True,1,0 days 01:03:15.105000,Mercedes,RUS,4,False,2022-11-13 18:04:16.131
0 days 01:07:11.417000,63,0 days 00:01:59.966000,3.0,,,0 days 00:00:30.536000,0 days 00:01:01.643000,0 days 00:00:27.787000,0 days 01:05:41.987000,0 days 01:06:43.630000,0 days 01:07:11.417000,188.0,182.0,168.0,117.0,False,SOFT,3.0,True,1,0 days 01:05:11.451000,Mercedes,RUS,4,False,2022-11-13 18:06:12.477
0 days 01:09:10.651000,63,0 days 00:01:59.234000,4.0,,,0 days 00:00:30.408000,0 days 00:01:01.326000,0 days 00:00:27.500000,0 days 01:07:41.825000,0 days 01:08:43.151000,0 days 01:09:10.651000,,143.0,220.0,140.0,False,SOFT,4.0,True,1,0 days 01:07:11.417000,Mercedes,RUS,4,False,2022-11-13 18:08:12.443
0 days 01:11:05.080000,63,0 days 00:01:54.429000,5.0,,,0 days 00:00:31.450000,0 days 00:00:57.329000,0 days 00:00:25.650000,0 days 01:09:42.101000,0 days 01:10:39.430000,0 days 01:11:05.080000,138.0,180.0,235.0,94.0,False,SOFT,5.0,True,1,0 days 01:09:10.651000,Mercedes,RUS,4,False,2022-11-13 18:10:11.677
0 days 01:13:10.736000,63,0 days 00:02:05.656000,6.0,,,0 days 00:00:28.836000,0 days 00:01:03.473000,0 days 00:00:33.347000,0 days 01:11:33.916000,0 days 01:12:37.389000,0 days 01:13:10.736000,230.0,91.0,241.0,154.0,False,SOFT,6.0,True,1,0 days 01:11:05.080000,Mercedes,RUS,4,False,2022-11-13 18:12:06.106
0 days 01:14:26.858000,63,0 days 00:01:16.122000,7.0,,,0 days 00:00:19.778000,0 days 00:00:38.687000,0 days 00:00:17.657000,0 days 01:13:30.514000,0 days 01:14:09.201000,0 days 01:14:26.858000,294.0,248.0,293.0,276.0,False,SOFT,7.0,True,1,0 days 01:13:10.736000,Mercedes,RUS,2,False,2022-11-13 18:14:11.762
0 days 01:15:42.954000,63,0 days 00:01:16.096000,8.0,,,0 days 00:00:19.673000,0 days 00:00:38.825000,0 days 00:00:17.598000,0 days 01:14:46.531000,0 days 01:15:25.356000,0 days 01:15:42.954000,287.0,246.0,293.0,287.0,False,SOFT,8.0,True,1,0 days 01:14:26.858000,Mercedes,RUS,1,True,2022-11-13 18:15:27.884
0 days 01:16:58.976000,63,0 days 00:01:16.022000,9.0,,,0 days 00:00:19.366000,0 days 00:00:39.079000,0 days 00:00:17.577000,0 days 01:16:02.320000,0 days 01:16:41.399000,0 days 01:16:58.976000,295.0,240.0,296.0,295.0,False,SOFT,9.0,True,1,0 days 01:15:42.954000,Mercedes,RUS,1,True,2022-11-13 18:16:43.980
0 days 01:18:15.143000,63,0 days 00:01:16.167000,10.0,,,0 days 00:00:19.502000,0 days 00:00:39.069000,0 days 00:00:17.596000,0 days 01:17:18.478000,0 days 01:17:57.547000,0 days 01:18:15.143000,,242.0,296.0,294.0,False,SOFT,10.0,True,1,0 days 01:16:58.976000,Mercedes,RUS,1,True,2022-11-13 18:18:00.002
0 days 01:19:31.327000,63,0 days 00:01:16.184000,11.0,,,0 days 00:00:19.514000,0 days 00:00:39.076000,0 days 00:00:17.594000,0 days 01:18:34.657000,0 days 01:19:13.733000,0 days 01:19:31.327000,293.0,246.0,296.0,292.0,False,SOFT,11.0,True,1,0 days 01:18:15.143000,Mercedes,RUS,1,True,2022-11-13 18:19:16.169
0 days 01:20:47.792000,63,0 days 00:01:16.465000,12.0,,,0 days 00:00:19.607000,0 days 00:00:39.155000,0 days 00:00:17.703000,0 days 01:19:50.934000,0 days 01:20:30.089000,0 days 01:20:47.792000,,238.0,297.0,288.0,False,SOFT,12.0,True,1,0 days 01:19:31.327000,Mercedes,RUS,1,True,2022-11-13 18:20:32.353
0 days 01:22:04.280000,63,0 days 00:01:16.488000,13.0,,,0 days 00:00:19.650000,0 days 00:00:39.170000,0 days 00:00:17.668000,0 days 01:21:07.442000,0 days 01:21:46.612000,0 days 01:22:04.280000,,246.0,297.0,290.0,False,SOFT,13.0,True,1,0 days 01:20:47.792000,Mercedes,RUS,1,True,2022-11-13 18:21:48.818
0 days 01:23:20.692000,63,0 days 00:01:16.412000,14.0,,,0 days 00:00:19.517000,0 days 00:00:39.227000,0 days 00:00:17.668000,0 days 01:22:23.797000,0 days 01:23:03.024000,0 days 01:23:20.692000,295.0,247.0,298.0,296.0,False,SOFT,14.0,True,1,0 days 01:22:04.280000,Mercedes,RUS,1,True,2022-11-13 18:23:05.306
0 days 01:24:36.920000,63,0 days 00:01:16.228000,15.0,,,0 days 00:00:19.437000,0 days 00:00:39.135000,0 days 00:00:17.656000,0 days 01:23:40.129000,0 days 01:24:19.264000,0 days 01:24:36.920000,,242.0,297.0,300.0,False,SOFT,15.0,True,1,0 days 01:23:20.692000,Mercedes,RUS,1,True,2022-11-13 18:24:21.718
0 days 01:25:53.195000,63,0 days 00:01:16.275000,16.0,,,0 days 00:00:19.531000,0 days 00:00:39.051000,0 days 00:00:17.693000,0 days 01:24:56.451000,0 days 01:25:35.502000,0 days 01:25:53.195000,,243.0,297.0,293.0,False,SOFT,16.0,True,1,0 days 01:24:36.920000,Mercedes,RUS,1,True,2022-11-13 18:25:37.946
0 days 01:27:09.754000,63,0 days 00:01:16.559000,17.0,,,0 days 00:00:19.448000,0 days 00:00:39.375000,0 days 00:00:17.736000,0 days 01:26:12.643000,0 days 01:26:52.018000,0 days 01:27:09.754000,,241.0,297.0,295.0,False,SOFT,17.0,True,1,0 days 01:25:53.195000,Mercedes,RUS,1,True,2022-11-13 18:26:54.221
