Time,Distance,LapNumber,Driver,DriverNumber,MaxDistance
0 days 00:00:00,0.0,1,PER,11,3348.888611111112
0 days 00:00:00.221000,0.18416666666666665,1,PER,11,3348.888611111112
0 days 00:00:00.381000,0.3175,1,PER,11,3348.888611111112
0 days 00:00:00.541000,0.45083333333333336,1,PER,11,3348.888611111112
0 days 00:00:00.781000,0.6508333333333334,1,PER,11,3348.888611111112
0 days 00:00:01.021000,0.8508333333333332,1,PER,11,3348.888611111112
0 days 00:00:01.501000,1.2508333333333332,1,PER,11,3348.888611111112
0 days 00:00:01.741000,1.4508333333333334,1,PER,11,3348.888611111112
0 days 00:00:01.941000,1.6175,1,PER,11,3348.888611111112
0 days 00:00:02.260000,1.883333333333333,1,PER,11,3348.888611111112
0 days 00:00:02.540000,2.1166666666666667,1,PER,11,3348.888611111112
0 days 00:00:02.740000,2.2833333333333337,1,PER,11,3348.888611111112
0 days 00:00:02.980000,2.4833333333333334,1,PER,11,3348.888611111112
0 days 00:00:03.340000,2.4833333333333334,1,PER,11,3348.888611111112
0 days 00:00:03.740000,2.4833333333333334,1,PER,11,3348.888611111112
0 days 00:00:04.860000,2.4833333333333334,1,PER,11,3348.888611111112
0 days 00:00:05.060000,2.4833333333333334,1,PER,11,3348.888611111112
0 days 00:00:05.300000,2.4833333333333334,1,PER,11,3348.888611111112
0 days 00:00:05.540000,2.4833333333333334,1,PER,11,3348.888611111112
0 days 00:00:05.861000,2.4833333333333334,1,PER,11,3348.888611111112
0 days 00:00:06.181000,2.4833333333333334,1,PER,11,3348.888611111112
0 days 00:00:06.421000,2.4833333333333334,1,PER,11,3348.888611111112
0 days 00:00:06.661000,2.4833333333333334,1,PER,11,3348.888611111112
0 days 00:00:06.941000,2.716666666666667,1,PER,11,3348.888611111112
0 days 00:00:07.181000,3.116666666666667,1,PER,11,3348.888611111112
0 days 00:00:07.341000,3.4277777777777785,1,PER,11,3348.888611111112
