Time,Distance,LapNumber,Driver,DriverNumber,MaxDistance
0 days 00:00:00,0.0,1,LEC,16,3433.437222222222
0 days 00:00:00.221000,0.0,1,LEC,16,3433.437222222222
0 days 00:00:00.381000,0.0,1,LEC,16,3433.437222222222
0 days 00:00:00.541000,0.0,1,LEC,16,3433.437222222222
0 days 00:00:00.781000,0.0,1,LEC,16,3433.437222222222
0 days 00:00:01.021000,0.0,1,LEC,16,3433.437222222222
0 days 00:00:01.501000,0.0,1,LEC,16,3433.437222222222
0 days 00:00:01.741000,0.26666666666666694,1,LEC,16,3433.437222222222
0 days 00:00:01.941000,0.26666666666666694,1,LEC,16,3433.437222222222
0 days 00:00:02.260000,0.26666666666666694,1,LEC,16,3433.437222222222
0 days 00:00:02.540000,0.26666666666666694,1,LEC,16,3433.437222222222
0 days 00:00:02.740000,0.26666666666666694,1,LEC,16,3433.437222222222
0 days 00:00:02.980000,0.26666666666666694,1,LEC,16,3433.437222222222
0 days 00:00:03.340000,0.7666666666666668,1,LEC,16,3433.437222222222
0 days 00:00:03.740000,1.8777777777777789,1,LEC,16,3433.437222222222
0 days 00:00:04.860000,11.522222222222224,1,LEC,16,3433.437222222222
0 days 00:00:05.060000,13.35555555555555,1,LEC,16,3433.437222222222
0 days 00:00:05.300000,15.555555555555554,1,LEC,16,3433.437222222222
0 days 00:00:05.540000,17.755555555555556,1,LEC,16,3433.437222222222
0 days 00:00:05.861000,20.698055555555555,1,LEC,16,3433.437222222222
0 days 00:00:06.181000,23.542500000000004,1,LEC,16,3433.437222222222
0 days 00:00:06.421000,25.67583333333334,1,LEC,16,3433.437222222222
0 days 00:00:06.661000,27.875833333333333,1,LEC,16,3433.437222222222
0 days 00:00:06.941000,30.442500000000003,1,LEC,16,3433.437222222222
0 days 00:00:07.181000,32.642500000000005,1,LEC,16,3433.437222222222
0 days 00:00:07.341000,34.109166666666674,1,LEC,16,3433.437222222222
0 days 00:00:07.701000,37.40916666666667,1,LEC,16,3433.437222222222
0 days 00:00:08.101000,41.186944444444464,1,LEC,16,3433.437222222222
0 days 00:00:08.261000,42.69805555555556,1,LEC,16,3433.437222222222
0 days 00:00:08.541000,45.342500000000015,1,LEC,16,3433.437222222222
0 days 00:00:08.900000,48.83277777777779,1,LEC,16,3433.437222222222
0 days 00:00:09.060000,50.38833333333335,1,LEC,16,3433.437222222222
0 days 00:00:09.380000,53.499444444444464,1,LEC,16,3433.437222222222
0 days 00:00:09.580000,55.4438888888889,1,LEC,16,3433.437222222222
0 days 00:00:09.981000,59.4538888888889,1,LEC,16,3433.437222222222
0 days 00:00:10.380000,63.44388888888891,1,LEC,16,3433.437222222222
0 days 00:00:10.580000,65.44388888888889,1,LEC,16,3433.437222222222
0 days 00:00:10.900000,68.73277777777778,1,LEC,16,3433.437222222222
0 days 00:00:11.140000,71.13277777777779,1,LEC,16,3433.437222222222
0 days 00:00:11.381000,73.54277777777779,1,LEC,16,3433.437222222222
0 days 00:00:11.701000,76.83166666666668,1,LEC,16,3433.437222222222
0 days 00:00:12.100000,80.82166666666667,1,LEC,16,3433.437222222222
0 days 00:00:12.461000,84.53194444444446,1,LEC,16,3433.437222222222
0 days 00:00:12.781000,87.90972222222224,1,LEC,16,3433.437222222222
0 days 00:00:13.061000,90.94305555555557,1,LEC,16,3433.437222222222
0 days 00:00:13.381000,94.58750000000002,1,LEC,16,3433.437222222222
0 days 00:00:13.621000,97.32083333333335,1,LEC,16,3433.437222222222
0 days 00:00:13.861000,100.12083333333335,1,LEC,16,3433.437222222222
0 days 00:00:14.141000,103.46527777777779,1,LEC,16,3433.437222222222
0 days 00:00:14.381000,106.46527777777779,1,LEC,16,3433.437222222222
0 days 00:00:14.541000,108.50972222222224,1,LEC,16,3433.437222222222
0 days 00:00:14.701000,110.7763888888889,1,LEC,16,3433.437222222222
0 days 00:00:14.941000,114.9763888888889,1,LEC,16,3433.437222222222
0 days 00:00:15.261000,121.64305555555553,1,LEC,16,3433.437222222222
0 days 00:00:15.580000,128.73194444444445,1,LEC,16,3433.437222222222
