Time,Distance,LapNumber,Driver,DriverNumber,MaxDistance
0 days 00:00:00,0.0,2,PER,11,3273.8655555555542
0 days 00:00:00.228000,10.893333333333334,2,PER,11,3273.8655555555542
0 days 00:00:00.388000,18.182222222222222,2,PER,11,3273.8655555555542
0 days 00:00:00.747000,33.14055555555555,2,PER,11,3273.8655555555542
0 days 00:00:00.987000,42.273888888888884,2,PER,11,3273.8655555555542
0 days 00:00:01.347000,54.57388888888888,2,PER,11,3273.8655555555542
0 days 00:00:01.548000,61.21805555555555,2,PER,11,3273.8655555555542
0 days 00:00:01.988000,75.51805555555555,2,PER,11,3273.8655555555542
0 days 00:00:02.188000,82.24027777777778,2,PER,11,3273.8655555555542
0 days 00:00:02.588000,95.5736111111111,2,PER,11,3273.8655555555542
0 days 00:00:02.828000,103.57361111111109,2,PER,11,3273.8655555555542
0 days 00:00:03.108000,112.6736111111111,2,PER,11,3273.8655555555542
0 days 00:00:03.428000,122.89583333333331,2,PER,11,3273.8655555555542
0 days 00:00:03.628000,128.72916666666666,2,PER,11,3273.8655555555542
0 days 00:00:03.828000,134.2847222222222,2,PER,11,3273.8655555555542
0 days 00:00:03.988000,138.55138888888888,2,PER,11,3273.8655555555542
0 days 00:00:04.188000,143.6625,2,PER,11,3273.8655555555542
0 days 00:00:04.348000,147.57361111111112,2,PER,11,3273.8655555555542
0 days 00:00:04.708000,155.77361111111114,2,PER,11,3273.8655555555542
0 days 00:00:04.988000,161.8402777777778,2,PER,11,3273.8655555555542
0 days 00:00:05.228000,166.90694444444446,2,PER,11,3273.8655555555542
0 days 00:00:05.428000,171.07361111111112,2,PER,11,3273.8655555555542
0 days 00:00:05.788000,178.17361111111111,2,PER,11,3273.8655555555542
0 days 00:00:05.989000,181.91444444444443,2,PER,11,3273.8655555555542
0 days 00:00:06.188000,185.61805555555554,2,PER,11,3273.8655555555542
0 days 00:00:06.388000,189.2847222222222,2,PER,11,3273.8655555555542
0 days 00:00:06.628000,193.55138888888888,2,PER,11,3273.8655555555542
0 days 00:00:06.988000,199.95138888888889,2,PER,11,3273.8655555555542
0 days 00:00:07.309000,205.47972222222222,2,PER,11,3273.8655555555542
0 days 00:00:07.547000,209.57861111111112,2,PER,11,3273.8655555555542
0 days 00:00:07.787000,213.77861111111113,2,PER,11,3273.8655555555542
0 days 00:00:08.028000,218.13000000000002,2,PER,11,3273.8655555555542
0 days 00:00:08.228000,221.79666666666668,2,PER,11,3273.8655555555542
0 days 00:00:08.548000,227.93,2,PER,11,3273.8655555555542
0 days 00:00:08.788000,232.59666666666666,2,PER,11,3273.8655555555542
0 days 00:00:09.068000,238.81888888888886,2,PER,11,3273.8655555555542
0 days 00:00:09.228000,242.4633333333333,2,PER,11,3273.8655555555542
0 days 00:00:09.628000,252.4633333333333,2,PER,11,3273.8655555555542
0 days 00:00:09.828000,257.5744444444444,2,PER,11,3273.8655555555542
0 days 00:00:10.308000,271.1744444444444,2,PER,11,3273.8655555555542
0 days 00:00:10.468000,275.97444444444443,2,PER,11,3273.8655555555542
0 days 00:00:10.868000,289.0855555555556,2,PER,11,3273.8655555555542
0 days 00:00:11.308000,304.73,2,PER,11,3273.8655555555542
0 days 00:00:11.548000,313.7966666666667,2,PER,11,3273.8655555555542
0 days 00:00:11.948000,330.0188888888889,2,PER,11,3273.8655555555542
0 days 00:00:12.108000,336.73,2,PER,11,3273.8655555555542
0 days 00:00:12.268000,343.75222222222226,2,PER,11,3273.8655555555542
0 days 00:00:12.428000,350.95222222222225,2,PER,11,3273.8655555555542
0 days 00:00:12.668000,362.41888888888883,2,PER,11,3273.8655555555542
0 days 00:00:12.868000,372.36333333333334,2,PER,11,3273.8655555555542
0 days 00:00:13.228000,391.1633333333333,2,PER,11,3273.8655555555542
0 days 00:00:13.389000,399.8394444444444,2,PER,11,3273.8655555555542
0 days 00:00:13.868000,427.11583333333334,2,PER,11,3273.8655555555542
0 days 00:00:14.028000,436.31583333333333,2,PER,11,3273.8655555555542
0 days 00:00:14.267000,450.3902777777777,2,PER,11,3273.8655555555542
0 days 00:00:14.508000,464.2477777777777,2,PER,11,3273.8655555555542
0 days 00:00:14.908000,485.2477777777777,2,PER,11,3273.8655555555542
0 days 00:00:15.308000,505.2477777777777,2,PER,11,3273.8655555555542
0 days 00:00:15.708000,525.581111111111,2,PER,11,3273.8655555555542
0 days 00:00:16.108000,544.0255555555555,2,PER,11,3273.8655555555542
0 days 00:00:16.348000,554.2255555555554,2,PER,11,3273.8655555555542
0 days 00:00:16.748000,569.8922222222221,2,PER,11,3273.8655555555542
0 days 00:00:16.908000,575.8033333333333,2,PER,11,3273.8655555555542
0 days 00:00:17.188000,585.3699999999999,2,PER,11,3273.8655555555542
0 days 00:00:17.508000,595.9477777777777,2,PER,11,3273.8655555555542
0 days 00:00:17.868000,608.2477777777776,2,PER,11,3273.8655555555542
0 days 00:00:18.148000,618.0477777777777,2,PER,11,3273.8655555555542
0 days 00:00:18.428000,628.0811111111111,2,PER,11,3273.8655555555542
0 days 00:00:18.668000,636.681111111111,2,PER,11,3273.8655555555542
0 days 00:00:18.908000,645.281111111111,2,PER,11,3273.8655555555542
0 days 00:00:19.068000,650.9699999999999,2,PER,11,3273.8655555555542
0 days 00:00:19.308000,659.1033333333332,2,PER,11,3273.8655555555542
0 days 00:00:19.508000,665.6588888888888,2,PER,11,3273.8655555555542
0 days 00:00:19.708000,672.0477777777777,2,PER,11,3273.8655555555542
0 days 00:00:20.148000,685.4922222222222,2,PER,11,3273.8655555555542
0 days 00:00:20.348000,691.3811111111111,2,PER,11,3273.8655555555542
0 days 00:00:20.548000,697.1033333333332,2,PER,11,3273.8655555555542
0 days 00:00:20.827000,704.8533333333334,2,PER,11,3273.8655555555542
0 days 00:00:21.147000,713.6533333333333,2,PER,11,3273.8655555555542
0 days 00:00:21.388000,720.3477777777779,2,PER,11,3273.8655555555542
0 days 00:00:21.668000,728.1255555555556,2,PER,11,3273.8655555555542
0 days 00:00:21.908000,734.658888888889,2,PER,11,3273.8655555555542
0 days 00:00:22.068000,738.9255555555557,2,PER,11,3273.8655555555542
0 days 00:00:22.348000,746.3144444444445,2,PER,11,3273.8655555555542
0 days 00:00:22.628000,753.6255555555556,2,PER,11,3273.8655555555542
0 days 00:00:22.908000,760.8588888888889,2,PER,11,3273.8655555555542
0 days 00:00:23.188000,767.8588888888888,2,PER,11,3273.8655555555542
0 days 00:00:23.468000,774.6255555555555,2,PER,11,3273.8655555555542
0 days 00:00:23.628000,778.4033333333333,2,PER,11,3273.8655555555542
0 days 00:00:23.788000,782.2255555555555,2,PER,11,3273.8655555555542
0 days 00:00:23.988000,787.0033333333332,2,PER,11,3273.8655555555542
0 days 00:00:24.308000,794.9144444444444,2,PER,11,3273.8655555555542
0 days 00:00:24.748000,805.181111111111,2,PER,11,3273.8655555555542
0 days 00:00:24.948000,809.7366666666666,2,PER,11,3273.8655555555542
0 days 00:00:25.148000,814.2366666666666,2,PER,11,3273.8655555555542
0 days 00:00:25.508000,821.8366666666666,2,PER,11,3273.8655555555542
0 days 00:00:25.788000,827.7477777777777,2,PER,11,3273.8655555555542
0 days 00:00:25.988000,832.0255555555555,2,PER,11,3273.8655555555542
0 days 00:00:26.189000,836.4363888888888,2,PER,11,3273.8655555555542
0 days 00:00:26.508000,843.5252777777777,2,PER,11,3273.8655555555542
0 days 00:00:26.749000,848.7469444444444,2,PER,11,3273.8655555555542
0 days 00:00:26.989000,853.6802777777777,2,PER,11,3273.8655555555542
0 days 00:00:27.189000,857.7913888888888,2,PER,11,3273.8655555555542
0 days 00:00:27.468000,863.6038888888888,2,PER,11,3273.8655555555542
0 days 00:00:27.748000,869.4372222222222,2,PER,11,3273.8655555555542
0 days 00:00:28.108000,876.5372222222222,2,PER,11,3273.8655555555542
0 days 00:00:28.308000,880.3149999999999,2,PER,11,3273.8655555555542
0 days 00:00:28.508000,883.926111111111,2,PER,11,3273.8655555555542
0 days 00:00:28.828000,889.3483333333332,2,PER,11,3273.8655555555542
0 days 00:00:29.028000,892.6816666666666,2,PER,11,3273.8655555555542
0 days 00:00:29.228000,896.015,2,PER,11,3273.8655555555542
0 days 00:00:29.468000,900.1483333333333,2,PER,11,3273.8655555555542
0 days 00:00:29.668000,903.7594444444444,2,PER,11,3273.8655555555542
0 days 00:00:29.908000,908.2261111111111,2,PER,11,3273.8655555555542
0 days 00:00:30.268000,915.1261111111111,2,PER,11,3273.8655555555542
0 days 00:00:30.468000,919.3483333333332,2,PER,11,3273.8655555555542
0 days 00:00:30.748000,925.5705555555555,2,PER,11,3273.8655555555542
0 days 00:00:30.988000,931.3705555555555,2,PER,11,3273.8655555555542
0 days 00:00:31.428000,943.1038888888888,2,PER,11,3273.8655555555542
0 days 00:00:31.789000,953.4325,2,PER,11,3273.8655555555542
0 days 00:00:32.068000,962.0349999999999,2,PER,11,3273.8655555555542
0 days 00:00:32.308000,969.1016666666666,2,PER,11,3273.8655555555542
0 days 00:00:32.548000,975.635,2,PER,11,3273.8655555555542
0 days 00:00:32.908000,984.735,2,PER,11,3273.8655555555542
0 days 00:00:33.189000,991.2916666666666,2,PER,11,3273.8655555555542
0 days 00:00:33.468000,997.4916666666667,2,PER,11,3273.8655555555542
0 days 00:00:33.668000,1001.7138888888888,2,PER,11,3273.8655555555542
0 days 00:00:33.989000,1008.5797222222221,2,PER,11,3273.8655555555542
0 days 00:00:34.188000,1012.8913888888889,2,PER,11,3273.8655555555542
0 days 00:00:34.428000,1018.2247222222221,2,PER,11,3273.8655555555542
0 days 00:00:34.628000,1022.7247222222222,2,PER,11,3273.8655555555542
0 days 00:00:34.908000,1029.1025,2,PER,11,3273.8655555555542
0 days 00:00:35.188000,1035.3247222222221,2,PER,11,3273.8655555555542
0 days 00:00:35.468000,1041.0802777777776,2,PER,11,3273.8655555555542
0 days 00:00:35.708000,1045.8802777777776,2,PER,11,3273.8655555555542
0 days 00:00:35.988000,1051.3247222222221,2,PER,11,3273.8655555555542
0 days 00:00:36.188000,1054.9913888888889,2,PER,11,3273.8655555555542
0 days 00:00:36.388000,1058.4913888888889,2,PER,11,3273.8655555555542
0 days 00:00:36.868000,1065.8247222222224,2,PER,11,3273.8655555555542
0 days 00:00:37.028000,1068.180277777778,2,PER,11,3273.8655555555542
0 days 00:00:37.228000,1071.0136111111115,2,PER,11,3273.8655555555542
0 days 00:00:37.428000,1073.8469444444447,2,PER,11,3273.8655555555542
0 days 00:00:37.588000,1076.1136111111114,2,PER,11,3273.8655555555542
0 days 00:00:37.748000,1078.380277777778,2,PER,11,3273.8655555555542
0 days 00:00:38.108000,1083.580277777778,2,PER,11,3273.8655555555542
0 days 00:00:38.508000,1089.580277777778,2,PER,11,3273.8655555555542
0 days 00:00:38.908000,1095.469166666667,2,PER,11,3273.8655555555542
0 days 00:00:39.148000,1098.869166666667,2,PER,11,3273.8655555555542
0 days 00:00:39.388000,1102.269166666667,2,PER,11,3273.8655555555542
0 days 00:00:39.709000,1106.816666666667,2,PER,11,3273.8655555555542
0 days 00:00:39.868000,1109.1133333333337,2,PER,11,3273.8655555555542
0 days 00:00:40.068000,1111.946666666667,2,PER,11,3273.8655555555542
