Time,DriverNumber,LapTime,LapNumber,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Stint,LapStartTime,Team,Driver,TrackStatus,IsAccurate,LapStartDate,PitLap
0 days 02:06:35.799000,11,,1,0 days 02:04:16.197000,0 days 02:04:15.170000,,0 days 00:01:02.877000,0 days 00:00:34.691000,,0 days 02:06:01.175000,0 days 02:06:35.807000,105.0,123.0,159.0,136.0,False,INTERMEDIATE,1.0,True,2,0 days 02:04:00.206000,Red Bull Racing,PER,2,False,2022-05-29 14:05:00.227,1.0
0 days 02:08:58.942000,11,0 days 00:02:23.143000,2,,,0 days 00:00:35.097000,0 days 00:01:04.135000,0 days 00:00:43.911000,0 days 02:07:10.896000,0 days 02:08:15.031000,0 days 02:08:58.942000,79.0,127.0,223.0,116.0,False,INTERMEDIATE,2.0,True,2,0 days 02:06:35.799000,Red Bull Racing,PER,4,False,2022-05-29 14:07:35.820,
0 days 02:10:43.512000,11,0 days 00:01:44.570000,3,,,0 days 00:00:28.244000,0 days 00:00:48.546000,0 days 00:00:27.780000,0 days 02:09:27.186000,0 days 02:10:15.732000,0 days 02:10:43.512000,133.0,132.0,238.0,244.0,False,INTERMEDIATE,3.0,True,2,0 days 02:08:58.942000,Red Bull Racing,PER,1,False,2022-05-29 14:09:58.963,
0 days 02:12:25.889000,11,0 days 00:01:42.377000,4,,,0 days 00:00:27.351000,0 days 00:00:47.512000,0 days 00:00:27.514000,0 days 02:11:10.863000,0 days 02:11:58.375000,0 days 02:12:25.889000,129.0,131.0,239.0,243.0,False,INTERMEDIATE,4.0,True,2,0 days 02:10:43.512000,Red Bull Racing,PER,1,True,2022-05-29 14:11:43.533,
0 days 02:14:06.118000,11,0 days 00:01:40.229000,5,,,0 days 00:00:27.101000,0 days 00:00:46.748000,0 days 00:00:26.380000,0 days 02:12:52.990000,0 days 02:13:39.738000,0 days 02:14:06.118000,134.0,135.0,240.0,251.0,False,INTERMEDIATE,5.0,True,2,0 days 02:12:25.889000,Red Bull Racing,PER,1,True,2022-05-29 14:13:25.910,
0 days 02:15:44.388000,11,0 days 00:01:38.270000,6,,,0 days 00:00:26.095000,0 days 00:00:46.103000,0 days 00:00:26.072000,0 days 02:14:32.213000,0 days 02:15:18.316000,0 days 02:15:44.388000,143.0,138.0,243.0,260.0,False,INTERMEDIATE,6.0,True,2,0 days 02:14:06.118000,Red Bull Racing,PER,2,True,2022-05-29 14:15:06.139,
0 days 02:17:22.522000,11,0 days 00:01:38.134000,7,,,0 days 00:00:26.094000,0 days 00:00:45.815000,0 days 00:00:26.225000,0 days 02:16:10.482000,0 days 02:16:56.297000,0 days 02:17:22.522000,134.0,140.0,241.0,263.0,False,INTERMEDIATE,7.0,True,2,0 days 02:15:44.388000,Red Bull Racing,PER,1,True,2022-05-29 14:16:44.409,
0 days 02:18:59.807000,11,0 days 00:01:37.285000,8,,,0 days 00:00:25.793000,0 days 00:00:45.657000,0 days 00:00:25.835000,0 days 02:17:48.315000,0 days 02:18:33.972000,0 days 02:18:59.807000,143.0,130.0,243.0,263.0,False,INTERMEDIATE,8.0,True,2,0 days 02:17:22.522000,Red Bull Racing,PER,1,True,2022-05-29 14:18:22.543,
0 days 02:20:36.661000,11,0 days 00:01:36.854000,9,,,0 days 00:00:25.221000,0 days 00:00:45.535000,0 days 00:00:26.098000,0 days 02:19:25.028000,0 days 02:20:10.563000,0 days 02:20:36.661000,146.0,126.0,244.0,259.0,False,INTERMEDIATE,9.0,True,2,0 days 02:18:59.807000,Red Bull Racing,PER,1,True,2022-05-29 14:19:59.828,
0 days 02:22:13.544000,11,0 days 00:01:36.883000,10,,,0 days 00:00:25.570000,0 days 00:00:45.326000,0 days 00:00:25.987000,0 days 02:21:02.231000,0 days 02:21:47.557000,0 days 02:22:13.544000,145.0,129.0,245.0,265.0,False,INTERMEDIATE,10.0,True,2,0 days 02:20:36.661000,Red Bull Racing,PER,2,True,2022-05-29 14:21:36.682,
0 days 02:23:49.531000,11,0 days 00:01:35.987000,11,,,0 days 00:00:25.291000,0 days 00:00:44.854000,0 days 00:00:25.842000,0 days 02:22:38.835000,0 days 02:23:23.689000,0 days 02:23:49.531000,143.0,131.0,245.0,265.0,False,INTERMEDIATE,11.0,True,2,0 days 02:22:13.544000,Red Bull Racing,PER,2,True,2022-05-29 14:23:13.565,
0 days 02:25:25.128000,11,0 days 00:01:35.597000,12,,,0 days 00:00:24.891000,0 days 00:00:44.583000,0 days 00:00:26.123000,0 days 02:24:14.422000,0 days 02:24:59.005000,0 days 02:25:25.128000,145.0,135.0,244.0,266.0,False,INTERMEDIATE,12.0,True,2,0 days 02:23:49.531000,Red Bull Racing,PER,1,True,2022-05-29 14:24:49.552,
