Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime
2022-05-29 14:07:34.288,9308,149,4,73,True,1,car,0 days 00:00:00.240000,0 days 02:06:34.267000
2022-05-29 14:07:34.448,9469,153,4,68,True,1,car,0 days 00:00:00.400000,0 days 02:06:34.427000
2022-05-29 14:07:34.688,9354,152,4,68,True,1,car,0 days 00:00:00.640000,0 days 02:06:34.667000
2022-05-29 14:07:34.928,9380,149,4,62,True,1,car,0 days 00:00:00.880000,0 days 02:06:34.907000
2022-05-29 14:07:35.088,9241,150,4,60,True,1,car,0 days 00:00:01.040000,0 days 02:06:35.067000
2022-05-29 14:07:35.288,8958,146,4,60,True,1,car,0 days 00:00:01.240000,0 days 02:06:35.267000
2022-05-29 14:07:35.609,8814,143,4,58,True,1,car,0 days 00:00:01.561000,0 days 02:06:35.588000
2022-05-29 14:07:35.808,8436,137,4,43,True,1,car,0 days 00:00:01.760000,0 days 02:06:35.787000
2022-05-29 14:07:36.048,7976,133,4,32,True,1,car,0 days 00:00:02,0 days 02:06:36.027000
2022-05-29 14:07:36.208,8188,131,4,34,True,1,car,0 days 00:00:02.160000,0 days 02:06:36.187000
2022-05-29 14:07:36.567,7518,127,4,8,True,1,car,0 days 00:00:02.519000,0 days 02:06:36.546000
2022-05-29 14:07:36.807,7495,120,4,0,True,1,car,0 days 00:00:02.759000,0 days 02:06:36.786000
2022-05-29 14:07:37.167,7788,117,4,3,True,1,car,0 days 00:00:03.119000,0 days 02:06:37.146000
2022-05-29 14:07:37.368,7975,112,3,0,True,1,car,0 days 00:00:03.320000,0 days 02:06:37.347000
2022-05-29 14:07:37.808,7132,99,3,0,True,1,car,0 days 00:00:03.760000,0 days 02:06:37.787000
2022-05-29 14:07:38.008,6777,95,3,0,True,1,car,0 days 00:00:03.960000,0 days 02:06:37.987000
2022-05-29 14:07:38.408,7128,87,3,0,True,1,car,0 days 00:00:04.360000,0 days 02:06:38.387000
2022-05-29 14:07:38.648,7185,83,2,0,True,1,car,0 days 00:00:04.600000,0 days 02:06:38.627000
2022-05-29 14:07:38.928,6509,79,2,3,True,1,car,0 days 00:00:04.880000,0 days 02:06:38.907000
2022-05-29 14:07:39.248,6441,76,2,8,True,1,car,0 days 00:00:05.200000,0 days 02:06:39.227000
2022-05-29 14:07:39.448,6365,73,2,8,False,1,car,0 days 00:00:05.400000,0 days 02:06:39.427000
2022-05-29 14:07:39.648,6038,72,2,11,False,1,car,0 days 00:00:05.600000,0 days 02:06:39.627000
2022-05-29 14:07:39.808,5984,71,2,8,True,1,car,0 days 00:00:05.760000,0 days 02:06:39.787000
2022-05-29 14:07:40.008,5745,68,2,3,True,1,car,0 days 00:00:05.960000,0 days 02:06:39.987000
2022-05-29 14:07:40.168,5560,66,2,6,False,1,car,0 days 00:00:06.120000,0 days 02:06:40.147000
2022-05-29 14:07:40.528,5515,64,2,9,False,1,car,0 days 00:00:06.480000,0 days 02:06:40.507000
2022-05-29 14:07:40.808,5300,64,2,7,False,1,car,0 days 00:00:06.760000,0 days 02:06:40.787000
2022-05-29 14:07:41.048,5222,62,2,8,False,1,car,0 days 00:00:07,0 days 02:06:41.027000
2022-05-29 14:07:41.248,5215,60,2,9,False,1,car,0 days 00:00:07.200000,0 days 02:06:41.227000
2022-05-29 14:07:41.608,5352,61,2,21,False,1,car,0 days 00:00:07.560000,0 days 02:06:41.587000
2022-05-29 14:07:41.809,5638,64,2,26,False,1,car,0 days 00:00:07.761000,0 days 02:06:41.788000
2022-05-29 14:07:42.008,5876,66,2,30,False,1,car,0 days 00:00:07.960000,0 days 02:06:41.987000
2022-05-29 14:07:42.208,6067,69,2,34,False,1,car,0 days 00:00:08.160000,0 days 02:06:42.187000
2022-05-29 14:07:42.448,6220,71,2,16,True,1,car,0 days 00:00:08.400000,0 days 02:06:42.427000
2022-05-29 14:07:42.808,5800,66,2,13,True,1,car,0 days 00:00:08.760000,0 days 02:06:42.787000
2022-05-29 14:07:43.129,5842,65,2,41,True,1,car,0 days 00:00:09.081000,0 days 02:06:43.108000
2022-05-29 14:07:43.367,6247,69,2,50,False,1,car,0 days 00:00:09.319000,0 days 02:06:43.346000
2022-05-29 14:07:43.607,7146,74,2,50,False,1,car,0 days 00:00:09.559000,0 days 02:06:43.586000
2022-05-29 14:07:43.848,8780,79,2,61,False,1,car,0 days 00:00:09.800000,0 days 02:06:43.827000
2022-05-29 14:07:44.048,10180,82,2,50,False,1,car,0 days 00:00:10,0 days 02:06:44.027000
