Time,DriverNumber,LapTime,LapNumber,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Stint,LapStartTime,Team,Driver,TrackStatus,IsAccurate
0 days 04:00:30.781000,11,0 days 00:01:17.917000,64,,,0 days 00:00:20.421000,0 days 00:00:36.816000,0 days 00:00:20.680000,0 days 03:59:33.285000,0 days 04:00:10.101000,0 days 04:00:30.781000,,190.0,257.0,278.0,False,MEDIUM,34.0,True,4,0 days 03:59:12.864000,Red Bull Racing,PER,1,True
0 days 04:00:31.958000,55,0 days 00:01:18.132000,64,,,0 days 00:00:20.523000,0 days 00:00:36.816000,0 days 00:00:20.793000,0 days 03:59:34.349000,0 days 04:00:11.165000,0 days 04:00:31.958000,196.0,189.0,258.0,283.0,False,HARD,43.0,False,3,0 days 03:59:13.826000,Ferrari,SAI,1,True
0 days 04:00:32.271000,1,0 days 00:01:17.965000,64,,,0 days 00:00:20.537000,0 days 00:00:36.749000,0 days 00:00:20.679000,0 days 03:59:34.843000,0 days 04:00:11.592000,0 days 04:00:32.271000,188.0,191.0,260.0,283.0,False,MEDIUM,34.0,True,4,0 days 03:59:14.306000,Red Bull Racing,VER,1,True
0 days 04:00:33.726000,16,0 days 00:01:18.338000,64,,,0 days 00:00:20.348000,0 days 00:00:37.127000,0 days 00:00:20.863000,0 days 03:59:35.736000,0 days 04:00:12.863000,0 days 04:00:33.726000,203.0,185.0,258.0,284.0,False,HARD,43.0,False,4,0 days 03:59:15.388000,Ferrari,LEC,1,True
0 days 04:00:42.743000,63,0 days 00:01:19,64,,,0 days 00:00:20.697000,0 days 00:00:37.032000,0 days 00:00:21.271000,0 days 03:59:44.440000,0 days 04:00:21.472000,0 days 04:00:42.743000,185.0,195.0,259.0,283.0,False,MEDIUM,34.0,True,3,0 days 03:59:23.743000,Mercedes,RUS,1,True
0 days 04:00:43.010000,4,0 days 00:01:17.069000,64,,,0 days 00:00:19.966000,0 days 00:00:36.196000,0 days 00:00:20.907000,0 days 03:59:45.907000,0 days 04:00:22.103000,0 days 04:00:43.010000,198.0,192.0,269.0,285.0,False,MEDIUM,13.0,True,5,0 days 03:59:25.941000,McLaren,NOR,1,True
0 days 04:01:17.154000,14,0 days 00:01:19.654000,64,,,0 days 00:00:20.892000,0 days 00:00:36.902000,0 days 00:00:21.860000,0 days 04:00:18.392000,0 days 04:00:55.294000,0 days 04:01:17.154000,191.0,179.0,228.0,265.0,False,MEDIUM,34.0,True,3,0 days 03:59:57.500000,Alpine,ALO,1,True
0 days 04:01:21.186000,44,0 days 00:01:18.927000,64,,,0 days 00:00:20.639000,0 days 00:00:36.826000,0 days 00:00:21.462000,0 days 04:00:22.898000,0 days 04:00:59.724000,0 days 04:01:21.186000,181.0,190.0,256.0,278.0,False,MEDIUM,34.0,True,4,0 days 04:00:02.259000,Mercedes,HAM,1,True
0 days 04:01:23.311000,77,0 days 00:01:18.275000,64,,,0 days 00:00:20.719000,0 days 00:00:36.735000,0 days 00:00:20.821000,0 days 04:00:25.755000,0 days 04:01:02.490000,0 days 04:01:23.311000,194.0,186.0,254.0,275.0,False,HARD,44.0,False,3,0 days 04:00:05.036000,Alfa Romeo,BOT,1,True
0 days 04:01:24.330000,5,0 days 00:01:18.230000,64,,,0 days 00:00:20.758000,0 days 00:00:36.600000,0 days 00:00:20.872000,0 days 04:00:26.858000,0 days 04:01:03.458000,0 days 04:01:24.330000,183.0,188.0,263.0,283.0,False,HARD,42.0,False,4,0 days 04:00:06.100000,Aston Martin,VET,1,True
0 days 04:01:25.065000,10,0 days 00:01:18.151000,64,,,0 days 00:00:20.575000,0 days 00:00:36.830000,0 days 00:00:20.746000,0 days 04:00:27.489000,0 days 04:01:04.319000,0 days 04:01:25.065000,,188.0,268.0,285.0,False,HARD,42.0,False,4,0 days 04:00:06.914000,AlphaTauri,GAS,1,True
0 days 04:01:21.449000,31,0 days 00:01:18.371000,64,,,0 days 00:00:20.671000,0 days 00:00:36.761000,0 days 00:00:20.939000,0 days 04:00:23.749000,0 days 04:01:00.510000,0 days 04:01:21.449000,192.0,190.0,266.0,278.0,False,MEDIUM,34.0,True,3,0 days 04:00:03.078000,Alpine,OCO,1,True
0 days 04:01:28.400000,3,0 days 00:01:18.524000,64,,,0 days 00:00:20.790000,0 days 00:00:36.967000,0 days 00:00:20.767000,0 days 04:00:30.666000,0 days 04:01:07.633000,0 days 04:01:28.400000,191.0,187.0,254.0,283.0,False,HARD,45.0,False,3,0 days 04:00:09.876000,McLaren,RIC,1,True
0 days 04:01:31.611000,18,0 days 00:01:18.996000,64,,,0 days 00:00:20.691000,0 days 00:00:37.107000,0 days 00:00:21.198000,0 days 04:00:33.306000,0 days 04:01:10.413000,0 days 04:01:31.611000,195.0,184.0,254.0,284.0,False,HARD,53.0,False,5,0 days 04:00:12.615000,Aston Martin,STR,1,True
0 days 04:00:40.812000,6,0 days 00:01:19.479000,63,,,0 days 00:00:20.792000,0 days 00:00:37.364000,0 days 00:00:21.323000,0 days 03:59:42.125000,0 days 04:00:19.489000,0 days 04:00:40.812000,193.0,183.0,263.0,285.0,False,MEDIUM,61.0,True,4,0 days 03:59:21.333000,Williams,LAT,1,True
